CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	3979844	1878350	67.94	5858194
2	3259926	1511282	68.32	4771208
3	3341879	1704650	66.22	5046529
4	3676138	1810640	67.00	5486778
5	3777347	1789047	67.86	5566394
6	3932427	1942831	66.93	5875258
7	3676804	1799165	67.14	5475969
8	3790587	1885159	66.79	5675746
9	3902045	1919343	67.03	5821388
10	3838756	1908637	66.79	5747393
11	3770241	1889122	66.62	5659363
12	3854744	1892103	67.08	5746847
13	3812948	1886763	66.90	5699711
14	3865546	1896619	67.08	5762165
15	3808089	1895940	66.76	5704029
16	3937744	1922536	67.19	5860280
17	3906692	1922433	67.02	5829125
18	3864930	1922991	66.78	5787921
19	3835226	1918056	66.66	5753282
20	3893975	1960270	66.52	5854245
21	3901248	1961000	66.55	5862248
22	3916513	1963119	66.61	5879632
23	3906137	1956600	66.63	5862737
24	3904939	1964172	66.53	5869111
25	3958524	1971937	66.75	5930461
26	3886077	1964359	66.42	5850436
27	3843036	1958875	66.24	5801911
28	3840344	1956829	66.25	5797173
29	3845558	1956919	66.27	5802477
30	3909032	1966463	66.53	5875495
31	3925232	1965819	66.63	5891051
32	3982682	1977138	66.83	5959820
33	3925671	1968206	66.61	5893877
34	3889122	1958314	66.51	5847436
35	3864038	1949702	66.46	5813740
36	3887041	1953284	66.56	5840325
37	3914080	1961512	66.62	5875592
38	3953031	1967897	66.76	5920928
39	3901327	1955609	66.61	5856936
40	3958008	1960608	66.87	5918616
41	3899699	1941318	66.76	5841017
42	3893384	1934654	66.80	5828038
43	3890626	1933428	66.80	5824054
44	3893771	1922402	66.95	5816173
45	3888247	1920455	66.94	5808702
46	3862540	1904205	66.98	5766745
47	3838099	1896146	66.93	5734245
48	3800829	1886740	66.83	5687569
49	3831579	1887877	66.99	5719456
50	3801693	1873312	66.99	5675005
51	3735671	1845275	66.94	5580946
52	3733970	1842911	66.95	5576881
53	3744954	1839112	67.07	5584066
54	3768628	1832999	67.28	5601627
55	3688282	1802007	67.18	5490289
56	3662583	1777089	67.33	5439672
57	3618468	1765759	67.20	5384227
58	3610721	1753504	67.31	5364225
59	3532010	1725231	67.18	5257241
60	3487667	1702393	67.20	5190060
61	3400580	1656550	67.24	5057130
62	3400138	1645695	67.39	5045833
63	3380755	1625613	67.53	5006368
64	3329843	1592120	67.65	4921963
65	3204504	1544618	67.48	4749122
66	3058714	1473559	67.49	4532273
67	3030153	1454510	67.57	4484663
68	3000519	1430564	67.72	4431083
69	2930115	1385472	67.90	4315587
70	2848323	1338045	68.04	4186368
71	2633135	1229504	68.17	3862639
72	2599598	1207632	68.28	3807230
73	2531600	1171981	68.36	3703581
74	2489414	1159557	68.22	3648971
75	2344500	1089590	68.27	3434090

CHG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	368665	25887752	1.40	26256417
2	191530	23781581	0.80	23973111
3	152807	23488398	0.65	23641205
4	136768	24561695	0.55	24698463
5	127782	25399279	0.50	25527061
6	126364	25541591	0.49	25667955
7	125391	25253531	0.49	25378922
8	126930	25922211	0.49	26049141
9	130830	26193071	0.50	26323901
10	126937	25693320	0.49	25820257
11	124957	25379979	0.49	25504936
12	123681	25746134	0.48	25869815
13	124012	25766112	0.48	25890124
14	124545	25821989	0.48	25946534
15	125353	26072701	0.48	26198054
16	125205	26005519	0.48	26130724
17	124087	25842715	0.48	25966802
18	125237	26067918	0.48	26193155
19	125389	26184946	0.48	26310335
20	134879	26467012	0.51	26601891
21	133386	26389150	0.50	26522536
22	134559	26410422	0.51	26544981
23	133634	26192025	0.51	26325659
24	137262	26948542	0.51	27085804
25	135349	26637447	0.51	26772796
26	134046	26459673	0.50	26593719
27	134437	26415144	0.51	26549581
28	135708	26570790	0.51	26706498
29	137190	26759413	0.51	26896603
30	135485	26670260	0.51	26805745
31	134936	26509603	0.51	26644539
32	135592	26526591	0.51	26662183
33	135922	26650052	0.51	26785974
34	135746	26535069	0.51	26670815
35	134808	26530974	0.51	26665782
36	134330	26356524	0.51	26490854
37	135026	26480056	0.51	26615082
38	135363	26585630	0.51	26720993
39	134833	26485543	0.51	26620376
40	133525	26345665	0.50	26479190
41	133605	26112658	0.51	26246263
42	133129	26127120	0.51	26260249
43	133075	26180082	0.51	26313157
44	132825	26133447	0.51	26266272
45	133251	26204802	0.51	26338053
46	131245	25799665	0.51	25930910
47	130620	25658328	0.51	25788948
48	130550	25622079	0.51	25752629
49	130310	25645236	0.51	25775546
50	129314	25523264	0.50	25652578
51	128394	25104000	0.51	25232394
52	127781	24899059	0.51	25026840
53	127581	24981687	0.51	25109268
54	125954	24751716	0.51	24877670
55	124677	24561593	0.51	24686270
56	123507	24309492	0.51	24432999
57	123320	24172012	0.51	24295332
58	121473	23879846	0.51	24001319
59	119898	23639330	0.50	23759228
60	118136	23325522	0.50	23443658
61	116544	22888270	0.51	23004814
62	115215	22832768	0.50	22947983
63	114187	22518463	0.50	22632650
64	113712	22140321	0.51	22254033
65	109751	21531048	0.51	21640799
66	104187	20716145	0.50	20820332
67	102535	20339861	0.50	20442396
68	101837	19935875	0.51	20037712
69	99734	19480188	0.51	19579922
70	95086	18752813	0.50	18847899
71	88707	17505912	0.50	17594619
72	87217	17106378	0.51	17193595
73	86868	16941000	0.51	17027868
74	82961	16098298	0.51	16181259
75	80136	15444696	0.52	15524832

CHH context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	1033480	79486533	1.28	80520013
2	537298	71178824	0.75	71716122
3	438766	71059529	0.61	71498295
4	409409	75241749	0.54	75651158
5	381643	77646262	0.49	78027905
6	386316	80146490	0.48	80532806
7	372500	78083941	0.47	78456441
8	375905	79687863	0.47	80063768
9	376857	79610055	0.47	79986912
10	375431	79125987	0.47	79501418
11	372601	78981168	0.47	79353769
12	368021	79156264	0.46	79524285
13	366381	78715713	0.46	79082094
14	365915	78849633	0.46	79215548
15	364198	78557174	0.46	78921372
16	363924	78411225	0.46	78775149
17	366431	78595234	0.46	78961665
18	364489	79037256	0.46	79401745
19	364710	79237338	0.46	79602048
20	384203	78928778	0.48	79312981
21	381778	78500438	0.48	78882216
22	382151	78801235	0.48	79183386
23	385772	78822746	0.49	79208518
24	383541	78571676	0.49	78955217
25	382263	78396381	0.49	78778644
26	380636	78011864	0.49	78392500
27	385094	78485450	0.49	78870544
28	383088	78072785	0.49	78455873
29	380083	77663551	0.49	78043634
30	379890	77667953	0.49	78047843
31	381053	77690398	0.49	78071451
32	381198	77708962	0.49	78090160
33	379970	77426741	0.49	77806711
34	379200	77258073	0.49	77637273
35	379580	77502164	0.49	77881744
36	378941	77276361	0.49	77655302
37	377180	77079909	0.49	77457089
38	379130	77033932	0.49	77413062
39	376640	76868716	0.49	77245356
40	376011	76611264	0.49	76987275
41	377458	76375332	0.49	76752790
42	373793	76173258	0.49	76547051
43	373282	75897556	0.49	76270838
44	370772	75919610	0.49	76290382
45	370167	75558038	0.49	75928205
46	366240	74952225	0.49	75318465
47	365009	74750774	0.49	75115783
48	364311	74655143	0.49	75019454
49	364736	74450974	0.49	74815710
50	361142	73986013	0.49	74347155
51	360854	73330612	0.49	73691466
52	355825	73009165	0.49	73364990
53	354823	72625741	0.49	72980564
54	354121	72418797	0.49	72772918
55	351159	71803088	0.49	72154247
56	345060	71149196	0.48	71494256
57	343722	70329325	0.49	70673047
58	341885	69776592	0.49	70118477
59	337997	69256935	0.49	69594932
60	335673	68907189	0.48	69242862
61	331067	67604174	0.49	67935241
62	323956	66648165	0.48	66972121
63	321958	65589522	0.49	65911480
64	315047	64431615	0.49	64746662
65	308722	63185329	0.49	63494051
66	297479	61569468	0.48	61866947
67	293905	60292231	0.49	60586136
68	287563	58761189	0.49	59048752
69	278738	57098146	0.49	57376884
70	267383	55238451	0.48	55505834
71	252083	52392581	0.48	52644664
72	244490	50557302	0.48	50801792
73	236310	48273951	0.49	48510261
74	225612	45921519	0.49	46147131
75	216521	43814859	0.49	44031380

CpG context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	1274587	8333021	13.27	9607608
2	2702000	3077257	46.75	5779257
3	2677384	1906262	58.41	4583646
4	3002178	1919450	61.00	4921628
5	3462281	1952502	63.94	5414783
6	3686427	1838152	66.73	5524579
7	3850309	1969508	66.16	5819817
8	3566144	1805172	66.39	5371316
9	3610435	1870196	65.88	5480631
10	3712614	1899192	66.16	5611806
11	3670669	1885465	66.07	5556134
12	3599688	1857619	65.96	5457307
13	3697476	1861361	66.52	5558837
14	3624063	1849327	66.21	5473390
15	3664340	1860106	66.33	5524446
16	3610656	1854480	66.07	5465136
17	3717290	1868419	66.55	5585709
18	3681391	1865854	66.36	5547245
19	3631607	1861476	66.11	5493083
20	3580361	1844861	65.99	5425222
21	3635170	1852526	66.24	5487696
22	3644808	1886058	65.90	5530866
23	3648147	1887292	65.91	5535439
24	3641371	1880341	65.95	5521712
25	3629843	1881331	65.86	5511174
26	3697535	1883341	66.25	5580876
27	3645695	1879022	65.99	5524717
28	3604533	1867095	65.88	5471628
29	3585959	1862847	65.81	5448806
30	3587184	1863879	65.81	5451063
31	3662891	1869921	66.20	5532812
32	3679342	1868816	66.32	5548158
33	3733882	1875402	66.57	5609284
34	3661876	1866257	66.24	5528133
35	3632848	1857714	66.17	5490562
36	3603623	1840223	66.20	5443846
37	3651572	1848562	66.39	5500134
38	3660725	1855120	66.37	5515845
39	3700585	1857552	66.58	5558137
40	3643684	1842812	66.41	5486496
41	3697939	1843452	66.73	5541391
42	3677112	1839105	66.66	5516217
43	3660851	1832850	66.64	5493701
44	3638936	1831834	66.52	5470770
45	3638550	1824537	66.60	5463087
46	3624461	1805086	66.75	5429547
47	3632993	1801613	66.85	5434606
48	3609254	1797316	66.76	5406570
49	3554459	1785880	66.56	5340339
50	3600348	1788513	66.81	5388861
51	3566731	1774728	66.77	5341459
52	3522594	1765610	66.61	5288204
53	3497968	1754983	66.59	5252951
54	3517618	1752016	66.75	5269634
55	3531221	1747075	66.90	5278296
56	3447418	1717692	66.74	5165110
57	3478623	1710666	67.03	5189289
58	3414937	1695339	66.82	5110276
59	3395101	1679166	66.91	5074267
60	3309836	1651292	66.72	4961128
61	3258749	1625672	66.72	4884421
62	3240892	1609718	66.81	4850610
63	3200480	1590619	66.80	4791099
64	3172604	1564955	66.97	4737559
65	3104934	1536399	66.90	4641333
66	2969403	1480764	66.73	4450167
67	2906654	1445381	66.79	4352035
68	2843692	1413486	66.80	4257178
69	2794035	1387267	66.82	4181302
70	2699051	1344584	66.75	4043635
71	2600917	1295353	66.75	3896270
72	2510013	1247342	66.80	3757355
73	2436544	1209172	66.83	3645716
74	2370263	1185334	66.66	3555597
