CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	5895081	1154906	83.62	7049987
2	4463850	821241	84.46	5285091
3	4936636	1073646	82.14	6010282
4	5639700	1152716	83.03	6792416
5	5637509	1140944	83.17	6778453
6	5872126	1276816	82.14	7148942
7	5468947	1151774	82.60	6620721
8	5768542	1227549	82.45	6996091
9	5958871	1251766	82.64	7210637
10	5794522	1219342	82.62	7013864
11	5707482	1209378	82.52	6916860
12	5853582	1219954	82.75	7073536
13	5836367	1215483	82.76	7051850
14	5953187	1226227	82.92	7179414
15	5890131	1229374	82.73	7119505
16	6092962	1242666	83.06	7335628
17	6075829	1244923	82.99	7320752
18	6041179	1247678	82.88	7288857
19	6033153	1243805	82.91	7276958
20	6151548	1288443	82.68	7439991
21	6170383	1286959	82.74	7457342
22	6214621	1287863	82.83	7502484
23	6210094	1287430	82.83	7497524
24	6227894	1292888	82.81	7520782
25	6287784	1296598	82.90	7584382
26	6195891	1288934	82.78	7484825
27	6163476	1290746	82.68	7454222
28	6185848	1292241	82.72	7478089
29	6208284	1288967	82.81	7497251
30	6309243	1298833	82.93	7608076
31	6299969	1291366	82.99	7591335
32	6383035	1298098	83.10	7681133
33	6305384	1296121	82.95	7601505
34	6216363	1285127	82.87	7501490
35	6219909	1283878	82.89	7503787
36	6256414	1282504	82.99	7538918
37	6305464	1284213	83.08	7589677
38	6357914	1289137	83.14	7647051
39	6262473	1277379	83.06	7539852
40	6328990	1276467	83.22	7605457
41	6213739	1259001	83.15	7472740
42	6177881	1255102	83.11	7432983
43	6211903	1253844	83.21	7465747
44	6192555	1243952	83.27	7436507
45	6171385	1240176	83.27	7411561
46	6127331	1225597	83.33	7352928
47	6063444	1220699	83.24	7284143
48	6001414	1209153	83.23	7210567
49	6024685	1205783	83.32	7230468
50	5942830	1186239	83.36	7129069
51	5836082	1166473	83.34	7002555
52	5856308	1160988	83.46	7017296
53	5845128	1151118	83.55	6996246
54	5860669	1145324	83.65	7005993
55	5700414	1120973	83.57	6821387
56	5636489	1093406	83.75	6729895
57	5525275	1081464	83.63	6606739
58	5481144	1063640	83.75	6544784
59	5337078	1039700	83.70	6376778
60	5244093	1015048	83.78	6259141
61	5047553	972091	83.85	6019644
62	5009697	955865	83.98	5965562
63	4921656	933377	84.06	5855033
64	4771533	899061	84.15	5670594
65	4555018	862781	84.08	5417799
66	4287413	804368	84.20	5091781
67	4222907	791892	84.21	5014799
68	4123699	765013	84.35	4888712
69	3979768	728753	84.52	4708521
70	3829835	691496	84.71	4521331
71	3488674	620607	84.90	4109281
72	3413260	608843	84.86	4022103
73	3266388	580275	84.91	3846663
74	3186777	570101	84.83	3756878
75	2996215	526437	85.06	3522652

CHG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	1025779	29279376	3.38	30305155
2	787326	25871548	2.95	26658874
3	694930	26431396	2.56	27126326
4	688593	27526931	2.44	28215524
5	702486	28275641	2.42	28978127
6	701459	28960373	2.36	29661832
7	693957	28809373	2.35	29503330
8	703932	29679675	2.32	30383607
9	756320	29719501	2.48	30475821
10	721978	29199464	2.41	29921442
11	703249	28876875	2.38	29580124
12	720512	29392135	2.39	30112647
13	730057	29570486	2.41	30300543
14	731530	29655268	2.41	30386798
15	728570	30000547	2.37	30729117
16	746581	29983265	2.43	30729846
17	744736	29817633	2.44	30562369
18	737536	30088238	2.39	30825774
19	736349	30366251	2.37	31102600
20	768481	30625074	2.45	31393555
21	781813	30458690	2.50	31240503
22	785226	30511318	2.51	31296544
23	767706	30353450	2.47	31121156
24	805116	31239616	2.51	32044732
25	778418	30725971	2.47	31504389
26	778254	30579238	2.48	31357492
27	785891	30580149	2.51	31366040
28	775242	30808588	2.45	31583830
29	793676	31059919	2.49	31853595
30	790515	30878861	2.50	31669376
31	779550	30702353	2.48	31481903
32	788435	30755827	2.50	31544262
33	792767	30796309	2.51	31589076
34	782295	30561450	2.50	31343745
35	780690	30691012	2.48	31471702
36	772162	30549231	2.47	31321393
37	780678	30778555	2.47	31559233
38	802223	30793425	2.54	31595648
39	783035	30615537	2.49	31398572
40	781065	30463728	2.50	31244793
41	775225	30128785	2.51	30904010
42	788714	30150567	2.55	30939281
43	784193	30253863	2.53	31038056
44	777542	30120564	2.52	30898106
45	774331	30236661	2.50	31010992
46	761125	29721227	2.50	30482352
47	761127	29523958	2.51	30285085
48	757221	29345329	2.52	30102550
49	752917	29227270	2.51	29980187
50	746935	29022480	2.51	29769415
51	734067	28507945	2.51	29242012
52	731579	28193243	2.53	28924822
53	736549	28211019	2.54	28947568
54	724978	27875760	2.53	28600738
55	711629	27467222	2.53	28178851
56	711023	27046846	2.56	27757869
57	686244	26685736	2.51	27371980
58	676978	26141517	2.52	26818495
59	664533	25720587	2.52	26385120
60	647186	25135151	2.51	25782337
61	628483	24450880	2.51	25079363
62	635010	24118428	2.57	24753438
63	615467	23464818	2.56	24080285
64	600265	22822343	2.56	23422608
65	577521	21917723	2.57	22495244
66	543343	20843324	2.54	21386667
67	527108	20262351	2.54	20789459
68	511672	19583894	2.55	20095566
69	495625	18809534	2.57	19305159
70	469931	17857063	2.56	18326994
71	430489	16546615	2.54	16977104
72	419148	15929517	2.56	16348665
73	410260	15530644	2.57	15940904
74	392194	14659317	2.61	15051511
75	374839	13862315	2.63	14237154

CHH context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	1651982	83633406	1.94	85285388
2	1027402	73808704	1.37	74836106
3	886876	75478753	1.16	76365629
4	901609	79476693	1.12	80378302
5	876257	82053004	1.06	82929261
6	890459	85886948	1.03	86777407
7	860578	82556570	1.03	83417148
8	871929	83776976	1.03	84648905
9	887484	83463590	1.05	84351074
10	877581	82578553	1.05	83456134
11	870314	82021948	1.05	82892262
12	878872	82213893	1.06	83092765
13	889309	81371795	1.08	82261104
14	878976	81449054	1.07	82328030
15	873825	80933741	1.07	81807566
16	883089	80643923	1.08	81527012
17	883446	80847082	1.08	81730528
18	878639	81123595	1.07	82002234
19	871851	81294773	1.06	82166624
20	908981	80703682	1.11	81612663
21	909505	80084293	1.12	80993798
22	910926	80393138	1.12	81304064
23	911123	80296777	1.12	81207900
24	906430	79720369	1.12	80626799
25	906961	79378125	1.13	80285086
26	894287	79008659	1.12	79902946
27	897835	79648052	1.11	80545887
28	897250	79168683	1.12	80065933
29	898135	78627888	1.13	79526023
30	899461	78614387	1.13	79513848
31	905959	78583596	1.14	79489555
32	909777	78548186	1.14	79457963
33	911692	78372183	1.15	79283875
34	910035	78184876	1.15	79094911
35	900864	78646662	1.13	79547526
36	902923	78209256	1.14	79112179
37	891297	77942345	1.13	78833642
38	898259	78023881	1.14	78922140
39	893064	77621529	1.14	78514593
40	894445	77432501	1.14	78326946
41	887591	77145800	1.14	78033391
42	889261	76856419	1.14	77745680
43	885818	76548100	1.14	77433918
44	885938	76419515	1.15	77305453
