CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	3260501	1472233	68.89	4732734
2	2532048	1296278	66.14	3828326
3	2720951	1426319	65.61	4147270
4	3504316	1582829	68.89	5087145
5	3526861	1698425	67.50	5225286
6	3653234	1938299	65.34	5591533
7	3446334	1741007	66.44	5187341
8	3740599	1890589	66.43	5631188
9	3800715	1898224	66.69	5698939
10	3670592	1846047	66.54	5516639
11	3570160	1820001	66.23	5390161
12	3657061	1828657	66.67	5485718
13	3624207	1826066	66.50	5450273
14	3678170	1846940	66.57	5525110
15	3627833	1842968	66.31	5470801
16	3804607	1874491	66.99	5679098
17	3736306	1870596	66.64	5606902
18	3703554	1873534	66.41	5577088
19	3708211	1874025	66.43	5582236
20	3774645	1918436	66.30	5693081
21	3779603	1919169	66.32	5698772
22	3785480	1916605	66.39	5702085
23	3772621	1911857	66.37	5684478
24	3797606	1922447	66.39	5720053
25	3798923	1922498	66.40	5721421
26	3720995	1909719	66.08	5630714
27	3695316	1904114	65.99	5599430
28	3717134	1903370	66.14	5620504
29	3725538	1906591	66.15	5632129
30	3817035	1922013	66.51	5739048
31	3795961	1908952	66.54	5704913
32	3850132	1923947	66.68	5774079
33	3784687	1915169	66.40	5699856
34	3725344	1903583	66.18	5628927
35	3725471	1896874	66.26	5622345
36	3763901	1901754	66.43	5665655
37	3776069	1907078	66.44	5683147
38	3830210	1911619	66.71	5741829
39	3780123	1899673	66.55	5679796
40	3846047	1907766	66.84	5753813
41	3752902	1882197	66.60	5635099
42	3763565	1880427	66.68	5643992
43	3766891	1877554	66.74	5644445
44	3769927	1877432	66.76	5647359
45	3760040	1871694	66.77	5631734
46	3732294	1853913	66.81	5586207
47	3701288	1847009	66.71	5548297
48	3671306	1837343	66.65	5508649
49	3690710	1836278	66.78	5526988
50	3653509	1818349	66.77	5471858
51	3581355	1792615	66.64	5373970
52	3614889	1794642	66.82	5409531
53	3629461	1788506	66.99	5417967
54	3657861	1788296	67.16	5446157
55	3550633	1755898	66.91	5306531
56	3514941	1725389	67.07	5240330
57	3440617	1705879	66.85	5146496
58	3457191	1698279	67.06	5155470
59	3398613	1674869	66.99	5073482
60	3354441	1652959	66.99	5007400
61	3250260	1605769	66.93	4856029
62	3253691	1590587	67.17	4844278
63	3250038	1575450	67.35	4825488
64	3178220	1536933	67.40	4715153
65	3057945	1492983	67.19	4550928
66	2891199	1421497	67.04	4312696
67	2868437	1399394	67.21	4267831
68	2842762	1364685	67.57	4207447
69	2772536	1326438	67.64	4098974
70	2664774	1268246	67.75	3933020
71	2452581	1164477	67.81	3617058
72	2406569	1137792	67.90	3544361
73	2336081	1094432	68.10	3430513
74	2297763	1078812	68.05	3376575
75	2173255	1007308	68.33	3180563

CHG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	441012	22238982	1.94	22679994
2	221518	20671737	1.06	20893255
3	182274	21422270	0.84	21604544
4	162150	22465525	0.72	22627675
5	150971	23781880	0.63	23932851
6	152771	24530517	0.62	24683288
7	153008	24507812	0.62	24660820
