CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	1123364	1116337	50.16	2239701
2	806003	759686	51.48	1565689
3	872831	1051284	45.36	1924115
4	903053	930994	49.24	1834047
5	856779	952831	47.35	1809610
6	911320	1006341	47.52	1917661
7	800761	936566	46.09	1737327
8	828390	1008896	45.09	1837286
9	877679	1029577	46.02	1907256
10	880736	1031192	46.07	1911928
11	856625	1001678	46.10	1858303
12	857166	995328	46.27	1852494
13	832488	970570	46.17	1803058
14	832418	976916	46.01	1809334
15	845885	994105	45.97	1839990
16	849133	1003805	45.83	1852938
17	857036	1006201	46.00	1863237
18	862807	1016836	45.90	1879643
19	866910	1025194	45.82	1892104
20	862502	1030375	45.57	1892877
21	867933	1023550	45.89	1891483
22	877308	1037300	45.82	1914608
23	870157	1030166	45.79	1900323
24	875140	1034363	45.83	1909503
25	868353	1028507	45.78	1896860
26	864293	1026148	45.72	1890441
27	861815	1026015	45.65	1887830
28	858917	1022176	45.66	1881093
29	726066	871297	45.45	1597363
30	863013	1035999	45.45	1899012
31	865239	1039057	45.44	1904296
32	853596	1016708	45.64	1870304
33	857198	1023002	45.59	1880200
34	855668	1026079	45.47	1881747
35	866829	1037708	45.51	1904537
36	850803	1018946	45.50	1869749
37	866606	1040676	45.44	1907282
38	869886	1050912	45.29	1920798
39	864668	1038733	45.43	1903401
40	869369	1040451	45.52	1909820
41	860645	1024950	45.64	1885595
42	876184	1051854	45.44	1928038
43	875715	1046053	45.57	1921768
44	860705	1021036	45.74	1881741
45	853840	1015179	45.68	1869019
46	854523	1020026	45.59	1874549
47	859695	1032608	45.43	1892303
48	859898	1030199	45.49	1890097
49	857954	1027455	45.50	1885409
50	862525	1030005	45.58	1892530
51	856575	1020981	45.62	1877556
52	851653	1016928	45.58	1868581
53	857438	1024940	45.55	1882378
54	851830	1019746	45.51	1871576
55	859383	1025204	45.60	1884587
56	846708	1015174	45.48	1861882
57	860224	1031776	45.47	1892000
58	880847	1055831	45.48	1936678
59	861819	1042245	45.26	1904064
60	866197	1035080	45.56	1901277
61	855552	1025045	45.49	1880597
62	856387	1014293	45.78	1870680
63	863064	1038617	45.38	1901681
64	849959	1021598	45.41	1871557
65	852035	1024796	45.40	1876831
66	861204	1040560	45.28	1901764
67	852035	1023542	45.43	1875577
68	855966	1030247	45.38	1886213
69	855218	1026954	45.44	1882172
70	863052	1037718	45.41	1900770
71	847323	1016743	45.46	1864066
72	837145	1004951	45.45	1842096
73	835299	997155	45.58	1832454
74	832225	1003287	45.34	1835512
75	844267	1020926	45.26	1865193
76	845909	1026403	45.18	1872312
77	839635	1008070	45.44	1847705
78	846803	1022951	45.29	1869754
79	830515	1004592	45.26	1835107
80	832108	1004529	45.31	1836637
81	822900	993670	45.30	1816570
82	815320	985179	45.28	1800499
83	809129	981693	45.18	1790822
84	810495	990519	45.00	1801014
85	809025	984552	45.11	1793577
86	803424	981623	45.01	1785047
87	791989	967389	45.02	1759378
88	799453	973120	45.10	1772573
89	788508	963541	45.00	1752049
90	785719	955743	45.12	1741462
91	783178	965809	44.78	1748987
92	771606	943747	44.98	1715353
93	755719	918638	45.13	1674357
94	740181	917325	44.66	1657506
95	718749	887039	44.76	1605788
96	650288	808471	44.58	1458759
97	593259	726049	44.97	1319308
98	576863	700981	45.14	1277844
99	516790	629996	45.06	1146786

CHG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	770074	8747868	8.09	9517942
2	300357	8201163	3.53	8501520
3	209651	7466387	2.73	7676038
4	171733	7749279	2.17	7921012
5	136185	7658022	1.75	7794207
6	139511	7660494	1.79	7800005
7	131484	7818389	1.65	7949873
8	141758	8315833	1.68	8457591
9	144557	8440738	1.68	8585295
10	139896	8127597	1.69	8267493
11	135628	7911590	1.69	8047218
12	135234	7969830	1.67	8105064
13	133628	7969125	1.65	8102753
14	135285	8063735	1.65	8199020
15	136517	8064663	1.66	8201180
16	137535	8185467	1.65	8323002
17	138883	8180459	1.67	8319342
18	139615	8201221	1.67	8340836
19	138899	8224722	1.66	8363621
20	158848	8235730	1.89	8394578
21	140529	8312001	1.66	8452530
22	141362	8300791	1.67	8442153
23	143412	8269127	1.70	8412539
24	141923	8375365	1.67	8517288
25	142564	8355210	1.68	8497774
26	142770	8377529	1.68	8520299
27	142443	8385528	1.67	8527971
28	145856	8457206	1.70	8603062
29	121159	7130384	1.67	7251543
30	146184	8481868	1.69	8628052
31	146239	8446244	1.70	8592483
32	145517	8450684	1.69	8596201
33	143866	8443526	1.68	8587392
34	145613	8445743	1.69	8591356
35	143356	8393886	1.68	8537242
36	146686	8384256	1.72	8530942
37	146575	8478023	1.70	8624598
38	145354	8482584	1.68	8627938
39	145921	8457293	1.70	8603214
40	144869	8448469	1.69	8593338
41	143410	8431608	1.67	8575018
42	144330	8471238	1.68	8615568
43	143401	8443689	1.67	8587090
44	143428	8429940	1.67	8573368
45	148044	8377991	1.74	8526035
46	143978	8427835	1.68	8571813
47	145194	8446137	1.69	8591331
48	143676	8452853	1.67	8596529
49	145901	8473960	1.69	8619861
50	145264	8466475	1.69	8611739
51	145126	8455284	1.69	8600410
52	145143	8456977	1.69	8602120
53	145879	8484345	1.69	8630224
54	144030	8473456	1.67	8617486
55	142960	8452131	1.66	8595091
56	144433	8467737	1.68	8612170
57	142885	8458326	1.66	8601211
58	145468	8463552	1.69	8609020
59	146370	8473084	1.70	8619454
60	147330	8481902	1.71	8629232
61	145361	8434658	1.69	8580019
62	145645	8433093	1.70	8578738
63	144464	8409047	1.69	8553511
64	146168	8366499	1.72	8512667
65	145963	8365410	1.71	8511373
66	143971	8421529	1.68	8565500
67	143384	8389473	1.68	8532857
68	144656	8389516	1.70	8534172
69	142732	8360962	1.68	8503694
70	145247	8350999	1.71	8496246
71	142779	8345416	1.68	8488195
72	141669	8346725	1.67	8488394
73	140818	8360437	1.66	8501255
74	142442	8319610	1.68	8462052
75	142484	8309028	1.69	8451512
76	140242	8282361	1.67	8422603
77	141879	8313021	1.68	8454900
78	140889	8296934	1.67	8437823
79	140688	8268603	1.67	8409291
80	145196	8273441	1.72	8418637
81	141288	8246527	1.68	8387815
82	140564	8187160	1.69	8327724
83	138581	8171439	1.67	8310020
84	138862	8139046	1.68	8277908
85	137865	8117124	1.67	8254989
86	137068	8082928	1.67	8219996
87	137982	8059877	1.68	8197859
88	136380	8011543	1.67	8147923
89	136211	7943900	1.69	8080111
90	135860	7881888	1.69	8017748
91	133608	7777240	1.69	7910848
92	129948	7656054	1.67	7786002
93	125343	7415317	1.66	7540660
94	118403	7139932	1.63	7258335
95	109719	6789211	1.59	6898930
96	101494	6176878	1.62	6278372
97	82713	5099219	1.60	5181932
98	30027	3278279	0.91	3308306
99	27597	3100239	0.88	3127836

CHH context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	1834538	21324868	7.92	23159406
2	732912	18836760	3.75	19569672
3	545012	19823730	2.68	20368742
4	473508	19663566	2.35	20137074
5	386003	20245592	1.87	20631595
6	424501	21222640	1.96	21647141
7	390040	21299642	1.80	21689682
8	396576	21356261	1.82	21752837
9	394149	20888056	1.85	21282205
10	389293	20579735	1.86	20969028
11	387156	20776204	1.83	21163360
12	389171	21177469	1.80	21566640
13	385567	21272510	1.78	21658077
14	391262	21378942	1.80	21770204
15	397222	21415784	1.82	21813006
16	399223	21501559	1.82	21900782
17	398057	21476029	1.82	21874086
18	401838	21466716	1.84	21868554
19	400055	21578512	1.82	21978567
20	442567	21506357	2.02	21948924
21	399587	21590071	1.82	21989658
22	397783	21576434	1.81	21974217
23	403003	21461104	1.84	21864107
24	392639	21536171	1.79	21928810
25	393430	21487472	1.80	21880902
26	391262	21478722	1.79	21869984
27	390701	21516677	1.78	21907378
28	398916	21549783	1.82	21948699
29	335587	18166533	1.81	18502120
30	394925	21442390	1.81	21837315
31	397490	21377006	1.83	21774496
32	393740	21378881	1.81	21772621
33	395778	21448895	1.81	21844673
34	395402	21420813	1.81	21816215
35	396417	21430414	1.82	21826831
36	408013	21357497	1.87	21765510
37	400474	21384037	1.84	21784511
38	394632	21426338	1.81	21820970
39	397436	21404591	1.82	21802027
40	396312	21425803	1.82	21822115
41	396064	21422018	1.82	21818082
42	399685	21442407	1.83	21842092
43	400023	21426773	1.83	21826796
44	398769	21427087	1.83	21825856
45	405834	21332349	1.87	21738183
46	397791	21487323	1.82	21885114
47	394338	21455529	1.80	21849867
48	395855	21503934	1.81	21899789
