CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	2160001	466592	82.24	2626593
2	2197451	523421	80.76	2720872
3	2161003	540219	80.00	2701222
4	2564439	545035	82.47	3109474
5	2356281	539019	81.38	2895300
6	2383571	608001	79.68	2991572
7	2214140	547051	80.19	2761191
8	2395671	593571	80.14	2989242
9	2247724	551620	80.29	2799344
10	2287547	570646	80.03	2858193
11	2229703	566556	79.74	2796259
12	2301053	572523	80.08	2873576
13	2280835	572339	79.94	2853174
14	2301738	574412	80.03	2876150
15	2268838	574795	79.79	2843633
16	2363737	582985	80.22	2946722
17	2303352	579115	79.91	2882467
18	2284888	580485	79.74	2865373
19	2286142	579859	79.77	2866001
20	2325420	585669	79.88	2911089
21	2307811	584332	79.80	2892143
22	2322524	585849	79.86	2908373
23	2314949	586695	79.78	2901644
24	2331362	589782	79.81	2921144
25	2307500	587394	79.71	2894894
26	2288241	587423	79.57	2875664
27	2282015	588288	79.50	2870303
28	2279341	586941	79.52	2866282
29	2281594	587447	79.52	2869041
30	2333590	593205	79.73	2926795
31	2323204	592222	79.69	2915426
32	2348997	595970	79.76	2944967
33	2292672	591092	79.50	2883764
34	2276374	589017	79.44	2865391
35	2278186	589648	79.44	2867834
36	2303267	591558	79.56	2894825
37	2308692	592684	79.57	2901376
38	2328012	596403	79.61	2924415
39	2317636	595652	79.55	2913288
40	2347900	596425	79.74	2944325
41	2299629	590661	79.56	2890290
42	2304337	592827	79.54	2897164
43	2322604	593858	79.64	2916462
44	2324269	595244	79.61	2919513
45	2334478	597213	79.63	2931691
46	2325643	596628	79.58	2922271
47	2314127	594480	79.56	2908607
48	2318722	597130	79.52	2915852
49	2332604	597096	79.62	2929700
50	2310545	594142	79.55	2904687
51	2298355	593702	79.47	2892057
52	2306008	593537	79.53	2899545
53	2316445	594597	79.57	2911042
54	2341602	597752	79.66	2939354
55	2309740	593951	79.54	2903691
56	2341377	596619	79.69	2937996
57	2295098	594346	79.43	2889444
58	2323921	593887	79.65	2917808
59	2299940	596441	79.41	2896381
60	2313105	596769	79.49	2909874
61	2302246	596314	79.43	2898560
62	2326972	598670	79.54	2925642
63	2321935	596846	79.55	2918781
64	2315304	595743	79.54	2911047
65	2277155	595884	79.26	2873039
66	2272773	594322	79.27	2867095
67	2270762	593672	79.27	2864434
68	2294029	596376	79.37	2890405
69	2287718	595437	79.35	2883155
70	2294165	597302	79.34	2891467
71	2289685	596596	79.33	2886281
72	2288600	596629	79.32	2885229
73	2253349	591499	79.21	2844848
74	2249317	593301	79.13	2842618
75	2260286	595092	79.16	2855378
76	2260480	592928	79.22	2853408
77	2232587	592963	79.01	2825550
78	2246754	593049	79.12	2839803
79	2229687	592250	79.01	2821937
80	2236170	590329	79.11	2826499
81	2222219	591732	78.97	2813951
82	2217341	590866	78.96	2808207
83	2196180	589314	78.84	2785494
84	2192038	587631	78.86	2779669
85	2181993	587356	78.79	2769349
86	2187599	587386	78.83	2774985
87	2162640	585151	78.70	2747791
88	2168664	586672	78.71	2755336
89	2139671	582503	78.60	2722174
90	2133095	582061	78.56	2715156
91	2116836	578048	78.55	2694884
92	2105992	574182	78.58	2680174
93	2090679	573061	78.49	2663740
94	2094475	572006	78.55	2666481
95	2050585	567123	78.34	2617708
96	1914414	530682	78.30	2445096
97	1966571	549734	78.15	2516305
98	1955943	547413	78.13	2503356
99	1922487	539052	78.10	2461539
100	1874109	529216	77.98	2403325
101	1604209	434080	78.70	2038289

CHG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	1113532	11798932	8.62	12912464
2	492196	13017901	3.64	13510097
3	259904	12308523	2.07	12568427
4	185922	12739033	1.44	12924955
5	131897	12782751	1.02	12914648
6	117183	13322369	0.87	13439552
7	107621	13173396	0.81	13281017
8	103777	13390949	0.77	13494726
