CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	3625017	997095	78.43	4622112
2	3145846	1105848	73.99	4251694
3	3158130	1129603	73.66	4287733
4	3868165	1216841	76.07	5085006
5	3545568	1167727	75.22	4713295
6	3601555	1344027	72.82	4945582
7	3309759	1199232	73.40	4508991
8	3577346	1297312	73.39	4874658
9	3609550	1296706	73.57	4906256
10	3528996	1274734	73.46	4803730
11	3441123	1260497	73.19	4701620
12	3486821	1269330	73.31	4756151
13	3479505	1265673	73.33	4745178
14	3501588	1277090	73.28	4778678
15	3455473	1274087	73.06	4729560
16	3604195	1287091	73.69	4891286
17	3513248	1286328	73.20	4799576
18	3484291	1292121	72.95	4776412
19	3481870	1286733	73.02	4768603
20	3561811	1302072	73.23	4863883
21	3529905	1303079	73.04	4832984
22	3554688	1301437	73.20	4856125
23	3566556	1303667	73.23	4870223
24	3571334	1310339	73.16	4881673
25	3573765	1311833	73.15	4885598
26	3529015	1308881	72.95	4837896
27	3531923	1312912	72.90	4844835
28	3526934	1308291	72.94	4835225
29	3525652	1312396	72.87	4838048
30	3592320	1319464	73.14	4911784
31	3595677	1321657	73.12	4917334
32	3641106	1326126	73.30	4967232
33	3567431	1319427	73.00	4886858
34	3528461	1311718	72.90	4840179
35	3546001	1315157	72.95	4861158
36	3581727	1321566	73.05	4903293
37	3577965	1318865	73.07	4896830
38	3612100	1321862	73.21	4933962
39	3595909	1326521	73.05	4922430
40	3656900	1329039	73.34	4985939
41	3577434	1320773	73.04	4898207
42	3585144	1322324	73.05	4907468
43	3599311	1324011	73.11	4923322
44	3608139	1326339	73.12	4934478
45	3619694	1324968	73.20	4944662
46	3604820	1323914	73.14	4928734
47	3588548	1323312	73.06	4911860
48	3602159	1326711	73.08	4928870
49	3626475	1326478	73.22	4952953
50	3587586	1322418	73.07	4910004
51	3561079	1325641	72.87	4886720
52	3582851	1325299	73.00	4908150
53	3605016	1327819	73.08	4932835
54	3636742	1333754	73.17	4970496
55	3600078	1323816	73.11	4923894
56	3638702	1329268	73.24	4967970
57	3570288	1326301	72.91	4896589
58	3613706	1329700	73.10	4943406
59	3577357	1323340	73.00	4900697
60	3588251	1328151	72.99	4916402
61	3581247	1322702	73.03	4903949
62	3614582	1328226	73.13	4942808
63	3622266	1326965	73.19	4949231
64	3614815	1325724	73.17	4940539
65	3557662	1321049	72.92	4878711
66	3544553	1316880	72.91	4861433
67	3547964	1318979	72.90	4866943
68	3585790	1321083	73.08	4906873
69	3573942	1322523	72.99	4896465
70	3597592	1319473	73.17	4917065
71	3569104	1319586	73.01	4888690
72	3584258	1324746	73.01	4909004
73	3534225	1317092	72.85	4851317
74	3539660	1314689	72.92	4854349
75	3548213	1316974	72.93	4865187
76	3552955	1317177	72.95	4870132
77	3511936	1311425	72.81	4823361
78	3534051	1318849	72.82	4852900
79	3506636	1311662	72.78	4818298
80	3532198	1308068	72.98	4840266
81	3507283	1313570	72.75	4820853
82	3497859	1308114	72.78	4805973
83	3467895	1304702	72.66	4772597
84	3473010	1304071	72.70	4777081
85	3455561	1302223	72.63	4757784
86	3475879	1302872	72.74	4778751
87	3441067	1300519	72.57	4741586
88	3457155	1298806	72.69	4755961
89	3413668	1297705	72.46	4711373
90	3389404	1296444	72.33	4685848
91	3374313	1288507	72.37	4662820
92	3347269	1284948	72.26	4632217
93	3308012	1281095	72.08	4589107
94	3316612	1281833	72.12	4598445
95	3215869	1277009	71.58	4492878
96	3107204	1269703	70.99	4376907
97	2954518	1261013	70.09	4215531
98	2830065	1251261	69.34	4081326
99	2695222	1233694	68.60	3928916
100	2499136	1224542	67.11	3723678
101	3065411	1157109	72.60	4222520

CHG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	1732737	17398702	9.06	19131439
2	789704	19425426	3.91	20215130
3	441972	19310717	2.24	19752689
4	316765	19947415	1.56	20264180
5	241898	19605720	1.22	19847618
6	217072	20400751	1.05	20617823
7	200955	20247106	0.98	20448061
8	193617	20794785	0.92	20988402
9	186291	20656744	0.89	20843035
10	176134	20456192	0.85	20632326
11	168343	20326583	0.82	20494926
12	168613	20518396	0.82	20687009
13	163003	20583919	0.79	20746922
14	163391	20637593	0.79	20800984
15	165140	20911077	0.78	21076217
16	163699	20811890	0.78	20975589
17	160803	20725443	0.77	20886246
18	164858	20898923	0.78	21063781
19	165882	21089547	0.78	21255429
20	167827	21158117	0.79	21325944
21	169264	21044666	0.80	21213930
22	168557	21194213	0.79	21362770
23	170378	21178865	0.80	21349243
24	178200	21725127	0.81	21903327
25	171613	21327009	0.80	21498622
26	169700	21281703	0.79	21451403
27	170948	21309090	0.80	21480038
28	173031	21477130	0.80	21650161
29	175337	21575991	0.81	21751328
30	173525	21455083	0.80	21628608
31	174266	21476775	0.80	21651041
32	174344	21485656	0.80	21660000
33	177174	21546183	0.82	21723357
34	173893	21390971	0.81	21564864
35	173909	21458063	0.80	21631972
36	173146	21372138	0.80	21545284
37	174980	21636181	0.80	21811161
38	176934	21598163	0.81	21775097
39	175714	21557472	0.81	21733186
40	174013	21443492	0.80	21617505
41	172667	21371241	0.80	21543908
42	175707	21491678	0.81	21667385
43	175966	21625734	0.81	21801700
44	175389	21513289	0.81	21688678
45	176379	21587261	0.81	21763640
46	176652	21498189	0.82	21674841
47	178893	21545412	0.82	21724305
48	176979	21597493	0.81	21774472
49	176493	21573072	0.81	21749565
50	176572	21501057	0.81	21677629
51	173563	21436521	0.80	21610084
52	173787	21419246	0.80	21593033
53	175303	21557234	0.81	21732537
54	175561	21443701	0.81	21619262
55	176331	21527787	0.81	21704118
56	174466	21511377	0.80	21685843
57	174727	21486302	0.81	21661029
58	174570	21425680	0.81	21600250
59	174145	21431781	0.81	21605926
60	176033	21386856	0.82	21562889
61	174106	21496300	0.80	21670406
62	176601	21665024	0.81	21841625
63	178142	21531420	0.82	21709562
64	173994	21511601	0.80	21685595
65	174072	21365450	0.81	21539522
66	175745	21370624	0.82	21546369
67	175497	21477679	0.81	21653176
68	177284	21553360	0.82	21730644
69	176434	21520244	0.81	21696678
70	173254	21363064	0.80	21536318
71	172693	21340509	0.80	21513202
72	174814	21380345	0.81	21555159
73	175271	21321035	0.82	21496306
74	172774	21265832	0.81	21438606
75	178016	21246723	0.83	21424739
76	173676	21278879	0.81	21452555
77	173689	21254250	0.81	21427939
78	180568	21234438	0.84	21415006
79	173879	21136877	0.82	21310756
80	171772	21179417	0.80	21351189
81	172304	21092206	0.81	21264510
82	172002	21105369	0.81	21277371
83	169470	20988142	0.80	21157612
84	174119	21020532	0.82	21194651
85	173672	21062557	0.82	21236229
86	170336	21038403	0.80	21208739
87	176147	21007331	0.83	21183478
88	169813	20906143	0.81	21075956
89	168308	20810991	0.80	20979299
90	165901	20713522	0.79	20879423
91	168467	20739365	0.81	20907832
92	168001	20643158	0.81	20811159
93	166824	20653877	0.80	20820701
94	162683	20503321	0.79	20666004
95	161180	20391302	0.78	20552482
96	158543	20293423	0.78	20451966
97	154754	20186599	0.76	20341353
98	151273	20036497	0.75	20187770
99	147897	19905742	0.74	20053639
100	151337	19937553	0.75	20088890
101	154689	19134293	0.80	19288982

CHH context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	4946062	57556551	7.91	62502613
2	2186416	61976061	3.41	64162477
3	1244698	61740163	1.98	62984861
4	922566	63887458	1.42	64810024
5	739545	64480602	1.13	65220147
6	690863	69097079	0.99	69787942
7	606315	66028425	0.91	66634740
8	593876	68180404	0.86	68774280
9	566285	67944653	0.83	68510938
10	542586	67902744	0.79	68445330
11	519958	67684350	0.76	68204308
12	520205	67659376	0.76	68179581
13	498738	67574027	0.73	68072765
14	497414	67850518	0.73	68347932
15	491802	67819371	0.72	68311173
16	494045	67926631	0.72	68420676
17	491663	68113153	0.72	68604816
18	497333	68603416	0.72	69100749
19	500059	68563417	0.72	69063476
20	496107	68412304	0.72	68908411
21	505678	68545393	0.73	69051071
22	503469	68849913	0.73	69353382
23	501177	68837300	0.72	69338477
24	504446	68481706	0.73	68986152
25	501851	68501711	0.73	69003562
26	503852	68374243	0.73	68878095
27	505572	68743271	0.73	69248843
28	501607	68464061	0.73	68965668
29	502763	68314174	0.73	68816937
30	504039	68328881	0.73	68832920
31	505134	68304019	0.73	68809153
32	505401	68279852	0.73	68785253
33	510305	68230872	0.74	68741177
34	508104	68361563	0.74	68869667
35	509206	68557643	0.74	69066849
36	505172	68332446	0.73	68837618
37	505449	68330221	0.73	68835670
38	507273	68374636	0.74	68881909
39	504838	68257932	0.73	68762770
40	507411	68230678	0.74	68738089
41	503788	68235180	0.73	68738968
42	507951	68377600	0.74	68885551
43	507922	68326295	0.74	68834217
44	509040	68387706	0.74	68896746
45	508134	68291644	0.74	68799778
46	508153	68308527	0.74	68816680
47	515440	68351786	0.75	68867226
48	509157	68530117	0.74	69039274
49	507920	68395942	0.74	68903862
50	512636	68321477	0.74	68834113
51	508064	68354421	0.74	68862485
52	508657	68466112	0.74	68974769
53	508409	68400927	0.74	68909336
54	509469	68460176	0.74	68969645
55	506021	68333902	0.74	68839923
56	510124	68469610	0.74	68979734
57	506581	68305933	0.74	68812514
58	511320	68383955	0.74	68895275
59	511887	68404487	0.74	68916374
60	516608	68604456	0.75	69121064
61	509646	68516197	0.74	69025843
62	510570	68363340	0.74	68873910
63	514285	68242362	0.75	68756647
64	508845	68229045	0.74	68737890
65	510688	68251565	0.74	68762253
66	522087	68415204	0.76	68937291
67	512630	68451202	0.74	68963832
68	506867	68234600	0.74	68741467
69	510422	68142526	0.74	68652948
70	506532	67950739	0.74	68457271
71	506455	68047275	0.74	68553730
72	512275	67975688	0.75	68487963
73	508304	67882804	0.74	68391108
74	504562	67823067	0.74	68327629
75	517897	67816866	0.76	68334763
76	509192	67717836	0.75	68227028
77	507200	67616238	0.74	68123438
78	529270	67399076	0.78	67928346
79	505858	67369111	0.75	67874969
80	503789	67358042	0.74	67861831
81	506141	67242966	0.75	67749107
82	499275	67089827	0.74	67589102
83	496930	66917723	0.74	67414653
84	513129	66939365	0.76	67452494
85	510154	66953850	0.76	67464004
86	500231	66840913	0.74	67341144
87	511118	66642418	0.76	67153536
88	501508	66565953	0.75	67067461
89	497928	66451695	0.74	66949623
90	499899	66572130	0.75	67072029
91	499251	66442030	0.75	66941281
92	499467	66226559	0.75	66726026
93	499702	65999562	0.75	66499264
94	493181	65983993	0.74	66477174
95	490435	65675755	0.74	66166190
96	490916	65585393	0.74	66076309
97	486304	65303294	0.74	65789598
98	483286	65248892	0.74	65732178
99	482674	64727053	0.74	65209727
100	453415	64079601	0.70	64533016
101	451269	61506574	0.73	61957843

CpG context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	1465087	6968005	17.37	8433092
2	2500144	2069778	54.71	4569922
3	2540919	1458732	63.53	3999651
4	2751274	1346393	67.14	4097667
5	3555343	1434243	71.26	4989586
6	3442239	1316355	72.34	4758594
7	3572428	1507252	70.33	5079680
8	3205552	1331436	70.65	4536988
9	3441649	1424675	70.72	4866324
10	3506460	1435724	70.95	4942184
11	3425263	1393905	71.08	4819168
12	3355866	1373775	70.95	4729641
13	3396794	1376858	71.16	4773652
14	3380179	1374560	71.09	4754739
15	3412971	1383616	71.15	4796587
16	3367638	1373984	71.02	4741622
17	3492372	1387207	71.57	4879579
18	3408355	1379895	71.18	4788250
19	3417521	1378687	71.25	4796208
20	3392675	1380211	71.08	4772886
21	3452809	1386957	71.34	4839766
22	3463931	1382788	71.47	4846719
23	3488548	1380192	71.65	4868740
24	3462973	1381814	71.48	4844787
25	3477340	1390847	71.43	4868187
26	3461509	1383261	71.45	4844770
27	3414159	1379914	71.22	4794073
28	3455782	1379090	71.48	4834872
29	3440458	1376561	71.42	4817019
30	3424408	1376563	71.33	4800971
31	3526673	1376978	71.92	4903651
32	3549831	1381267	71.99	4931098
33	3549165	1381260	71.98	4930425
34	3508842	1372385	71.88	4881227
35	3462264	1368440	71.67	4830704
36	3473459	1368020	71.74	4841479
37	3479157	1376846	71.65	4856003
38	3488336	1369053	71.82	4857389
39	3561395	1375879	72.13	4937274
40	3538681	1369190	72.10	4907871
41	3595574	1375961	72.32	4971535
42	3537827	1368173	72.11	4906000
43	3529555	1362568	72.15	4892123
44	3544444	1365794	72.18	4910238
45	3562431	1363151	72.33	4925582
46	3572029	1367100	72.32	4939129
47	3561054	1366198	72.27	4927252
48	3543303	1359594	72.27	4902897
49	3548718	1359831	72.30	4908549
50	3555304	1361902	72.30	4917206
51	3545281	1359555	72.28	4904836
52	3528452	1350737	72.32	4879189
53	3528169	1351817	72.30	4879986
54	3550987	1354230	72.39	4905217
55	3570664	1354121	72.50	4924785
56	3553159	1350108	72.47	4903267
57	3584582	1351828	72.62	4936410
58	3518883	1343432	72.37	4862315
59	3541481	1347046	72.44	4888527
60	3523557	1340015	72.45	4863572
61	3532569	1342028	72.47	4874597
62	3519882	1340788	72.42	4860670
63	3554323	1342044	72.59	4896367
64	3555522	1337590	72.66	4893112
65	3533820	1332187	72.62	4866007
66	3355501	1278854	72.40	4634355
67	3382880	1289249	72.41	4672129
68	3371196	1282247	72.45	4653443
69	3421202	1286736	72.67	4707938
70	3370297	1278473	72.50	4648770
71	3445469	1289620	72.76	4735089
72	3457159	1297042	72.72	4754201
73	3429707	1282127	72.79	4711834
74	3367274	1268127	72.64	4635401
75	3283554	1238186	72.62	4521740
76	3437418	1291868	72.68	4729286
77	3388306	1264605	72.82	4652911
78	3342702	1260016	72.62	4602718
79	3387580	1272867	72.69	4660447
80	3386836	1275790	72.64	4662626
81	3392761	1268016	72.79	4660777
82	3382881	1265504	72.78	4648385
83	3339170	1246291	72.82	4585461
84	3363595	1261608	72.72	4625203
85	3401998	1271300	72.80	4673298
86	3377674	1270500	72.67	4648174
87	3343420	1250164	72.78	4593584
88	3317750	1239600	72.80	4557350
89	3336495	1250302	72.74	4586797
90	3385783	1265254	72.80	4651037
91	3355197	1258471	72.72	4613668
92	3374699	1261180	72.80	4635879
93	3345272	1254434	72.73	4599706
94	3363119	1252392	72.87	4615511
95	3376512	1250706	72.97	4627218
96	3325346	1238322	72.87	4563668
97	3283966	1226715	72.80	4510681
98	3236564	1219490	72.63	4456054
99	3184259	1205902	72.53	4390161
100	3105433	1167896	72.67	4273329
101	2927213	0	100.00	2927213

CHG context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	1369239	17974894	7.08	19344133
2	671928	24688119	2.65	25360047
3	354726	20129723	1.73	20484449
4	332431	19830044	1.65	20162475
5	230784	19312786	1.18	19543570
6	211180	20937210	1.00	21148390
7	184557	20021564	0.91	20206121
8	184855	20848637	0.88	21033492
9	174605	20362586	0.85	20537191
10	175241	20957909	0.83	21133150
11	168705	20852359	0.80	21021064
12	164363	20614872	0.79	20779235
13	163195	20495643	0.79	20658838
14	162194	20693240	0.78	20855434
15	163527	20766049	0.78	20929576
16	166543	20854238	0.79	21020781
17	167897	20982921	0.79	21150818
18	168108	21013907	0.79	21182015
19	164435	20843436	0.78	21007871
20	165884	21018926	0.78	21184810
21	168963	21175964	0.79	21344927
22	170800	21356026	0.79	21526826
23	169981	21231461	0.79	21401442
24	170223	21343418	0.79	21513641
25	170375	21305875	0.79	21476250
26	175944	21786096	0.80	21962040
27	173319	21454914	0.80	21628233
28	174434	21463337	0.81	21637771
29	172375	21407649	0.80	21580024
30	173884	21558961	0.80	21732845
31	176325	21671133	0.81	21847458
32	176679	21628327	0.81	21805006
33	174410	21568833	0.80	21743243
34	173483	21605909	0.80	21779392
35	176359	21659634	0.81	21835993
36	173917	21503904	0.80	21677821
37	171973	21490969	0.79	21662942
38	171195	21481394	0.79	21652589
