CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	3945711	1066091	78.73	5011802
2	3518402	1010925	77.68	4529327
3	3424590	1157479	74.74	4582069
4	3837461	1200566	76.17	5038027
5	3670679	1151718	76.12	4822397
6	3768168	1265004	74.87	5033172
7	3443921	1165304	74.72	4609225
8	3512781	1202964	74.49	4715745
9	3605142	1229181	74.57	4834323
10	3654664	1232006	74.79	4886670
11	3590870	1222711	74.60	4813581
12	3631143	1225552	74.77	4856695
13	3590589	1216336	74.70	4806925
14	3622464	1220156	74.80	4842620
15	3593882	1223610	74.60	4817492
16	3719869	1237587	75.04	4957456
17	3692684	1234756	74.94	4927440
18	3616816	1239193	74.48	4856009
19	3607885	1236588	74.47	4844473
20	3670878	1244011	74.69	4914889
21	3675218	1249336	74.63	4924554
22	3699448	1248680	74.76	4948128
23	3713785	1253462	74.77	4967247
24	3703391	1255043	74.69	4958434
25	3762320	1262656	74.87	5024976
26	3687236	1256049	74.59	4943285
27	3667411	1260076	74.43	4927487
28	3642752	1253295	74.40	4896047
29	3652893	1252632	74.46	4905525
30	3709426	1262322	74.61	4971748
31	3745032	1264646	74.76	5009678
32	3802756	1269106	74.98	5071862
33	3731509	1266330	74.66	4997839
34	3684574	1258908	74.53	4943482
35	3681563	1256304	74.56	4937867
36	3701015	1262213	74.57	4963228
37	3726955	1267001	74.63	4993956
38	3755299	1266381	74.78	5021680
39	3746810	1270172	74.68	5016982
40	3801120	1270341	74.95	5071461
41	3744689	1267510	74.71	5012199
42	3726568	1266968	74.63	4993536
43	3726458	1264442	74.67	4990900
44	3742920	1267196	74.71	5010116
45	3766701	1271925	74.76	5038626
46	3760395	1272238	74.72	5032633
47	3731767	1267566	74.65	4999333
48	3724319	1271182	74.55	4995501
49	3774197	1271250	74.80	5045447
50	3745481	1268671	74.70	5014152
51	3707468	1267205	74.53	4974673
52	3710471	1266483	74.55	4976954
53	3728674	1267915	74.62	4996589
54	3779572	1275636	74.77	5055208
