CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	3552651	839581	80.88	4392232
2	3407164	916406	78.80	4323570
3	3366925	955605	77.89	4322530
4	3993619	972340	80.42	4965959
5	3682591	956109	79.39	4638700
6	3744576	1085416	77.53	4829992
7	3475276	974945	78.09	4450221
8	3726308	1047968	78.05	4774276
9	3704689	1043006	78.03	4747695
10	3580283	1017979	77.86	4598262
11	3504843	1009097	77.64	4513940
12	3595974	1020731	77.89	4616705
13	3560480	1019203	77.75	4579683
14	3604914	1025457	77.85	4630371
15	3544652	1021082	77.64	4565734
16	3694250	1034218	78.13	4728468
17	3598315	1029769	77.75	4628084
18	3566738	1035925	77.49	4602663
19	3550462	1030029	77.51	4580491
20	3623465	1040482	77.69	4663947
21	3596513	1039096	77.58	4635609
22	3617636	1041363	77.65	4658999
23	3601000	1040701	77.58	4641701
24	3620271	1048589	77.54	4668860
25	3601125	1044630	77.51	4645755
26	3567116	1043481	77.37	4610597
27	3554000	1044886	77.28	4598886
28	3559025	1041248	77.37	4600273
29	3553416	1042040	77.32	4595456
30	3633526	1052422	77.54	4685948
31	3626400	1048701	77.57	4675101
32	3672269	1053328	77.71	4725597
33	3578464	1048002	77.35	4626466
34	3552671	1044828	77.27	4597499
35	3548206	1044818	77.25	4593024
36	3593988	1048982	77.41	4642970
37	3607438	1049797	77.46	4657235
38	3638698	1053084	77.55	4691782
39	3612097	1052640	77.43	4664737
40	3669468	1053064	77.70	4722532
41	3587755	1049415	77.37	4637170
42	3597940	1050318	77.40	4648258
43	3623032	1050169	77.53	4673201
44	3629569	1053652	77.50	4683221
45	3645076	1052775	77.59	4697851
46	3625357	1051255	77.52	4676612
47	3612838	1050641	77.47	4663479
48	3601827	1053665	77.37	4655492
49	3632174	1052280	77.54	4684454
50	3597030	1048575	77.43	4645605
51	3576396	1047783	77.34	4624179
52	3588791	1048394	77.39	4637185
53	3606113	1049778	77.45	4655891
54	3654034	1053403	77.62	4707437
55	3591447	1047095	77.43	4638542
56	3640230	1050160	77.61	4690390
57	3569429	1044715	77.36	4614144
58	3612671	1049273	77.49	4661944
59	3570477	1045901	77.34	4616378
60	3590007	1051037	77.35	4641044
61	3564576	1045222	77.33	4609798
62	3606468	1051519	77.43	4657987
63	3595174	1049234	77.41	4644408
64	3583822	1047311	77.39	4631133
65	3514874	1040303	77.16	4555177
66	3508035	1042280	77.09	4550315
67	3501605	1040016	77.10	4541621
68	3529884	1045049	77.16	4574933
69	3516675	1041269	77.15	4557944
70	3533028	1041647	77.23	4574675
71	3507813	1038133	77.16	4545946
72	3506853	1040323	77.12	4547176
73	3444952	1032296	76.94	4477248
74	3434942	1031724	76.90	4466666
75	3422321	1033729	76.80	4456050
76	3429451	1026373	76.97	4455824
77	3378302	1021857	76.78	4400159
78	3396423	1025184	76.81	4421607
79	3353484	1016324	76.74	4369808
80	3357949	1014884	76.79	4372833
81	3325666	1011083	76.69	4336749
82	3303608	1006768	76.64	4310376
83	3267019	999668	76.57	4266687
84	3244279	997632	76.48	4241911
85	3216279	992633	76.42	4208912
86	3220669	989787	76.49	4210456
87	3163521	981766	76.32	4145287
88	3149251	981477	76.24	4130728
89	3099517	968059	76.20	4067576
90	3064895	964266	76.07	4029161
91	3022163	954885	75.99	3977048
92	2972380	941538	75.94	3913918
93	2912691	930260	75.79	3842951
94	2877423	921629	75.74	3799052
95	2760441	902815	75.35	3663256
96	2714618	890816	75.29	3605434
97	2591972	830571	75.73	3422543
98	2008153	639501	75.85	2647654
99	1957799	625127	75.80	2582926
100	1901158	611429	75.67	2512587
101	1655549	482741	77.42	2138290

CHG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	1773534	18528575	8.74	20302109
2	764712	20176574	3.65	20941286
3	419047	19416995	2.11	19836042
4	285210	19973546	1.41	20258756
5	204087	20161848	1.00	20365935
6	181996	20907049	0.86	21089045
7	165159	20693050	0.79	20858209
8	160133	21019385	0.76	21179518
9	154149	20851521	0.73	21005670
10	147679	20474579	0.72	20622258
11	145176	20392353	0.71	20537529
12	150029	20745129	0.72	20895158
13	146107	20814673	0.70	20960780
14	148450	20896758	0.71	21045208
15	150399	21162803	0.71	21313202
16	153154	21013925	0.72	21167079
17	148653	20911789	0.71	21060442
18	149972	21099932	0.71	21249904
19	151466	21211485	0.71	21362951
20	154343	21338493	0.72	21492836
21	153827	21257831	0.72	21411658
22	155845	21392992	0.72	21548837
23	156742	21320443	0.73	21477185
24	161923	21867252	0.74	22029175
25	161943	21414965	0.75	21576908
26	157139	21404458	0.73	21561597
27	164673	21341433	0.77	21506106
28	158869	21552188	0.73	21711057
29	160146	21693175	0.73	21853321
30	166252	21542372	0.77	21708624
31	159697	21539257	0.74	21698954
32	159136	21551651	0.73	21710787
33	160418	21599214	0.74	21759632
34	158237	21430892	0.73	21589129
35	159317	21505309	0.74	21664626
36	159264	21432567	0.74	21591831
37	161693	21706373	0.74	21868066
38	161515	21615492	0.74	21777007
39	161172	21567387	0.74	21728559
40	161030	21476167	0.74	21637197
41	160097	21400655	0.74	21560752
42	161349	21494919	0.75	21656268
43	161873	21620248	0.74	21782121
44	159623	21486655	0.74	21646278
45	161212	21596775	0.74	21757987
46	162151	21488880	0.75	21651031
47	161440	21522943	0.74	21684383
48	169794	21475739	0.78	21645533
49	160097	21505356	0.74	21665453
50	160977	21476454	0.74	21637431
51	159035	21363794	0.74	21522829
52	158614	21321474	0.74	21480088
53	159942	21465843	0.74	21625785
54	161177	21342433	0.75	21503610
55	161779	21401946	0.75	21563725
56	160908	21370490	0.75	21531398
57	159123	21331029	0.74	21490152
58	159130	21295161	0.74	21454291
59	160042	21262256	0.75	21422298
60	159295	21216218	0.75	21375513
61	161477	21304727	0.75	21466204
62	161318	21443935	0.75	21605253
63	162475	21312409	0.76	21474884
64	163384	21254113	0.76	21417497
65	158465	21098643	0.75	21257108
66	159768	21089065	0.75	21248833
67	161074	21136473	0.76	21297547
68	161832	21198262	0.76	21360094
69	160813	21124400	0.76	21285213
70	160209	20953215	0.76	21113424
71	160223	20858904	0.76	21019127
72	160139	20837593	0.76	20997732
73	160782	20701760	0.77	20862542
74	159818	20639003	0.77	20798821
75	188946	20471968	0.91	20660914
76	160930	20486818	0.78	20647748
77	160496	20425688	0.78	20586184
78	161797	20374409	0.79	20536206
79	160742	20153104	0.79	20313846
80	160378	20136758	0.79	20297136
81	159144	19965397	0.79	20124541
82	159798	19908057	0.80	20067855
83	159531	19676902	0.80	19836433
84	160236	19639662	0.81	19799898
85	165346	19543455	0.84	19708801
86	161439	19415472	0.82	19576911
87	161987	19272172	0.83	19434159
88	168962	19003546	0.88	19172508
89	156148	18856531	0.82	19012679
90	154955	18621669	0.83	18776624
91	155834	18475474	0.84	18631308
92	153719	18244791	0.84	18398510
93	151843	18087069	0.83	18238912
94	150053	17788445	0.84	17938498
95	148909	17582319	0.84	17731228
96	145308	17243677	0.84	17388985
97	141301	16010908	0.87	16152209
98	105314	12230798	0.85	12336112
99	106073	12022974	0.87	12129047
100	101277	11733087	0.86	11834364
101	99022	10178997	0.96	10278019

CHH context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	4789834	58576310	7.56	63366144
2	2093759	63056249	3.21	65150008
3	1178586	63021261	1.84	64199847
4	824467	65249272	1.25	66073739
5	606386	67618598	0.89	68224984
6	563986	71885315	0.78	72449301
7	496438	68909756	0.72	69406194
8	493123	71159762	0.69	71652885
9	473644	70694930	0.67	71168574
10	464465	70319564	0.66	70784029
11	460943	70246816	0.65	70707759
12	471040	70481635	0.66	70952675
13	459423	70329710	0.65	70789133
14	462755	70682193	0.65	71144948
15	462478	70616625	0.65	71079103
16	477624	70694289	0.67	71171913
17	466698	70933438	0.65	71400136
18	470684	71406405	0.65	71877089
19	472702	71394285	0.66	71866987
20	474087	71169610	0.66	71643697
21	473547	71304919	0.66	71778466
22	476174	71517808	0.66	71993982
23	476732	71435536	0.66	71912268
24	478252	71245822	0.67	71724074
25	494052	71092487	0.69	71586539
26	478385	70970812	0.67	71449197
27	506810	71216173	0.71	71722983
28	479674	71012532	0.67	71492206
29	476372	70794999	0.67	71271371
30	502174	70677183	0.71	71179357
31	480927	70643896	0.68	71124823
32	481073	70700945	0.68	71182018
33	483171	70704487	0.68	71187658
34	482450	70841895	0.68	71324345
35	483881	70967635	0.68	71451516
36	482571	70764181	0.68	71246752
37	482065	70685214	0.68	71167279
38	483707	70725388	0.68	71209095
39	482109	70619825	0.68	71101934
40	485423	70550548	0.68	71035971
41	484623	70553328	0.68	71037951
42	482481	70656276	0.68	71138757
43	483173	70614849	0.68	71098022
44	484620	70727769	0.68	71212389
45	481386	70608188	0.68	71089574
46	484716	70571311	0.68	71056027
47	482412	70633083	0.68	71115495
48	513450	70662110	0.72	71175560
49	484091	70641320	0.68	71125411
50	486466	70546178	0.68	71032644
51	483367	70525123	0.68	71008490
52	485505	70551106	0.68	71036611
53	484382	70453238	0.68	70937620
54	492474	70548827	0.69	71041301
55	483813	70369722	0.68	70853535
56	487272	70489686	0.69	70976958
57	484071	70325196	0.68	70809267
58	486864	70443501	0.69	70930365
59	488575	70446410	0.69	70934985
60	489291	70663417	0.69	71152708
61	490775	70355746	0.69	70846521
62	485998	70263470	0.69	70749468
63	490014	70122609	0.69	70612623
64	496172	69993111	0.70	70489283
65	486592	70034068	0.69	70520660
66	488719	70140367	0.69	70629086
67	490751	70043723	0.70	70534474
68	488159	69734418	0.70	70222577
69	485840	69519161	0.69	70005001
70	485660	69178244	0.70	69663904
71	487762	69129724	0.70	69617486
72	486616	68941054	0.70	69427670
73	487936	68678406	0.71	69166342
74	486120	68401594	0.71	68887714
75	585240	67958080	0.85	68543320
76	488730	67911838	0.71	68400568
77	488050	67618050	0.72	68106100
78	488021	67234421	0.72	67722442
79	484849	66904812	0.72	67389661
80	485312	66642324	0.72	67127636
81	483758	66262746	0.72	66746504
82	482994	65798617	0.73	66281611
83	483864	65356395	0.73	65840259
84	485320	65110090	0.74	65595410
85	504128	64761022	0.77	65265150
86	488339	64286316	0.75	64774655
87	479501	63830613	0.75	64310114
88	522770	63191715	0.82	63714485
89	475995	62804864	0.75	63280859
90	476740	62496224	0.76	62972964
91	471801	61922893	0.76	62394694
92	468014	61331441	0.76	61799455
93	462361	60644404	0.76	61106765
94	462351	60070675	0.76	60533026
95	455857	59113852	0.77	59569709
96	445839	57870120	0.76	58315959
97	435016	54119772	0.80	54554788
98	325333	41237240	0.78	41562573
99	325864	40553676	0.80	40879540
100	313044	39669939	0.78	39982983
101	296086	34779082	0.84	35075168

CpG context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	664819	7514074	8.13	8178893
2	1917955	2206162	46.51	4124117
3	2585036	1212961	68.06	3797997
4	2840209	1078347	72.48	3918556
5	3518696	1106866	76.07	4625562
6	3423477	1035909	76.77	4459386
7	3582275	1167160	75.43	4749435
8	3250813	1039515	75.77	4290328
9	3458858	1116137	75.60	4574995
10	3499296	1105677	75.99	4604973
11	3334191	1083904	75.47	4418095
12	3257180	1072768	75.22	4329948
13	3364655	1077136	75.75	4441791
14	3308533	1076519	75.45	4385052
15	3323218	1087315	75.35	4410533
16	3272948	1080039	75.19	4352987
17	3432031	1091082	75.88	4523113
18	3359109	1080654	75.66	4439763
19	3327887	1088618	75.35	4416505
20	3307657	1084377	75.31	4392034
21	3383434	1094533	75.56	4477967
22	3342443	1094118	75.34	4436561
23	3392898	1089821	75.69	4482719
24	3360988	1089082	75.53	4450070
25	3315108	1098625	75.11	4413733
26	3360442	1089907	75.51	4450349
27	3348310	1089588	75.45	4437898
28	3325720	1089088	75.33	4414808
29	3336841	1088003	75.41	4424844
30	3363691	1086570	75.58	4450261
31	3419759	1093985	75.76	4513744
32	3386699	1094531	75.58	4481230
33	3389552	1103002	75.45	4492554
34	3318116	1098320	75.13	4416436
35	3347930	1086550	75.50	4434480
36	3294232	1093615	75.08	4387847
37	3333777	1099383	75.20	4433160
38	3411072	1089026	75.80	4500098
39	3415221	1095241	75.72	4510462
40	3379332	1095034	75.53	4474366
41	3458832	1096135	75.94	4554967
42	3348150	1100152	75.27	4448302
43	3383273	1094883	75.55	4478156
44	3392078	1096303	75.57	4488381
45	3362101	1105996	75.25	4468097
46	3399098	1102950	75.50	4502048
47	3403349	1093659	75.68	4497008
48	3369657	1098376	75.42	4468033
49	3366716	1095077	75.46	4461793
50	3353947	1101577	75.28	4455524
51	3364853	1114735	75.12	4479588
52	3394432	1097462	75.57	4491894
53	3377072	1104189	75.36	4481261
54	3378993	1109311	75.28	4488304
55	3417545	1106741	75.54	4524286
56	3398513	1096321	75.61	4494834
57	3385807	1109618	75.32	4495425
58	3309948	1110119	74.88	4420067
59	3340159	1114987	74.97	4455146
60	3344457	1094919	75.34	4439376
61	3367117	1084459	75.64	4451576
62	3357408	1085539	75.57	4442947
63	3387870	1087181	75.71	4475051
64	3349759	1091918	75.42	4441677
65	3342272	1082957	75.53	4425229
66	3319124	1072261	75.58	4391385
67	3291155	1076390	75.35	4367545
68	3303175	1069951	75.53	4373126
69	3335843	1072726	75.67	4408569
70	3343663	1064104	75.86	4407767
71	3349028	1066340	75.85	4415368
72	3302914	1067674	75.57	4370588
73	3314962	1064163	75.70	4379125
74	3285316	1049647	75.79	4334963
75	3265592	1050224	75.67	4315816
76	3280444	1045206	75.84	4325650
77	3287300	1039282	75.98	4326582
78	3235375	1033172	75.80	4268547
79	3211311	1042629	75.49	4253940
80	3241205	1017116	76.11	4258321
81	3245252	1016511	76.15	4261763
82	3198747	1016136	75.89	4214883
83	3232613	1002813	76.32	4235426
84	3172865	997315	76.08	4170180
85	3191321	988507	76.35	4179828
86	3159873	980011	76.33	4139884
87	3148581	975415	76.35	4123996
88	3125835	959664	76.51	4085499
