CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	1745131	674902	72.11	2420033
2	1190190	447846	72.66	1638036
3	1409233	650715	68.41	2059948
4	1480659	602168	71.09	2082827
5	1466424	620474	70.27	2086898
6	1576816	662808	70.41	2239624
7	1390431	621561	69.11	2011992
8	1448199	660519	68.68	2108718
9	1495244	669230	69.08	2164474
10	1496126	670449	69.05	2166575
11	1450711	649354	69.08	2100065
12	1446856	642771	69.24	2089627
13	1399304	627031	69.06	2026335
14	1395824	627305	68.99	2023129
15	1431546	645072	68.94	2076618
16	1432545	653890	68.66	2086435
17	1431826	645017	68.94	2076843
18	1449157	652493	68.95	2101650
19	1461879	658731	68.94	2120610
20	1470933	660893	69.00	2131826
21	1455882	657453	68.89	2113335
22	1473544	662613	68.98	2136157
23	1473745	661383	69.02	2135128
24	1470189	662031	68.95	2132220
25	1455883	658910	68.84	2114793
26	1457672	659392	68.85	2117064
27	1447201	658555	68.73	2105756
28	1453998	662421	68.70	2116419
29	1438464	659026	68.58	2097490
30	1443036	656090	68.74	2099126
31	1451195	663531	68.62	2114726
32	1422169	646958	68.73	2069127
33	1430949	649414	68.78	2080363
34	1439598	654014	68.76	2093612
35	1450467	658302	68.78	2108769
36	1439673	654287	68.75	2093960
37	1460764	663107	68.78	2123871
38	1466179	663926	68.83	2130105
39	1450764	658778	68.77	2109542
40	1458987	660589	68.83	2119576
41	1435255	646523	68.94	2081778
42	1461213	663701	68.77	2124914
43	1456904	657126	68.92	2114030
44	1429872	647024	68.85	2076896
45	1429785	648529	68.80	2078314
46	1436679	648291	68.91	2084970
47	1440936	652449	68.83	2093385
48	1450341	654202	68.91	2104543
49	1439172	654545	68.74	2093717
50	1450383	659961	68.73	2110344
51	1438028	653695	68.75	2091723
52	1432479	652193	68.71	2084672
53	1441651	655777	68.73	2097428
54	1432662	653649	68.67	2086311
55	1451226	655554	68.88	2106780
56	1438060	651923	68.81	2089983
57	1441296	654367	68.78	2095663
58	1480694	668237	68.90	2148931
59	1447379	657442	68.76	2104821
60	1448282	653662	68.90	2101944
61	1428409	649352	68.75	2077761
62	1425982	646223	68.81	2072205
63	1444166	653586	68.84	2097752
64	1432742	649059	68.82	2081801
65	1449457	655759	68.85	2105216
66	1468542	666075	68.80	2134617
67	1433161	647611	68.88	2080772
68	1443954	653859	68.83	2097813
69	1440419	651758	68.85	2092177
70	1460960	657417	68.97	2118377
71	1422986	645585	68.79	2068571
72	1406275	639605	68.74	2045880
73	1411678	637303	68.90	2048981
74	1407146	643887	68.61	2051033
75	1425734	651296	68.64	2077030
76	1431333	651617	68.72	2082950
77	1420771	646084	68.74	2066855
78	1434612	651203	68.78	2085815
79	1403374	643136	68.57	2046510
80	1404518	643361	68.58	2047879
81	1391933	639028	68.54	2030961
82	1384358	636806	68.49	2021164
83	1376526	637395	68.35	2013921
84	1385363	642053	68.33	2027416
85	1382118	637881	68.42	2019999
86	1378016	644149	68.15	2022165
87	1359850	628274	68.40	1988124
88	1375665	635903	68.39	2011568
89	1353141	623704	68.45	1976845
90	1335944	616547	68.42	1952491
91	1352194	625712	68.36	1977906
92	1322120	618854	68.12	1940974
93	1307222	610168	68.18	1917390
94	1308246	616735	67.96	1924981
95	1283885	600138	68.15	1884023
96	1253694	588800	68.04	1842494
97	1233804	575825	68.18	1809629
98	1202094	557211	68.33	1759305
99	1062589	480726	68.85	1543315

CHG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	752803	8601299	8.05	9354102
2	328653	8280402	3.82	8609055
