CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	5088200	1214007	80.74	6302207
2	3683165	735389	83.36	4418554
3	3909441	1066930	78.56	4976371
4	4562090	1186223	79.36	5748313
5	4385877	1077917	80.27	5463794
6	4582999	1252361	78.54	5835360
7	4039898	1079442	78.91	5119340
8	4553641	1217310	78.91	5770951
9	4631965	1222374	79.12	5854339
10	4471115	1203034	78.80	5674149
11	4450207	1198913	78.78	5649120
12	4524034	1211235	78.88	5735269
13	4525235	1209646	78.91	5734881
14	4577301	1219264	78.97	5796565
15	4528768	1219874	78.78	5748642
16	4696242	1238589	79.13	5934831
17	4675435	1240985	79.02	5916420
18	4634671	1237876	78.92	5872547
19	4646532	1238223	78.96	5884755
20	4738343	1283158	78.69	6021501
21	4744647	1283212	78.71	6027859
22	4755339	1285797	78.72	6041136
23	4769100	1285435	78.77	6054535
24	4765826	1286722	78.74	6052548
25	4808048	1292252	78.82	6100300
26	4759487	1285680	78.73	6045167
27	4721965	1283695	78.63	6005660
28	4747047	1287309	78.67	6034356
29	4744375	1286654	78.67	6031029
30	4820962	1297064	78.80	6118026
31	4832207	1298250	78.82	6130457
32	4899795	1304984	78.97	6204779
33	4849815	1301529	78.84	6151344
34	4784382	1289962	78.76	6074344
35	4803606	1294154	78.78	6097760
36	4822937	1296810	78.81	6119747
37	4844257	1298497	78.86	6142754
38	4888241	1307347	78.90	6195588
39	4858236	1301658	78.87	6159894
40	4918188	1305828	79.02	6224016
41	4854679	1295903	78.93	6150582
42	4818483	1288910	78.90	6107393
43	4874165	1297883	78.97	6172048
44	4888024	1297630	79.02	6185654
45	4856856	1294258	78.96	6151114
46	4876567	1297114	78.99	6173681
47	4857687	1293801	78.97	6151488
48	4836622	1292381	78.91	6129003
49	4874524	1293834	79.02	6168358
50	4835023	1289603	78.94	6124626
51	4809077	1285157	78.91	6094234
52	4819297	1285450	78.94	6104747
53	4839849	1286774	79.00	6126623
54	4882276	1296728	79.01	6179004
55	4829270	1286850	78.96	6116120
56	4851522	1286874	79.04	6138396
57	4834890	1283956	79.02	6118846
58	4852098	1286654	79.04	6138752
59	4822337	1280579	79.02	6102916
60	4815304	1280849	78.99	6096153
61	4788133	1276453	78.95	6064586
62	4840880	1279048	79.10	6119928
63	4829446	1273801	79.13	6103247
64	4827894	1273286	79.13	6101180
65	4758223	1258886	79.08	6017109
66	4710563	1254908	78.96	5965471
67	4733465	1258411	79.00	5991876
68	4735442	1256931	79.02	5992373
69	4739066	1258317	79.02	5997383
70	4723944	1252159	79.05	5976103
71	4664578	1238125	79.02	5902703
72	4698458	1243430	79.07	5941888
73	4652302	1232137	79.06	5884439
74	4596035	1225132	78.95	5821167
75	4568832	1221847	78.90	5790679
76	4540702	1210291	78.96	5750993
77	4515187	1204270	78.94	5719457
78	4532722	1205652	78.99	5738374
79	4508246	1197051	79.02	5705297
80	4421626	1183161	78.89	5604787
81	4346791	1161540	78.91	5508331
82	4381703	1167437	78.96	5549140
83	4315709	1168277	78.70	5483986
84	3902007	1125543	77.61	5027550
85	1619746	470947	77.47	2090693

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	987603	27345787	3.49	28333390
2	548792	21977472	2.44	22526264
3	481083	26222119	1.80	26703202
4	424372	25173965	1.66	25598337
5	407854	23763008	1.69	24170862
6	398815	24747632	1.59	25146447
7	375683	25265373	1.47	25641056
8	398133	26666992	1.47	27065125
9	420731	26589741	1.56	27010472
