CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	2878370	620940	82.26	3499310
2	2436039	509510	82.70	2945549
3	2439406	603675	80.16	3043081
4	2467434	547693	81.84	3015127
5	2371899	547831	81.24	2919730
6	2492191	604046	80.49	3096237
7	2348524	554465	80.90	2902989
8	2468655	587146	80.79	3055801
9	2570726	595635	81.19	3166361
10	2523885	587463	81.12	3111348
11	2478927	580357	81.03	3059284
12	2526549	587307	81.14	3113856
13	2525903	583396	81.24	3109299
14	2586237	589765	81.43	3176002
15	2576005	592180	81.31	3168185
16	2672321	600102	81.66	3272423
17	2653388	601275	81.53	3254663
18	2649763	602187	81.48	3251950
19	2649433	599826	81.54	3249259
20	2697037	622919	81.24	3319956
21	2683806	622773	81.17	3306579
22	2704883	624083	81.25	3328966
23	2706955	622138	81.31	3329093
24	2729173	627984	81.29	3357157
25	2749247	624849	81.48	3374096
26	2718774	623364	81.35	3342138
27	2723846	625957	81.31	3349803
28	2732578	626259	81.35	3358837
29	2738441	624174	81.44	3362615
30	2781432	630679	81.52	3412111
31	2780913	629898	81.53	3410811
32	2814735	633768	81.62	3448503
33	2792307	630306	81.58	3422613
34	2746669	626193	81.43	3372862
35	2742684	624303	81.46	3366987
36	2754393	625107	81.50	3379500
37	2772625	627713	81.54	3400338
38	2793840	630067	81.60	3423907
39	2796376	628667	81.64	3425043
40	2832899	632106	81.76	3465005
41	2785054	626735	81.63	3411789
42	2775432	625728	81.60	3401160
43	2787776	625988	81.66	3413764
44	2787818	625310	81.68	3413128
45	2790945	626358	81.67	3417303
46	2807870	627566	81.73	3435436
47	2792675	623981	81.74	3416656
48	2776846	621896	81.70	3398742
49	2793935	624600	81.73	3418535
50	2773516	622486	81.67	3396002
51	2753277	617633	81.68	3370910
52	2758699	619264	81.67	3377963
53	2762789	617079	81.74	3379868
54	2786227	622315	81.74	3408542
55	2752834	617150	81.69	3369984
56	2761508	615421	81.78	3376929
57	2732100	615094	81.62	3347194
58	2749370	614652	81.73	3364022
59	2713649	610946	81.62	3324595
60	2710504	610032	81.63	3320536
61	2692983	603225	81.70	3296208
62	2714812	605049	81.77	3319861
63	2718603	605781	81.78	3324384
64	2705070	601168	81.82	3306238
65	2653454	593846	81.71	3247300
66	2622056	589694	81.64	3211750
67	2620176	587777	81.68	3207953
68	2628763	588695	81.70	3217458
69	2621770	587616	81.69	3209386
70	2620232	583099	81.80	3203331
71	2583127	576167	81.76	3159294
72	2585852	575357	81.80	3161209
73	2552198	572002	81.69	3124200
74	2521500	566962	81.64	3088462
75	2498133	562156	81.63	3060289
76	2474438	554016	81.71	3028454
77	2464118	552521	81.68	3016639
78	2469545	551272	81.75	3020817
79	2436252	544914	81.72	2981166
80	2396084	534873	81.75	2930957
81	2350963	524457	81.76	2875420
82	2356941	523219	81.83	2880160
83	2337303	519293	81.82	2856596
84	2287579	519816	81.48	2807395
85	2086959	475188	81.45	2562147

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	702179	14625601	4.58	15327780
2	498724	13573965	3.54	14072689
3	376687	11663153	3.13	12039840
4	370624	12394074	2.90	12764698
5	366851	12982614	2.75	13349465
6	357751	13291076	2.62	13648827
7	369503	13293885	2.70	13663388
8	371745	13665124	2.65	14036869
9	397170	13743513	2.81	14140683
10	380722	13484135	2.75	13864857
11	375101	13324564	2.74	13699665
12	380985	13562175	2.73	13943160
13	384964	13652346	2.74	14037310
14	389227	13787162	2.75	14176389
15	389344	13919753	2.72	14309097
16	399787	13879681	2.80	14279468
17	398909	13850958	2.80	14249867
18	398812	13959518	2.78	14358330
19	396064	14052671	2.74	14448735
20	401564	14187591	2.75	14589155
21	401552	14085480	2.77	14487032
22	404456	14139119	2.78	14543575
23	413812	14139316	2.84	14553128
24	430488	14474548	2.89	14905036
25	417420	14252272	2.85	14669692
26	419195	14194039	2.87	14613234
27	417223	14194538	2.86	14611761
28	407330	14264649	2.78	14671979
29	423411	14400228	2.86	14823639
30	419860	14318761	2.85	14738621
31	416351	14306955	2.83	14723306
32	420057	14329815	2.85	14749872
33	417012	14324924	2.83	14741936
34	414996	14213341	2.84	14628337
35	410625	14232861	2.80	14643486
36	409043	14193852	2.80	14602895
37	417527	14321261	2.83	14738788
38	428350	14385695	2.89	14814045
39	423098	14381158	2.86	14804256
40	422088	14334506	2.86	14756594
41	420220	14226639	2.87	14646859
42	425448	14282830	2.89	14708278
43	423013	14365618	2.86	14788631
44	417529	14316300	2.83	14733829
45	419033	14396968	2.83	14816001
46	417139	14311177	2.83	14728316
47	416014	14352333	2.82	14768347
48	423910	14398469	2.86	14822379
49	426198	14391313	2.88	14817511
50	421314	14319822	2.86	14741136
51	417016	14205543	2.85	14622559
52	410156	14150109	2.82	14560265
53	410351	14228644	2.80	14638995
54	414039	14178542	2.84	14592581
55	418086	14164614	2.87	14582700
56	419428	14162872	2.88	14582300
57	410404	14152192	2.82	14562596
58	410374	14069898	2.83	14480272
59	405001	13990857	2.81	14395858
60	399118	13924167	2.79	14323285
61	404825	13947998	2.82	14352823
62	414314	14041628	2.87	14455942
63	407869	13999062	2.83	14406931
64	408475	13939532	2.85	14348007
65	403431	13808116	2.84	14211547
66	398077	13728475	2.82	14126552
67	397672	13735469	2.81	14133141
68	395217	13790863	2.79	14186080
69	399059	13705084	2.83	14104143
70	394149	13586170	2.82	13980319
71	386879	13435422	2.80	13822301
72	388492	13390854	2.82	13779346
73	383655	13275970	2.81	13659625
74	382604	13203946	2.82	13586550
75	378201	13131734	2.80	13509935
76	375125	13018878	2.80	13394003
77	373603	12967120	2.80	13340723
78	372672	12882339	2.81	13255011
79	364570	12671513	2.80	13036083
80	362233	12600291	2.79	12962524
81	354003	12490655	2.76	12844658
82	355974	12474244	2.77	12830218
83	353498	12358173	2.78	12711671
84	340786	12013958	2.76	12354744
85	340437	11927171	2.78	12267608

CHH context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	1065497	33711977	3.06	34777474
2	623056	31823716	1.92	32446772
3	501068	34212590	1.44	34713658
4	481940	37148572	1.28	37630512
5	450137	38982606	1.14	39432743
6	450629	40630815	1.10	41081444
7	447138	39028237	1.13	39475375
8	439368	39537771	1.10	39977139
9	450185	39367930	1.13	39818115
10	445251	38937342	1.13	39382593
11	442666	38830374	1.13	39273040
12	446398	38886993	1.13	39333391
13	442802	38581933	1.13	39024735
14	449104	38510991	1.15	38960095
15	442803	38241776	1.14	38684579
16	450308	38152783	1.17	38603091
17	455935	38270392	1.18	38726327
18	453691	38374228	1.17	38827919
19	441770	38360568	1.14	38802338
20	459079	38149108	1.19	38608187
21	458625	37988678	1.19	38447303
22	456005	38163623	1.18	38619628
23	469324	38048777	1.22	38518101
24	460392	37813572	1.20	38273964
25	456383	37622435	1.20	38078818
26	455830	37502780	1.20	37958610
27	456561	37787495	1.19	38244056
28	455422	37576244	1.20	38031666
29	453335	37423982	1.20	37877317
30	456315	37414874	1.20	37871189
31	456167	37367636	1.21	37823803
32	459957	37294348	1.22	37754305
33	458855	37213222	1.22	37672077
34	466623	37203566	1.24	37670189
35	457060	37387765	1.21	37844825
36	456927	37375168	1.21	37832095
37	462057	37377333	1.22	37839390
38	458397	37419789	1.21	37878186
39	463759	37285640	1.23	37749399
40	459018	37353540	1.21	37812558
41	457885	37332795	1.21	37790680
42	458681	37363723	1.21	37822404
43	454280	37337181	1.20	37791461
44	450656	37412946	1.19	37863602
45	449822	37360633	1.19	37810455
