CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	3959916	1669238	70.35	5629154
2	3260909	1381585	70.24	4642494
3	3357125	1606014	67.64	4963139
4	3889118	1733750	69.17	5622868
5	3739324	1575600	70.36	5314924
6	3786284	1794494	67.85	5580778
7	3542031	1650852	68.21	5192883
8	3726938	1754595	67.99	5481533
9	3783795	1770594	68.12	5554389
10	3751527	1759859	68.07	5511386
11	3709485	1749487	67.95	5458972
12	3809407	1756949	68.44	5566356
13	3778134	1758686	68.24	5536820
14	3823489	1777068	68.27	5600557
15	3799242	1780487	68.09	5579729
16	3933426	1811931	68.46	5745357
17	3900536	1812400	68.28	5712936
18	3862654	1815232	68.03	5677886
19	3875921	1816713	68.09	5692634
20	3955504	1866108	67.95	5821612
21	3953432	1863383	67.97	5816815
22	3973428	1867309	68.03	5840737
23	3982464	1865619	68.10	5848083
24	4003664	1880557	68.04	5884221
25	4000978	1879725	68.04	5880703
26	3958808	1876812	67.84	5835620
27	3931583	1874374	67.72	5805957
28	3947209	1873356	67.81	5820565
29	3947209	1875850	67.79	5823059
30	4026658	1887810	68.08	5914468
31	4037783	1884122	68.18	5921905
32	4102162	1902317	68.32	6004479
33	4024545	1885842	68.09	5910387
34	3997173	1882972	67.98	5880145
35	3981657	1882502	67.90	5864159
36	4008572	1888837	67.97	5897409
37	4026487	1896317	67.98	5922804
38	4064814	1901589	68.13	5966403
39	4034734	1888373	68.12	5923107
40	4089090	1903764	68.23	5992854
41	4036931	1888212	68.13	5925143
42	4024127	1882898	68.12	5907025
43	4039938	1886482	68.17	5926420
44	4061951	1891825	68.22	5953776
45	4037742	1889244	68.12	5926986
46	4056064	1891654	68.20	5947718
47	4038858	1886521	68.16	5925379
48	4025325	1888311	68.07	5913636
49	4053292	1891589	68.18	5944881
50	4018164	1884256	68.08	5902420
51	3997772	1878063	68.04	5875835
52	4012161	1880202	68.09	5892363
53	4035276	1880615	68.21	5915891
54	4080574	1892052	68.32	5972626
55	4027704	1878699	68.19	5906403
56	4053291	1884956	68.26	5938247
57	4011061	1875204	68.14	5886265
58	4032289	1877296	68.23	5909585
59	3985402	1867373	68.09	5852775
60	3993706	1870379	68.10	5864085
61	3973034	1861192	68.10	5834226
62	4013425	1863828	68.29	5877253
63	4015068	1858820	68.35	5873888
