CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	12708442	2612944	82.95	15321386
2	10052694	2449090	80.41	12501784
3	10520208	2591703	80.23	13111911
4	12397115	2562086	82.87	14959201
5	11653840	2586225	81.84	14240065
6	11848635	2934296	80.15	14782931
7	11556919	2671329	81.23	14228248
8	12463599	2872849	81.27	15336448
9	12805550	2866035	81.71	15671585
10	12344623	2802429	81.50	15147052
11	12053640	2760467	81.37	14814107
12	12195057	2767213	81.51	14962270
13	12348316	2790683	81.57	15138999
14	12601382	2825753	81.68	15427135
15	12564479	2838252	81.57	15402731
16	12965227	2871935	81.87	15837162
17	12803570	2861417	81.73	15664987
18	12804547	2871482	81.68	15676029
19	12790425	2871269	81.67	15661694
20	13023258	2972113	81.42	15995371
21	12954603	2955023	81.43	15909626
22	13014518	2959774	81.47	15974292
23	12999698	2955054	81.48	15954752
24	13163945	2977343	81.55	16141288
25	13059751	2960510	81.52	16020261
26	12811260	2937988	81.35	15749248
27	12905169	2938422	81.45	15843591
28	12914903	2933233	81.49	15848136
29	12953550	2923484	81.59	15877034
30	13191434	2948025	81.73	16139459
31	13112275	2927711	81.75	16039986
32	13140741	2929392	81.77	16070133
33	12925966	2902428	81.66	15828394
34	12693815	2868464	81.57	15562279
35	12670329	2864256	81.56	15534585
36	12715912	2860173	81.64	15576085
37	12770941	2858412	81.71	15629353
38	12841199	2854523	81.81	15695722
39	12833526	2847306	81.84	15680832
40	12908400	2843372	81.95	15751772
41	12597064	2802366	81.80	15399430
42	12554401	2788913	81.82	15343314
43	12585405	2777218	81.92	15362623
44	12524147	2760685	81.94	15284832
45	12538831	2755626	81.98	15294457
46	12541601	2740255	82.07	15281856
47	12410840	2716932	82.04	15127772
48	12303186	2703948	81.98	15007134
49	12241504	2677958	82.05	14919462
50	12090331	2650616	82.02	14740947
51	11974302	2627304	82.01	14601606
52	11989553	2611436	82.11	14600989
53	11956691	2592771	82.18	14549462
54	12018115	2589516	82.27	14607631
55	11802447	2550866	82.23	14353313
56	11838899	2541457	82.33	14380356
57	11570014	2504204	82.21	14074218
58	11569016	2488781	82.30	14057797
59	11422882	2461342	82.27	13884224
60	11389631	2437966	82.37	13827597
61	11228768	2404508	82.36	13633276
62	11303969	2395707	82.51	13699676
63	11223882	2375639	82.53	13599521
64	11033530	2338341	82.51	13371871
65	10746443	2296385	82.39	13042828
66	10607841	2267700	82.39	12875541
67	10539728	2245968	82.43	12785696
68	10512899	2231087	82.49	12743986
69	10430618	2206695	82.54	12637313
70	10384346	2186524	82.61	12570870
71	10216711	2154050	82.59	12370761
72	10112276	2135943	82.56	12248219
73	9888959	2096276	82.51	11985235
74	9739067	2070406	82.47	11809473
75	9625212	2044155	82.48	11669367
76	9506560	2013606	82.52	11520166
77	9321976	1974011	82.52	11295987
78	9222219	1935467	82.65	11157686
