CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	4209739	830544	83.52	5040283
2	3432184	620616	84.69	4052800
3	3432312	694175	83.18	4126487
4	3961939	720756	84.61	4682695
5	3829905	719712	84.18	4549617
6	3700200	724013	83.64	4424213
7	3589990	689853	83.88	4279843
8	3771825	727777	83.83	4499602
9	3937151	743257	84.12	4680408
10	3728680	710136	84.00	4438816
11	3691283	701997	84.02	4393280
12	3726201	708536	84.02	4434737
13	3794120	719436	84.06	4513556
14	3830828	731315	83.97	4562143
15	3825311	726203	84.04	4551514
16	3894636	735129	84.12	4629765
17	3933707	751633	83.96	4685340
18	3891272	739577	84.03	4630849
19	3923578	742040	84.10	4665618
20	3940247	773426	83.59	4713673
21	4001657	782674	83.64	4784331
22	3931861	768954	83.64	4700815
23	4042620	794193	83.58	4836813
24	4003283	775660	83.77	4778943
25	4101586	805542	83.58	4907128
26	4052805	798202	83.55	4851007
27	3992656	788792	83.50	4781448
28	3988720	783013	83.59	4771733
29	4029975	792381	83.57	4822356
30	4049685	795838	83.58	4845523
31	4092542	807620	83.52	4900162
32	4135985	812536	83.58	4948521
33	4086209	805836	83.53	4892045
34	4053140	794398	83.61	4847538
35	4033416	794090	83.55	4827506
36	4059094	799183	83.55	4858277
37	4044102	794910	83.57	4839012
38	4035438	798797	83.48	4834235
39	4029685	798540	83.46	4828225
40	4045071	796953	83.54	4842024
41	4020973	792762	83.53	4813735
42	3965430	778788	83.58	4744218
43	3972207	782722	83.54	4754929
44	3951360	780713	83.50	4732073
45	3920101	774371	83.50	4694472
46	3939986	784008	83.40	4723994
47	3919653	777997	83.44	4697650
48	3842713	768145	83.34	4610858
49	3858389	777052	83.24	4635441
50	3818222	765861	83.29	4584083
51	3772129	750595	83.40	4522724
52	3674708	733809	83.35	4408517
53	3639103	726785	83.35	4365888
54	3554468	699052	83.57	4253520
55	3563067	700663	83.57	4263730
56	3521928	693421	83.55	4215349
57	3479542	688114	83.49	4167656
58	3439985	685685	83.38	4125670
59	3405835	676403	83.43	4082238
60	3347002	668437	83.35	4015439
61	3320567	664493	83.33	3985060
62	3294512	659305	83.32	3953817
63	3248405	651576	83.29	3899981
64	3191322	644486	83.20	3835808
65	3102456	633045	83.05	3735501
66	3027277	620987	82.98	3648264
67	2969622	614553	82.85	3584175
68	2891298	607440	82.64	3498738
69	2812153	586545	82.74	3398698
70	2740823	578606	82.57	3319429
71	2642498	563716	82.42	3206214
72	2554351	546006	82.39	3100357
73	2450672	521932	82.44	2972604
74	2310724	500205	82.20	2810929
75	2133884	435678	83.04	2569562
76	1389692	349663	79.90	1739355
77	645851	123593	83.94	769444
78	621010	119891	83.82	740901
79	601818	116717	83.76	718535
80	578082	112913	83.66	690995
81	559077	108191	83.79	667268
82	534196	104361	83.66	638557
83	509379	100593	83.51	609972
84	480959	96726	83.26	577685
85	453292	90982	83.28	544274
86	430430	86069	83.34	516499
87	363760	77407	82.45	441167
88	238934	49777	82.76	288711

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	827308	25781304	3.11	26608612
2	876570	20723849	4.06	21600419
3	768166	21453513	3.46	22221679
4	775343	22313715	3.36	23089058
5	744873	21148064	3.40	21892937
6	705837	21757843	3.14	22463680
7	733542	21810863	3.25	22544405
8	736214	22364195	3.19	23100409
9	810299	22383000	3.49	23193299
10	778448	22114510	3.40	22892958
11	728425	21539484	3.27	22267909
12	757552	21989309	3.33	22746861
13	766652	22120959	3.35	22887611
14	767587	22266114	3.33	23033701
15	785880	22495242	3.38	23281122
16	790954	22459767	3.40	23250721
17	798294	22414837	3.44	23213131
18	785891	22629420	3.36	23415311
19	784693	22718328	3.34	23503021
20	821027	22913943	3.46	23734970
21	829893	22843331	3.51	23673224
22	826251	22963800	3.47	23790051
23	801320	22827126	3.39	23628446
24	827461	23350239	3.42	24177700
25	825040	23241529	3.43	24066569
26	809212	22863814	3.42	23673026
27	820294	22824652	3.47	23644946
28	809965	22889664	3.42	23699629
29	832598	23097938	3.48	23930536
30	838504	23015850	3.52	23854354
31	816963	22814776	3.46	23631739
32	835718	22922238	3.52	23757956
33	835765	23009616	3.50	23845381
34	835027	23055476	3.50	23890503
35	835312	22935679	3.51	23770991
36	835765	22973703	3.51	23809468
37	836665	22979927	3.51	23816592
38	838259	22955480	3.52	23793739
39	850153	23070800	3.55	23920953
40	834447	22871926	3.52	23706373
41	863012	22839477	3.64	23702489
42	874040	22953783	3.67	23827823
43	850658	22742518	3.61	23593176
44	850757	22685349	3.61	23536106
45	858024	22769940	3.63	23627964
46	839519	22646209	3.57	23485728
47	832195	22401845	3.58	23234040
48	841101	22427966	3.61	23269067
49	847369	22329624	3.66	23176993
50	858000	22213299	3.72	23071299
51	845834	21982953	3.71	22828787
52	827972	21791952	3.66	22619924
53	827632	21409992	3.72	22237624
54	793755	20514919	3.73	21308674
55	789484	20163717	3.77	20953201
56	794329	20140868	3.79	20935197
57	789211	19983429	3.80	20772640
58	778017	19760266	3.79	20538283
59	793259	19524054	3.90	20317313
60	778482	19362952	3.87	20141434
61	772743	19139882	3.88	19912625
62	782974	18991798	3.96	19774772
63	780019	18771395	3.99	19551414
64	767976	18421031	4.00	19189007
65	767605	18059987	4.08	18827592
66	760168	17651579	4.13	18411747
67	755863	17252261	4.20	18008124
68	747569	16935369	4.23	17682938
69	761262	16432987	4.43	17194249
70	756347	15949202	4.53	16705549
71	712891	15411088	4.42	16123979
72	686549	14909595	4.40	15596144
73	661923	14315482	4.42	14977405
74	608575	13709362	4.25	14317937
75	523612	12408324	4.05	12931936
