CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	3137771	582770	84.34	3720541
2	3033989	548740	84.68	3582729
3	2846406	571768	83.27	3418174
4	2665335	494693	84.35	3160028
5	2561186	494086	83.83	3055272
6	2692802	540809	83.28	3233611
7	2528233	502331	83.42	3030564
8	2577870	517349	83.29	3095219
9	2740464	532943	83.72	3273407
10	2708337	529426	83.65	3237763
11	2662592	524914	83.53	3187506
12	2711635	527500	83.71	3239135
13	2715885	526460	83.76	3242345
14	2766038	529993	83.92	3296031
15	2764028	531644	83.87	3295672
16	2851397	541212	84.05	3392609
17	2839723	541359	83.99	3381082
18	2830730	541034	83.95	3371764
19	2821077	539246	83.95	3360323
20	2862455	561762	83.59	3424217
21	2843875	560520	83.54	3404395
22	2868304	561054	83.64	3429358
23	2890574	562703	83.71	3453277
24	2910305	564515	83.75	3474820
25	2923363	565014	83.80	3488377
26	2898522	563846	83.72	3462368
27	2901243	565776	83.68	3467019
28	2890311	563577	83.68	3453888
29	2897280	565455	83.67	3462735
30	2947106	569122	83.81	3516228
31	2955836	569712	83.84	3525548
32	2996687	573141	83.94	3569828
33	2965103	571058	83.85	3536161
34	2929408	567201	83.78	3496609
35	2911882	563862	83.78	3475744
36	2924033	565583	83.79	3489616
37	2939217	567136	83.83	3506353
38	2960263	569642	83.86	3529905
39	2961252	569000	83.88	3530252
40	2995058	571271	83.98	3566329
41	2950980	566215	83.90	3517195
42	2936723	565671	83.85	3502394
43	2943961	566505	83.86	3510466
44	2941160	563888	83.91	3505048
45	2946054	565326	83.90	3511380
46	2955521	567390	83.89	3522911
47	2953608	563844	83.97	3517452
48	2932545	564158	83.87	3496703
49	2952052	565315	83.93	3517367
50	2929814	564803	83.84	3494617
51	2906638	556492	83.93	3463130
52	2900883	556215	83.91	3457098
53	2909039	557675	83.91	3466714
54	2932803	559827	83.97	3492630
55	2903917	556061	83.93	3459978
56	2908141	554731	83.98	3462872
57	2888528	554018	83.91	3442546
58	2892258	554248	83.92	3446506
59	2852508	550214	83.83	3402722
60	2850797	548411	83.87	3399208
61	2831073	542773	83.91	3373846
62	2849435	545467	83.93	3394902
63	2860367	546123	83.97	3406490
64	2849648	542698	84.00	3392346
65	2781768	534669	83.88	3316437
66	2747759	532128	83.78	3279887
67	2746025	531050	83.80	3277075
68	2751949	530762	83.83	3282711
69	2742002	530219	83.80	3272221
70	2735997	527787	83.83	3263784
71	2698141	520728	83.82	3218869
72	2708561	521492	83.86	3230053
73	2673440	517974	83.77	3191414
74	2640240	511748	83.76	3151988
75	2577867	516025	83.32	3093892
76	2566884	497648	83.76	3064532
77	2565464	496888	83.77	3062352
78	2567471	496871	83.79	3064342
79	2525382	489143	83.77	3014525
80	2462575	479198	83.71	2941773
81	2418741	467244	83.81	2885985
82	2419463	463792	83.91	2883255
83	2387051	462618	83.77	2849669
84	2328363	462603	83.42	2790966
85	2101198	430533	82.99	2531731

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	601663	16290092	3.56	16891755
2	385558	16082766	2.34	16468324
3	266326	12364460	2.11	12630786
4	249762	13396160	1.83	13645922
5	239205	14216883	1.65	14456088
6	231493	14471322	1.57	14702815
7	239594	14239452	1.65	14479046
8	236315	14649005	1.59	14885320
9	253312	14852383	1.68	15105695
10	243335	14594580	1.64	14837915
11	239255	14478187	1.63	14717442
12	242953	14677894	1.63	14920847
13	245087	14739004	1.64	14984091
14	245948	14910798	1.62	15156746
15	247005	14994301	1.62	15241306
16	254173	14977740	1.67	15231913
17	254119	14964759	1.67	15218878
18	249628	15051137	1.63	15300765
19	253211	15099084	1.65	15352295
20	254092	15261137	1.64	15515229
21	254427	15158569	1.65	15412996
22	256564	15273447	1.65	15530011
23	261844	15282955	1.68	15544799
24	273528	15625138	1.72	15898666
25	266946	15420692	1.70	15687638
26	267817	15333928	1.72	15601745
27	265542	15269073	1.71	15534615
28	260751	15329520	1.67	15590271
