CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	3188466	1405553	69.40	4594019
2	1496230	1005564	59.81	2501794
3	2662716	1336140	66.59	3998856
4	2783402	1054543	72.52	3837945
5	2541104	1193855	68.04	3734959
6	3237464	1105447	74.55	4342911
7	2753854	1189438	69.84	3943292
8	2806438	1205626	69.95	4012064
9	3105200	1266851	71.02	4372051
10	3117636	1250552	71.37	4368188
11	2846990	1175132	70.78	4022122
12	2741400	1158997	70.29	3900397
13	2741988	1158023	70.31	3900011
14	2808509	1169509	70.60	3978018
15	2811671	1180832	70.42	3992503
16	2848726	1185845	70.61	4034571
17	2918494	1200600	70.85	4119094
18	2926290	1211401	70.72	4137691
19	2879214	1202215	70.54	4081429
20	2896546	1214092	70.46	4110638
21	2853631	1204820	70.31	4058451
22	2869765	1204259	70.44	4074024
23	2856648	1197969	70.45	4054617
24	2787670	1193838	70.02	3981508
25	2798841	1197156	70.04	3995997
26	2740951	1194105	69.65	3935056
27	2712493	1195823	69.40	3908316
28	2694037	1184859	69.45	3878896
29	2669078	1181994	69.31	3851072
30	2693128	1181767	69.50	3874895
31	2662227	1173626	69.40	3835853
32	2683168	1172731	69.59	3855899
33	2640300	1167362	69.34	3807662
34	2575079	1153054	69.07	3728133
35	2520861	1139968	68.86	3660829
36	2533631	1140541	68.96	3674172
37	2545854	1138152	69.11	3684006
38	2547569	1132646	69.22	3680215
39	2466389	1110846	68.95	3577235
40	2446839	1098460	69.02	3545299
41	2390892	1083767	68.81	3474659
42	2317928	1065593	68.51	3383521
43	2296536	1051090	68.60	3347626
44	2218574	1021788	68.47	3240362
45	2175927	1004818	68.41	3180745
46	2110190	981573	68.25	3091763
47	2054085	955491	68.25	3009576
48	1960877	924383	67.96	2885260
49	1887383	886961	68.03	2774344
50	1781585	851274	67.67	2632859
51	570187	357863	61.44	928050
52	559329	350112	61.50	909441
53	546643	343594	61.40	890237
54	533161	333636	61.51	866797
55	515122	331053	60.88	846175
56	499410	320622	60.90	820032
57	485477	310822	60.97	796299
58	463877	299691	60.75	763568
59	445937	287509	60.80	733446
60	426983	276957	60.66	703940
61	397300	260896	60.36	658196
62	374188	248524	60.09	622712
63	351332	234139	60.01	585471
64	325632	219714	59.71	545346
65	300480	205835	59.35	506315
66	273537	192077	58.75	465614
67	250519	178633	58.38	429152
68	227396	164123	58.08	391519
69	206202	151055	57.72	357257
70	184962	137242	57.41	322204
71	162137	121322	57.20	283459
72	140464	107738	56.59	248202
73	120884	92589	56.63	213473
74	103559	80212	56.35	183771
75	94233	71887	56.73	166120
76	30620	34727	46.86	65347

CHG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	259403	13192327	1.93	13451730
2	260326	15922875	1.61	16183201
3	234188	11429726	2.01	11663914
4	239172	12577147	1.87	12816319
5	163524	11837326	1.36	12000850
6	284057	12240394	2.27	12524451
7	227794	13470461	1.66	13698255
8	234806	14493567	1.59	14728373
9	281187	14614136	1.89	14895323
10	256114	13136191	1.91	13392305
11	234117	12398863	1.85	12632980
12	218311	12817319	1.67	13035630
13	209504	13130511	1.57	13340015
14	219620	13418947	1.61	13638567
15	218993	13440924	1.60	13659917
16	233730	13578963	1.69	13812693
17	236417	13722020	1.69	13958437
18	222481	13473525	1.62	13696006
19	217827	13443401	1.59	13661228
20	223331	13580098	1.62	13803429
21	226042	13665806	1.63	13891848
22	227797	13715135	1.63	13942932
23	226222	13573729	1.64	13799951
24	230651	13826112	1.64	14056763
25	220128	13675572	1.58	13895700
26	222223	13767586	1.59	13989809
27	218747	13686576	1.57	13905323
28	215693	13591419	1.56	13807112
29	223636	13621410	1.62	13845046
30	222155	13728846	1.59	13951001
31	216790	13559999	1.57	13776789
32	217258	13521956	1.58	13739214
33	218913	13355482	1.61	13574395
34	214921	13219110	1.60	13434031
35	210570	13226423	1.57	13436993
36	207644	13190818	1.55	13398462
37	209483	13099591	1.57	13309074
38	207799	12919240	1.58	13127039
39	202840	12613902	1.58	12816742
40	202701	12450129	1.60	12652830
41	202280	12308688	1.62	12510968
42	196814	12080161	1.60	12276975
43	198320	11872404	1.64	12070724
44	185892	11586479	1.58	11772371
45	178610	11396168	1.54	11574778
46	174107	10909765	1.57	11083872
47	164619	10559518	1.54	10724137
