CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	1648762	1598269	50.78	3247031
2	1775953	804854	68.81	2580807
3	1748721	1492639	53.95	3241360
4	2294238	863585	72.65	3157823
5	2481883	815721	75.26	3297604
6	2493332	835429	74.90	3328761
7	2445938	795613	75.46	3241551
8	2496457	800352	75.72	3296809
9	2525521	826746	75.34	3352267
10	2440721	809202	75.10	3249923
11	2446275	816011	74.99	3262286
12	2450930	824432	74.83	3275362
13	2429781	829055	74.56	3258836
14	2412948	826860	74.48	3239808
15	2413902	828680	74.44	3242582
16	2403246	822715	74.50	3225961
17	2416390	824534	74.56	3240924
18	2420184	824259	74.59	3244443
19	2426976	823702	74.66	3250678
20	2425776	828137	74.55	3253913
21	2423093	827458	74.54	3250551
22	2424987	829748	74.51	3254735
23	2428789	834358	74.43	3263147
24	2434364	837823	74.40	3272187
25	2434843	840725	74.33	3275568
26	2423283	843699	74.17	3266982
27	2424227	844647	74.16	3268874
28	2412814	847397	74.01	3260211
29	2399989	850571	73.83	3250560
30	2396373	854418	73.72	3250791
31	2387731	863872	73.43	3251603
32	2381409	869185	73.26	3250594
33	2376950	874022	73.12	3250972
34	2369131	876746	72.99	3245877
35	2383541	877309	73.10	3260850
36	2385087	884574	72.95	3269661
37	2394386	887769	72.95	3282155
38	2397650	891632	72.89	3289282
39	2381845	892737	72.74	3274582
40	2410710	898484	72.85	3309194
41	2527665	932057	73.06	3459722
42	2468464	892922	73.44	3361386
43	2437920	907281	72.88	3345201
44	2433574	926021	72.44	3359595
45	2277215	936167	70.87	3213382
46	1974710	1237904	61.47	3212614
47	1551042	1602728	49.18	3153770
48	1357927	757877	64.18	2115804
49	1322712	1924448	40.73	3247160
50	999889	1069591	48.32	2069480

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	218650	12531362	1.71	12750012
2	230675	10840326	2.08	11071001
3	276118	13955527	1.94	14231645
4	305118	14666904	2.04	14972022
5	332671	13568351	2.39	13901022
6	334855	13094748	2.49	13429603
7	340493	12881601	2.58	13222094
8	339986	12970866	2.55	13310852
9	350595	13006963	2.62	13357558
10	324337	13025375	2.43	13349712
11	325744	13149312	2.42	13475056
12	326774	13192537	2.42	13519311
13	323585	13181348	2.40	13504933
14	320766	13168060	2.38	13488826
15	321501	13204413	2.38	13525914
16	319544	13137228	2.37	13456772
17	322310	13185948	2.39	13508258
18	326192	13247391	2.40	13573583
19	323314	13290044	2.37	13613358
20	321772	13318390	2.36	13640162
21	325279	13342353	2.38	13667632
22	323967	13426186	2.36	13750153
23	320886	13452923	2.33	13773809
24	323492	13512144	2.34	13835636
25	323823	13453811	2.35	13777634
26	321518	13455777	2.33	13777295
27	322217	13476839	2.34	13799056
28	321574	13467816	2.33	13789390
29	318641	13457870	2.31	13776511
30	320749	13491273	2.32	13812022
31	318838	13531398	2.30	13850236
32	316492	13552073	2.28	13868565
33	315410	13600603	2.27	13916013
34	316705	13650351	2.27	13967056
35	323981	13673501	2.31	13997482
36	322403	13734815	2.29	14057218
37	325632	13795587	2.31	14121219
38	329700	13821537	2.33	14151237
39	334343	13837034	2.36	14171377
40	338307	14122225	2.34	14460532
41	342967	14172670	2.36	14515637
42	347747	13984542	2.43	14332289
43	343007	13997275	2.39	14340282
44	335155	13721786	2.38	14056941
45	310272	13501753	2.25	13812025
46	290857	14130016	2.02	14420873
47	244332	11794419	2.03	12038751
48	245110	9055995	2.64	9301105
49	336030	12638348	2.59	12974378
50	167636	8965975	1.84	9133611

CHH context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	296857	37860534	0.78	38157391
2	258067	30309683	0.84	30567750
3	359606	37592466	0.95	37952072
4	331107	37077081	0.89	37408188
5	345238	34348921	1.00	34694159
6	364177	35011989	1.03	35376166
7	390901	35278729	1.10	35669630
8	406192	35923364	1.12	36329556
9	435277	36788648	1.17	37223925
10	372084	36918457	1.00	37290541
11	368089	37236022	0.98	37604111
12	365373	37357520	0.97	37722893
13	364634	37459252	0.96	37823886
14	356906	37546026	0.94	37902932
15	364565	37602465	0.96	37967030
16	362162	37576839	0.95	37939001
17	365951	37755961	0.96	38121912
18	372138	37930203	0.97	38302341
19	364786	38067834	0.95	38432620
20	363490	38115417	0.94	38478907
21	370582	38219931	0.96	38590513
22	368775	38383669	0.95	38752444
23	359317	38379806	0.93	38739123
24	364470	38363727	0.94	38728197
25	364557	38386186	0.94	38750743
26	358719	38410005	0.93	38768724
27	360554	38472193	0.93	38832747
28	364594	38445623	0.94	38810217
29	359108	38380168	0.93	38739276
30	357852	38350665	0.92	38708517
31	359049	38335257	0.93	38694306
32	353459	38266539	0.92	38619998
33	346936	38220336	0.90	38567272
34	350752	38208985	0.91	38559737
35	364000	38179446	0.94	38543446
36	360177	38112303	0.94	38472480
37	363619	38041922	0.95	38405541
38	368876	38045173	0.96	38414049
39	376850	37996756	0.98	38373606
40	371773	37709071	0.98	38080844
41	385052	37992966	1.00	38378018
42	382213	37180063	1.02	37562276
43	371351	36925181	1.00	37296532
44	377919	37240837	1.00	37618756
45	375755	37352705	1.00	37728460
46	352257	37612058	0.93	37964315
47	307897	34086631	0.90	34394528
48	346451	25050821	1.36	25397272
49	636135	36137411	1.73	36773546
50	220610	25104811	0.87	25325421

