CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	6455795	2090920	75.54	8546715
2	3217733	1464924	68.72	4682657
3	3376698	1695052	66.58	5071750
4	3993315	1792575	69.02	5785890
5	3643839	1688485	68.33	5332324
6	3397028	1801163	65.35	5198191
7	3215051	1654806	66.02	4869857
8	3498046	1776225	66.32	5274271
9	3672136	1788539	67.25	5460675
10	3451440	1725305	66.67	5176745
11	3442905	1711508	66.80	5154413
12	3447735	1706424	66.89	5154159
13	3610355	1758619	67.24	5368974
14	3602288	1756812	67.22	5359100
15	3571687	1749851	67.12	5321538
16	3709149	1788989	67.46	5498138
17	3715783	1801187	67.35	5516970
18	3718451	1806728	67.30	5525179
19	3757209	1814395	67.43	5571604
20	3804243	1862107	67.14	5666350
21	3913793	1873597	67.63	5787390
22	3781304	1832599	67.36	5613903
23	3916686	1865337	67.74	5782023
24	3862658	1854504	67.56	5717162
25	3945038	1886866	67.65	5831904
26	3910763	1871737	67.63	5782500
27	3800714	1848921	67.27	5649635
28	3796516	1843481	67.31	5639997
29	3871020	1863134	67.51	5734154
30	3901303	1851834	67.81	5753137
31	3905556	1857175	67.77	5762731
32	3947038	1866692	67.89	5813730
33	3948160	1867137	67.89	5815297
34	3888224	1842939	67.84	5731163
35	3831675	1823714	67.75	5655389
36	3885968	1838518	67.88	5724486
37	3828639	1836061	67.59	5664700
38	3790786	1815558	67.62	5606344
39	3765191	1806097	67.58	5571288
40	3808562	1814133	67.74	5622695
41	3768739	1795214	67.73	5563953
42	3675152	1758113	67.64	5433265
43	3719005	1769428	67.76	5488433
44	3702581	1766308	67.70	5468889
45	3648983	1751131	67.57	5400114
46	3660798	1751430	67.64	5412228
47	3620914	1735442	67.60	5356356
48	3554333	1720698	67.38	5275031
49	3548854	1714929	67.42	5263783
50	3540849	1708554	67.45	5249403
51	3476151	1692307	67.26	5168458
52	3416142	1672170	67.14	5088312
53	3516331	1692542	67.51	5208873
54	3437329	1669960	67.30	5107289
55	3444798	1666137	67.40	5110935
56	3392372	1649038	67.29	5041410
57	3347016	1630439	67.24	4977455
58	3316212	1618092	67.21	4934304
59	3320224	1618560	67.23	4938784
60	3251554	1594406	67.10	4845960
61	3244650	1587271	67.15	4831921
62	3210043	1567555	67.19	4777598
63	3164161	1537973	67.29	4702134
64	3127355	1517114	67.34	4644469
65	3050205	1484415	67.26	4534620
66	2952253	1445282	67.13	4397535
67	2900137	1416380	67.19	4316517
68	2818258	1388164	67.00	4206422
69	2737243	1349722	66.97	4086965
70	2660557	1310455	67.00	3971012
71	2579225	1267691	67.05	3846916
72	2501948	1223703	67.15	3725651
73	2406257	1179102	67.11	3585359
