CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	1908993	472446	80.16	2381439
2	1502719	452205	76.87	1954924
3	1461944	466745	75.80	1928689
4	1517185	410668	78.70	1927853
5	1443274	397447	78.41	1840721
6	1594438	447576	78.08	2042014
7	1350717	404493	76.95	1755210
8	1313370	413379	76.06	1726749
9	1478863	448100	76.75	1926963
10	1454303	432906	77.06	1887209
11	1443674	428768	77.10	1872442
12	1441372	423261	77.30	1864633
13	1374922	411862	76.95	1786784
14	1356611	410203	76.78	1766814
15	1404870	418364	77.05	1823234
16	1381092	419209	76.71	1800301
17	1394195	424325	76.67	1818520
18	1411369	426132	76.81	1837501
19	1434793	429493	76.96	1864286
20	1429683	427632	76.98	1857315
21	1442151	429605	77.05	1871756
22	1440599	426613	77.15	1867212
23	1451287	427123	77.26	1878410
24	1425233	424815	77.04	1850048
25	1431159	425850	77.07	1857009
26	1420047	429935	76.76	1849982
27	1423188	430620	76.77	1853808
28	1429587	434878	76.68	1864465
29	1420862	431903	76.69	1852765
30	1406767	430360	76.57	1837127
31	1422065	435337	76.56	1857402
32	1390411	427102	76.50	1817513
33	1404492	428298	76.63	1832790
34	1380756	424782	76.47	1805538
35	1385881	426169	76.48	1812050
36	1372514	428100	76.22	1800614
37	1418179	433226	76.60	1851405
38	1395841	430617	76.42	1826458
39	1411728	432414	76.55	1844142
40	1420953	431635	76.70	1852588
41	1425338	434487	76.64	1859825
42	1398085	428408	76.54	1826493
43	1416609	430276	76.70	1846885
44	1375847	423019	76.48	1798866
45	1350517	420208	76.27	1770725
46	1326048	417119	76.07	1743167
47	1353450	423574	76.16	1777024
48	1379557	428282	76.31	1807839
49	1356028	422650	76.24	1778678
50	1377498	423968	76.47	1801466
51	1340729	419189	76.18	1759918
52	1332627	417924	76.13	1750551
53	1316574	414810	76.04	1731384
54	1308209	414327	75.95	1722536
55	1339361	417169	76.25	1756530
56	1325663	418239	76.02	1743902
57	1322581	417714	76.00	1740295
58	1378396	424476	76.46	1802872
59	1332912	418139	76.12	1751051
60	1337810	416307	76.27	1754117
61	1312213	415354	75.96	1727567
62	1311812	413175	76.05	1724987
63	1283514	408884	75.84	1692398
64	1289094	408974	75.92	1698068
65	1257041	401779	75.78	1658820
66	1311236	412352	76.08	1723588
67	1308554	411096	76.09	1719650
68	1281549	405959	75.94	1687508
69	1289033	407417	75.98	1696450
70	1285179	403409	76.11	1688588
71	1268321	403126	75.88	1671447
72	1224141	396031	75.56	1620172
73	1202151	392045	75.41	1594196
74	1178583	386519	75.30	1565102
75	1196057	387477	75.53	1583534
76	1216956	392308	75.62	1609264
77	1187882	388475	75.36	1576357
78	1186824	387784	75.37	1574608
79	1171998	386668	75.19	1558666
80	1146391	378196	75.19	1524587
81	1129434	373255	75.16	1502689
