CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	46014	14282	76.31	60296
2	38413	12420	75.57	50833
3	45049	15237	74.73	60286
4	50095	14949	77.02	65044
5	46953	14036	76.99	60989
6	50868	15906	76.18	66774
7	47350	13936	77.26	61286
8	50829	14880	77.35	65709
9	51571	15084	77.37	66655
10	50620	14462	77.78	65082
11	46289	14659	75.95	60948
12	47985	14671	76.58	62656
13	47134	14631	76.31	61765
14	48315	14602	76.79	62917
15	46780	14886	75.86	61666
16	49670	14857	76.98	64527
17	48479	14865	76.53	63344
18	47830	15191	75.90	63021
19	47928	15115	76.02	63043
20	48800	15168	76.29	63968
21	48395	15198	76.10	63593
22	48438	15193	76.12	63631
23	48379	14919	76.43	63298
24	48483	15098	76.25	63581
25	48212	15089	76.16	63301
26	47464	14965	76.03	62429
27	47711	15103	75.96	62814
28	47237	15200	75.66	62437
29	47599	15122	75.89	62721
30	48779	15434	75.96	64213
31	48389	14990	76.35	63379
32	49201	15254	76.33	64455
33	47945	15131	76.01	63076
34	46656	15169	75.46	61825
35	47231	15107	75.77	62338
36	47822	15311	75.75	63133
37	48136	15052	76.18	63188
38	48256	15212	76.03	63468
39	47849	15202	75.89	63051
40	48776	15154	76.30	63930
41	47279	15328	75.52	62607
42	47178	15201	75.63	62379
43	47796	15134	75.95	62930
44	47685	15070	75.99	62755
45	48286	15299	75.94	63585
46	47142	14908	75.97	62050
47	47511	14993	76.01	62504
48	47201	15155	75.70	62356
49	47622	15077	75.95	62699
50	47380	15204	75.71	62584
51	46852	14970	75.79	61822
52	46912	15001	75.77	61913
53	47216	14906	76.01	62122
54	48710	15157	76.27	63867
55	46935	15306	75.41	62241
56	47688	14858	76.24	62546
57	46348	15128	75.39	61476
58	46748	15071	75.62	61819
59	46282	14984	75.54	61266
60	46884	14974	75.79	61858
61	46409	15047	75.52	61456
62	47164	14896	76.00	62060
63	46859	14912	75.86	61771
64	46935	14667	76.19	61602
65	45619	14854	75.44	60473
66	45236	14660	75.52	59896
67	45312	14620	75.61	59932
68	46020	14587	75.93	60607
69	46145	14601	75.96	60746
70	45748	14674	75.71	60422
71	45680	14252	76.22	59932
72	45568	14687	75.63	60255
73	45152	14409	75.81	59561
74	44977	14509	75.61	59486
75	45191	14077	76.25	59268
76	44921	14441	75.67	59362
77	43842	14174	75.57	58016
78	44240	14381	75.47	58621
79	44011	14191	75.62	58202
80	44152	14250	75.60	58402
81	43130	14153	75.29	57283
82	43391	14239	75.29	57630
83	43468	13927	75.73	57395
84	43110	14049	75.42	57159
85	42666	13965	75.34	56631
86	43065	14042	75.41	57107
87	42421	13770	75.49	56191
88	42732	13793	75.60	56525
89	42142	13801	75.33	55943
90	41568	13796	75.08	55364
91	41452	13711	75.14	55163
92	41056	13291	75.54	54347
93	40752	13474	75.15	54226
94	41063	13373	75.43	54436
95	39802	13189	75.11	52991
96	39626	13171	75.05	52797
97	38156	12620	75.15	50776
98	36758	12563	74.53	49321
99	31270	10435	74.98	41705

CHG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	5939	224601	2.58	230540
2	6005	222577	2.63	228582
3	5076	221742	2.24	226818
4	5588	231659	2.36	237247
5	5723	227104	2.46	232827
