CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	3275360	943521	77.64	4218881
2	2792468	938494	74.85	3730962
3	2723656	1006322	73.02	3729978
4	2925356	1026553	74.02	3951909
5	2789489	994523	73.72	3784012
6	2854472	1070307	72.73	3924779
7	2691914	1013299	72.65	3705213
8	2696643	1032575	72.31	3729218
9	2720309	1046277	72.22	3766586
10	2742459	1045492	72.40	3787951
11	2703542	1038375	72.25	3741917
12	2745754	1044820	72.44	3790574
13	2714987	1038252	72.34	3753239
14	2740729	1042258	72.45	3782987
15	2702459	1041004	72.19	3743463
16	2786909	1052132	72.59	3839041
17	2751981	1051405	72.36	3803386
18	2713872	1052636	72.05	3766508
19	2697913	1050229	71.98	3748142
20	2751965	1056813	72.25	3808778
21	2735882	1061182	72.05	3797064
22	2750775	1061221	72.16	3811996
23	2754169	1062540	72.16	3816709
24	2756440	1067130	72.09	3823570
25	2784416	1072228	72.20	3856644
26	2749074	1070746	71.97	3819820
27	2732153	1070700	71.84	3802853
28	2720313	1068171	71.80	3788484
29	2721221	1066902	71.84	3788123
30	2765415	1072658	72.05	3838073
31	2776943	1074707	72.10	3851650
32	2817440	1080576	72.28	3898016
33	2766428	1078272	71.95	3844700
34	2746750	1072919	71.91	3819669
35	2734433	1071788	71.84	3806221
36	2760570	1077812	71.92	3838382
37	2773126	1079307	71.98	3852433
38	2791455	1080483	72.09	3871938
39	2777048	1081285	71.98	3858333
40	2819267	1083895	72.23	3903162
41	2778154	1079167	72.02	3857321
42	2771384	1081727	71.93	3853111
43	2772121	1080969	71.95	3853090
44	2786158	1081634	72.03	3867792
45	2788277	1083845	72.01	3872122
46	2785943	1084441	71.98	3870384
47	2771880	1079470	71.97	3851350
48	2759298	1082005	71.83	3841303
49	2787484	1085900	71.97	3873384
50	2764056	1081450	71.88	3845506
51	2736125	1079657	71.71	3815782
52	2735383	1076201	71.76	3811584
53	2747303	1081153	71.76	3828456
54	2776219	1083471	71.93	3859690
55	2741684	1076875	71.80	3818559
56	2773407	1077079	72.03	3850486
57	2728442	1076810	71.70	3805252
58	2742611	1078572	71.77	3821183
59	2708229	1071178	71.66	3779407
60	2714609	1073659	71.66	3788268
61	2706479	1070483	71.66	3776962
62	2715604	1070495	71.73	3786099
63	2719925	1069263	71.78	3789188
64	2721420	1065568	71.86	3786988
65	2666604	1060291	71.55	3726895
66	2648445	1056867	71.48	3705312
67	2640199	1055925	71.43	3696124
68	2651755	1056305	71.51	3708060
69	2646924	1053886	71.52	3700810
70	2661514	1051467	71.68	3712981
71	2632357	1048592	71.51	3680949
72	2633005	1047372	71.54	3680377
73	2597696	1039208	71.43	3636904
74	2579156	1037942	71.30	3617098
75	2572361	1036371	71.28	3608732
76	2566226	1028828	71.38	3595054
77	2540734	1025323	71.25	3566057
78	2538636	1023545	71.27	3562181
79	2511597	1017830	71.16	3529427
80	2503200	1007932	71.29	3511132
81	2482081	1008471	71.11	3490552
82	2466679	1000559	71.14	3467238
83	2440289	993866	71.06	3434155
84	2426727	988481	71.06	3415208
85	2407341	983008	71.01	3390349
86	2411769	978190	71.14	3389959
87	2381206	972634	71.00	3353840
88	2390724	969939	71.14	3360663
89	2351823	962217	70.97	3314040
90	2322320	954885	70.86	3277205
91	2304438	949271	70.82	3253709
92	2286130	937351	70.92	3223481
93	2266455	932750	70.84	3199205
94	2268254	925570	71.02	3193824
95	2228451	916882	70.85	3145333
96	2202804	909029	70.79	3111833
97	2162186	897318	70.67	3059504
98	2145113	889280	70.69	3034393
99	2104035	877742	70.56	2981777
100	2057451	869105	70.30	2926556
101	1973759	761646	72.16	2735405

CHG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	1599217	15731229	9.23	17330446
2	649428	16308862	3.83	16958290
3	358342	16113582	2.18	16471924
4	244527	16547452	1.46	16791979
5	181730	16759824	1.07	16941554
6	160833	17078202	0.93	17239035
7	146165	16752674	0.86	16898839
8	139756	16938069	0.82	17077825
9	137818	17015188	0.80	17153006
10	132237	16880068	0.78	17012305
11	131115	16793844	0.77	16924959
12	131179	17013347	0.77	17144526
13	131585	16986510	0.77	17118095
14	129852	17038345	0.76	17168197
15	131448	17169253	0.76	17300701
16	131727	17101987	0.76	17233714
17	129817	17030211	0.76	17160028
18	132122	17167487	0.76	17299609
19	133474	17246430	0.77	17379904
20	136051	17405290	0.78	17541341
21	136222	17350957	0.78	17487179
22	137148	17420054	0.78	17557202
23	137572	17363769	0.79	17501341
24	141844	17887891	0.79	18029735
25	141019	17616045	0.79	17757064
26	139629	17509857	0.79	17649486
27	140150	17467032	0.80	17607182
28	142229	17583086	0.80	17725315
29	142486	17682999	0.80	17825485
30	141320	17627175	0.80	17768495
31	142310	17614680	0.80	17756990
32	141894	17619184	0.80	17761078
33	142611	17649896	0.80	17792507
34	140301	17563988	0.79	17704289
35	141076	17576880	0.80	17717956
36	139967	17497584	0.79	17637551
37	142189	17609220	0.80	17751409
38	143892	17647803	0.81	17791695
39	141824	17660101	0.80	17801925
40	141970	17551994	0.80	17693964
41	141364	17484478	0.80	17625842
42	142795	17510715	0.81	17653510
43	141955	17602751	0.80	17744706
44	142427	17585730	0.80	17728157
45	142824	17652418	0.80	17795242
46	143218	17514758	0.81	17657976
47	143315	17532099	0.81	17675414
48	144668	17551758	0.82	17696426
49	143109	17575545	0.81	17718654
50	143784	17497838	0.82	17641622
51	141977	17387962	0.81	17529939
52	143643	17327342	0.82	17470985
53	142967	17442452	0.81	17585419
54	142375	17358789	0.81	17501164
55	143288	17341162	0.82	17484450
56	143972	17317903	0.82	17461875
57	142594	17295826	0.82	17438420
58	143936	17184263	0.83	17328199
59	141283	17131927	0.82	17273210
60	142762	17108026	0.83	17250788
61	141661	17105364	0.82	17247025
62	145641	17203170	0.84	17348811
63	144081	17174057	0.83	17318138
64	144775	17081333	0.84	17226108
65	143487	16920467	0.84	17063954
66	143310	16838675	0.84	16981985
67	142860	16837047	0.84	16979907
68	146919	16876788	0.86	17023707
69	147732	16844724	0.87	16992456
70	154796	16686070	0.92	16840866
71	144807	16559224	0.87	16704031
72	141751	16529852	0.85	16671603
73	144814	16441094	0.87	16585908
74	141680	16361934	0.86	16503614
75	140820	16262558	0.86	16403378
76	147503	16193935	0.90	16341438
77	140896	16142675	0.87	16283571
78	148459	16059201	0.92	16207660
79	139934	15910359	0.87	16050293
80	146437	15850227	0.92	15996664
81	139414	15718055	0.88	15857469
82	142732	15672802	0.90	15815534
83	137764	15481160	0.88	15618924
84	142322	15387139	0.92	15529461
85	139425	15355915	0.90	15495340
86	141890	15271579	0.92	15413469
87	141648	15175817	0.92	15317465
88	141260	15020690	0.93	15161950
89	133391	14893972	0.89	15027363
90	138094	14713606	0.93	14851700
91	132489	14643340	0.90	14775829
92	132585	14506246	0.91	14638831
93	131592	14403392	0.91	14534984
94	134739	14284277	0.93	14419016
95	134271	14092386	0.94	14226657
96	129551	13949169	0.92	14078720
97	126424	13809530	0.91	13935954
98	126077	13653309	0.91	13779386
99	124588	13498649	0.91	13623237
100	121779	13274673	0.91	13396452
101	119469	12497788	0.95	12617257

CHH context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	4594650	51555516	8.18	56150166
2	1816139	52309986	3.36	54126125
3	1025382	53494370	1.88	54519752
4	717836	55409880	1.28	56127716
5	542893	56138393	0.96	56681286
6	492717	58222340	0.84	58715057
7	445111	56876496	0.78	57321607
8	432028	57640209	0.74	58072237
9	421430	57636866	0.73	58058296
10	414369	57892290	0.71	58306659
11	415891	57975565	0.71	58391456
12	413513	57989167	0.71	58402680
13	409318	57753955	0.70	58163273
14	410053	57813446	0.70	58223499
15	410373	57636987	0.71	58047360
16	414655	57657909	0.71	58072564
17	414114	57898639	0.71	58312753
18	417998	58190552	0.71	58608550
19	419279	58301696	0.71	58720975
20	418940	58178461	0.71	58597401
21	419605	58153007	0.72	58572612
22	423361	58363079	0.72	58786440
23	422305	58404824	0.72	58827129
24	422991	58138297	0.72	58561288
25	426608	57956963	0.73	58383571
26	424613	57780725	0.73	58205338
27	427277	58107066	0.73	58534343
28	427718	57853358	0.73	58281076
29	426005	57745906	0.73	58171911
30	425780	57751422	0.73	58177202
31	430532	57749300	0.74	58179832
32	433277	57751495	0.74	58184772
33	429968	57629386	0.74	58059354
34	431654	57652934	0.74	58084588
35	431382	57786178	0.74	58217560
36	434416	57718537	0.75	58152953
37	433011	57596268	0.75	58029279
38	432924	57618831	0.75	58051755
39	433207	57530292	0.75	57963499
40	432515	57457032	0.75	57889547
41	431519	57471300	0.75	57902819
42	434183	57500549	0.75	57934732
43	433186	57406877	0.75	57840063
44	432921	57517634	0.75	57950555
45	433691	57404526	0.75	57838217
46	436157	57268295	0.76	57704452
47	430789	57307764	0.75	57738553
48	434398	57375028	0.75	57809426
49	432691	57283898	0.75	57716589
50	435360	57189542	0.76	57624902
51	430726	57130295	0.75	57561021
52	435766	57096804	0.76	57532570
53	431256	56983153	0.75	57414409
54	435799	57024984	0.76	57460783
55	431491	56844899	0.75	57276390
56	435994	56809397	0.76	57245391
57	431131	56609865	0.76	57040996
58	436411	56529816	0.77	56966227
59	435375	56498754	0.76	56934129
60	433320	56619419	0.76	57052739
61	434246	56449070	0.76	56883316
62	440258	56258146	0.78	56698404
63	432952	56048715	0.77	56481667
64	439798	55782288	0.78	56222086
65	437744	55647659	0.78	56085403
66	436097	55637888	0.78	56073985
67	432839	55582863	0.77	56015702
68	443608	55267727	0.80	55711335
69	440752	54995380	0.80	55436132
70	465128	54638826	0.84	55103954
71	437199	54514049	0.80	54951248
72	428221	54353095	0.78	54781316
73	436192	54057892	0.80	54494084
74	428289	53713313	0.79	54141602
75	424228	53503615	0.79	53927843
76	445533	53215793	0.83	53661326
77	422956	52919273	0.79	53342229
78	447667	52515756	0.85	52963423
79	418127	52271261	0.79	52689388
80	440435	51949526	0.84	52389961
81	423930	51667632	0.81	52091562
82	428583	51253958	0.83	51682541
83	416907	50848566	0.81	51265473
84	430035	50531710	0.84	50961745
85	417452	50310042	0.82	50727494
86	424194	49916068	0.84	50340262
87	415451	49485930	0.83	49901381
88	418805	49096402	0.85	49515207
89	400925	48702248	0.82	49103173
90	418409	48420034	0.86	48838443
91	400726	48135091	0.83	48535817
92	403838	47735140	0.84	48138978
93	395301	47221027	0.83	47616328
94	405407	46819373	0.86	47224780
95	412119	46316986	0.88	46729105
96	389891	45946801	0.84	46336692
97	383496	45434432	0.84	45817928
98	384289	45032282	0.85	45416571
99	377589	44445113	0.84	44822702
100	371177	43823266	0.84	44194443
101	356059	41502204	0.85	41858263

CpG context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	783793	5972148	11.60	6755941
2	2012328	2100927	48.92	4113255
3	2241880	1228467	64.60	3470347
4	2347293	1172579	66.69	3519872
5	2575662	1186620	68.46	3762282
6	2674837	1104144	70.78	3778981
7	2763395	1181055	70.06	3944450
8	2585072	1113326	69.90	3698398
9	2551859	1116324	69.57	3668183
10	2601252	1132578	69.67	3733830
11	2613654	1131735	69.78	3745389
12	2608906	1116518	70.03	3725424
13	2594479	1124031	69.77	3718510
14	2563109	1116584	69.66	3679693
15	2615161	1119874	70.02	3735035
16	2553555	1117311	69.56	3670866
17	2650052	1125860	70.18	3775912
18	2642608	1121141	70.21	3763749
19	2628719	1118476	70.15	3747195
20	2594811	1112893	69.98	3707704
21	2629459	1121677	70.10	3751136
22	2645468	1122730	70.21	3768198
23	2654090	1120836	70.31	3774926
24	2608770	1127856	69.82	3736626
25	2643782	1123365	70.18	3767147
26	2650908	1126185	70.18	3777093
27	2643426	1123511	70.17	3766937
28	2580648	1121956	69.70	3702604
29	2634141	1116607	70.23	3750748
30	2619517	1116138	70.12	3735655
31	2687476	1116861	70.64	3804337
32	2694965	1121273	70.62	3816238
33	2713107	1123335	70.72	3836442
34	2673994	1119171	70.50	3793165
35	2668663	1113537	70.56	3782200
36	2598506	1111652	70.04	3710158
37	2671379	1118397	70.49	3789776
38	2691134	1116957	70.67	3808091
39	2719564	1118220	70.86	3837784
40	2684824	1114700	70.66	3799524
41	2720172	1116382	70.90	3836554
42	2696371	1111900	70.80	3808271
43	2683417	1109245	70.75	3792662
44	2682246	1109120	70.75	3791366
45	2698919	1108193	70.89	3807112
46	1743708	713604	70.96	2457312
47	2696721	1109299	70.85	3806020
48	2681458	1104195	70.83	3785653
49	2658609	1102676	70.68	3761285
50	2691076	1101061	70.96	3792137
51	2684885	1098419	70.97	3783304
52	2656247	1093889	70.83	3750136
53	2654950	1092725	70.84	3747675
54	2674659	1091832	71.01	3766491
55	2687374	1094704	71.06	3782078
56	2659212	1089913	70.93	3749125
57	2690620	1086930	71.23	3777550
58	2656422	1080798	71.08	3737220
59	2662019	1080675	71.13	3742694
60	2634607	1073580	71.05	3708187
61	2638019	1071941	71.11	3709960
62	2636702	1068325	71.17	3705027
63	2644819	1067013	71.25	3711832
64	2643079	1061233	71.35	3704312
65	2644623	1059583	71.40	3704206
66	2595634	1051603	71.17	3647237
67	2589105	1045521	71.23	3634626
68	2583066	1042170	71.25	3625236
69	2602082	1039963	71.45	3642045
70	2599820	1037308	71.48	3637128
71	2618763	1034902	71.67	3653665
72	2589588	1025265	71.64	3614853
73	2605034	1024463	71.77	3629497
74	2573901	1015590	71.71	3589491
75	2565235	1007772	71.79	3573007
76	2550170	1001630	71.80	3551800
77	2555391	994563	71.98	3549954
78	2529224	990129	71.87	3519353
79	2528502	985081	71.96	3513583
80	2511804	972867	72.08	3484671
81	2502103	963766	72.19	3465869
82	2495168	957249	72.27	3452417
83	2481442	949494	72.33	3430936
84	2460068	939029	72.37	3399097
85	2441817	931931	72.38	3373748
86	2427956	921517	72.49	3349473
87	2423457	915487	72.58	3338944
88	2400264	907718	72.56	3307982
89	2390546	899915	72.65	3290461
90	2357971	892068	72.55	3250039
91	2327205	881215	72.53	3208420
92	2302670	873223	72.50	3175893
93	2288403	865013	72.57	3153416
94	2271100	855282	72.64	3126382
95	2259846	848464	72.70	3108310
96	2221670	837843	72.62	3059513
97	2185531	827805	72.53	3013336
98	2132448	813163	72.39	2945611
99	2101384	800305	72.42	2901689
100	2054631	775860	72.59	2830491
101	1902252	0	100.00	1902252

CHG context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	963987	13336129	6.74	14300116
2	632422	21925858	2.80	22558280
3	311664	17376793	1.76	17688457
4	259046	16509455	1.54	16768501
5	184712	16390690	1.11	16575402
6	164458	17215514	0.95	17379972
7	143982	16973821	0.84	17117803
8	142204	17319004	0.81	17461208
9	133794	16822307	0.79	16956101
10	134367	16974711	0.79	17109078
11	131314	17090576	0.76	17221890
12	130011	17023652	0.76	17153663
13	128043	16948364	0.75	17076407
14	129885	17143941	0.75	17273826
15	131231	17093763	0.76	17224994
16	132790	17187595	0.77	17320385
17	133072	17241214	0.77	17374286
18	134074	17221622	0.77	17355696
19	133377	17138035	0.77	17271412
20	134598	17285624	0.77	17420222
21	134431	17324471	0.77	17458902
22	137237	17551184	0.78	17688421
23	138182	17505845	0.78	17644027
24	136486	17555905	0.77	17692391
25	135031	17482447	0.77	17617478
26	138803	17890553	0.77	18029356
27	138358	17693790	0.78	17832148
28	136537	17632464	0.77	17769001
29	138072	17577302	0.78	17715374
30	138337	17688764	0.78	17827101
31	140717	17781340	0.79	17922057
32	141614	17761861	0.79	17903475
33	139616	17694986	0.78	17834602
34	141061	17720319	0.79	17861380
35	139260	17753540	0.78	17892800
36	138074	17674538	0.78	17812612
37	138830	17634881	0.78	17773711
38	140723	17604554	0.79	17745277
39	140142	17660566	0.79	17800708
40	140737	17727982	0.79	17868719
41	139896	17689932	0.78	17829828
42	139884	17608255	0.79	17748139
43	138224	17578677	0.78	17716901
44	139921	17579833	0.79	17719754
45	140209	17615094	0.79	17755303
46	93561	11428325	0.81	11521886
47	141278	17699457	0.79	17840735
48	140726	17567315	0.79	17708041
49	139641	17550279	0.79	17689920
50	139699	17511192	0.79	17650891
51	144358	17578045	0.81	17722403
52	141217	17534284	0.80	17675501
53	140921	17408341	0.80	17549262
54	139417	17367298	0.80	17506715
55	140981	17482208	0.80	17623189
56	143231	17421341	0.82	17564572
57	142274	17326740	0.81	17469014
58	145715	17316352	0.83	17462067
59	140529	17263609	0.81	17404138
60	141655	17183808	0.82	17325463
61	141121	17090377	0.82	17231498
62	140247	17053093	0.82	17193340
63	141816	17003355	0.83	17145171
64	145778	17088019	0.85	17233797
65	141773	17042921	0.82	17184694
66	139568	16984077	0.82	17123645
67	142149	16810525	0.84	16952674
68	140248	16683593	0.83	16823841
69	140306	16655116	0.84	16795422
70	143240	16701290	0.85	16844530
71	141228	16666912	0.84	16808140
72	148538	16521079	0.89	16669617
73	141004	16378188	0.85	16519192
74	144133	16328466	0.87	16472599
75	139470	16235358	0.85	16374828
76	141387	16155901	0.87	16297288
77	139199	16038210	0.86	16177409
78	141808	15998641	0.88	16140449
79	142619	15908963	0.89	16051582
80	144954	15848199	0.91	15993153
81	138669	15659398	0.88	15798067
82	141875	15576293	0.90	15718168
83	136926	15432004	0.88	15568930
84	140238	15374710	0.90	15514948
85	141203	15175850	0.92	15317053
86	136916	15064325	0.90	15201241
87	136387	15012462	0.90	15148849
88	138033	14941000	0.92	15079033
89	137532	14810392	0.92	14947924
90	136759	14663433	0.92	14800192
91	134621	14534690	0.92	14669311
92	137323	14345000	0.95	14482323
93	131183	14237449	0.91	14368632
94	130381	14117998	0.92	14248379
95	131357	13996472	0.93	14127829
96	130960	13878218	0.93	14009178
97	127326	13673815	0.92	13801141
98	125301	13485486	0.92	13610787
99	120330	13290071	0.90	13410401
100	100541	12984114	0.77	13084655
101	75188	0	100.00	75188

CHH context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	3040107	44087157	6.45	47127264
2	1380886	52475966	2.56	53856852
3	894250	58459732	1.51	59353982
4	677553	60996517	1.10	61674070
5	549592	60126263	0.91	60675855
6	500926	60051341	0.83	60552267
7	461032	60175786	0.76	60636818
8	435714	58833373	0.74	59269087
9	417013	58166331	0.71	58583344
10	416314	57931850	0.71	58348164
11	408160	57702020	0.70	58110180
12	406536	57465598	0.70	57872134
13	396245	57328316	0.69	57724561
14	397262	57248752	0.69	57646014
15	401603	57398885	0.69	57800488
16	399963	57575051	0.69	57975014
17	405773	57627120	0.70	58032893
18	410057	57520488	0.71	57930545
19	411105	57693863	0.71	58104968
20	411006	57782132	0.71	58193138
21	410315	57889285	0.70	58299600
22	414514	57728699	0.71	58143213
23	415071	57901276	0.71	58316347
24	412149	57870211	0.71	58282360
25	412043	57838593	0.71	58250636
26	412384	57804998	0.71	58217382
27	416170	58130929	0.71	58547099
28	415547	58147006	0.71	58562553
29	418683	58286958	0.71	58705641
30	420063	58215123	0.72	58635186
31	422879	58135204	0.72	58558083
32	426825	58097801	0.73	58524626
33	422348	58139019	0.72	58561367
34	427962	58018827	0.73	58446789
35	422140	58045598	0.72	58467738
36	416115	58100295	0.71	58516410
37	422391	58076964	0.72	58499355
38	425437	58109602	0.73	58535039
39	422786	58023987	0.72	58446773
40	424198	57970888	0.73	58395086
41	421550	57889963	0.72	58311513
42	428190	57932051	0.73	58360241
43	421692	57874837	0.72	58296529
44	424759	57655886	0.73	58080645
45	422916	57474199	0.73	57897115
46	278113	37348305	0.74	37626418
47	419869	57510078	0.72	57929947
48	421176	57526559	0.73	57947735
49	419682	57326747	0.73	57746429
50	418131	57128136	0.73	57546267
51	429324	57086669	0.75	57515993
52	420449	57125192	0.73	57545641
53	420387	56986421	0.73	57406808
54	418900	56826331	0.73	57245231
55	417462	56816515	0.73	57233977
56	426143	56642345	0.75	57068488
57	422500	56601584	0.74	57024084
58	431466	56410741	0.76	56842207
59	419308	56424689	0.74	56843997
60	423658	56148351	0.75	56572009
61	422226	56060974	0.75	56483200
62	421936	55768924	0.75	56190860
63	426581	55577700	0.76	56004281
64	435461	55388779	0.78	55824240
65	422830	55389880	0.76	55812710
66	417391	55137499	0.75	55554890
67	432780	55091099	0.78	55523879
68	424582	54759632	0.77	55184214
69	422485	54563472	0.77	54985957
70	428193	54359719	0.78	54787912
71	420078	54286821	0.77	54706899
72	447471	53951911	0.82	54399382
73	423196	53758205	0.78	54181401
74	430913	53456106	0.80	53887019
75	418652	53215373	0.78	53634025
76	423038	52893192	0.79	53316230
77	420161	52650868	0.79	53071029
78	428238	52321996	0.81	52750234
79	428286	52115299	0.82	52543585
80	438583	51790915	0.84	52229498
81	418940	51486937	0.81	51905877
82	430212	51060530	0.84	51490742
83	412918	50760772	0.81	51173690
84	423211	50455383	0.83	50878594
85	429773	49972479	0.85	50402252
86	416513	49540669	0.83	49957182
87	409195	49138414	0.83	49547609
88	412408	48868786	0.84	49281194
89	412870	48517304	0.84	48930174
90	409966	48063471	0.85	48473437
91	404413	47534673	0.84	47939086
92	414995	47045575	0.87	47460570
93	392799	46586329	0.84	46979128
94	391123	46191381	0.84	46582504
95	394681	45688051	0.86	46082732
96	392199	45255979	0.86	45648178
97	382289	44780331	0.85	45162620
98	377636	44213447	0.85	44591083
99	359125	43603224	0.82	43962349
100	282838	42547577	0.66	42830415
101	201794	0	100.00	201794

