CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	4309467	1133941	79.17	5443408
2	3247146	987835	76.67	4234981
3	3248891	1127740	74.23	4376631
4	3567365	1152673	75.58	4720038
5	3342272	1089818	75.41	4432090
6	3415752	1182370	74.29	4598122
7	3150770	1101516	74.10	4252286
8	3233584	1144513	73.86	4378097
9	3342974	1176526	73.97	4519500
10	3365058	1177955	74.07	4543013
11	3323384	1172115	73.93	4495499
12	3356944	1175964	74.06	4532908
13	3323497	1167737	74.00	4491234
14	3336972	1170157	74.04	4507129
15	3321473	1171512	73.93	4492985
16	3404483	1182831	74.22	4587314
17	3385726	1183386	74.10	4569112
18	3336176	1184866	73.79	4521042
19	3324138	1183735	73.74	4507873
20	3368984	1191133	73.88	4560117
21	3357254	1193009	73.78	4550263
22	3383316	1195196	73.90	4578512
23	3415050	1199273	74.01	4614323
24	3387218	1200894	73.83	4588112
25	3425583	1204114	73.99	4629697
26	3363798	1200777	73.69	4564575
27	3379597	1206314	73.70	4585911
28	3349025	1198785	73.64	4547810
29	3346010	1199437	73.61	4545447
30	3385127	1206145	73.73	4591272
31	3410430	1207165	73.86	4617595
32	3452900	1212757	74.01	4665657
33	3416889	1210833	73.84	4627722
34	3377592	1203526	73.73	4581118
35	3387988	1206542	73.74	4594530
36	3380539	1206396	73.70	4586935
37	3398530	1211324	73.72	4609854
38	3424358	1215203	73.81	4639561
39	3431553	1216131	73.83	4647684
40	3457435	1215444	73.99	4672879
41	3413163	1214199	73.76	4627362
42	3400617	1212972	73.71	4613589
43	3407702	1212882	73.75	4620584
44	3416610	1212864	73.80	4629474
45	3436329	1219996	73.80	4656325
46	3425820	1217770	73.78	4643590
47	3414796	1215638	73.75	4630434
48	3413450	1219463	73.68	4632913
49	3447973	1220209	73.86	4668182
50	3420286	1216464	73.76	4636750
51	3383629	1216371	73.56	4600000
52	3390836	1214571	73.63	4605407
53	3400930	1215876	73.66	4616806
54	3438360	1221346	73.79	4659706
55	3419912	1216820	73.76	4636732
56	3446726	1220666	73.85	4667392
57	3416770	1219559	73.70	4636329
58	3419419	1220668	73.69	4640087
59	3411398	1218412	73.68	4629810
60	3406740	1222214	73.60	4628954
61	3402044	1219894	73.61	4621938
62	3418106	1219177	73.71	4637283
63	3426421	1220827	73.73	4647248
64	3428960	1218999	73.77	4647959
65	3382209	1215213	73.57	4597422
66	3361546	1213448	73.48	4574994
67	3370274	1215003	73.50	4585277
68	3380133	1217458	73.52	4597591
69	3388591	1220065	73.53	4608656
70	3411033	1220530	73.65	4631563
71	3402936	1220998	73.59	4623934
72	3411781	1223195	73.61	4634976
73	3383720	1219503	73.51	4603223
74	3377144	1217639	73.50	4594783
75	3377258	1219821	73.47	4597079
76	3386886	1219234	73.53	4606120
77	3363478	1216051	73.45	4579529
78	3377900	1219773	73.47	4597673
79	3368329	1220570	73.40	4588899
80	3376755	1220175	73.46	4596930
81	3365316	1222639	73.35	4587955
82	3362832	1219801	73.38	4582633
83	3335212	1216804	73.27	4552016
84	3335062	1216171	73.28	4551233
85	3330630	1218401	73.22	4549031
86	3350332	1217930	73.34	4568262
87	3336308	1217776	73.26	4554084
88	3355477	1220851	73.32	4576328
89	3325499	1217903	73.19	4543402
90	3309733	1217675	73.10	4527408
91	3302640	1218979	73.04	4521619
92	3303966	1215145	73.11	4519111
93	3288479	1211904	73.07	4500383
94	3314256	1216946	73.14	4531202
95	3283585	1213125	73.02	4496710
96	3275857	1214555	72.95	4490412
97	3235700	1208878	72.80	4444578
98	3231516	1203623	72.86	4435139
99	3197707	1199144	72.73	4396851
100	3160740	1194126	72.58	4354866
101	3037989	1098230	73.45	4136219
102	1454251	550491	72.54	2004742
103	1450745	549955	72.51	2000700
104	1439261	548896	72.39	1988157
105	1434684	549981	72.29	1984665
106	1431363	549672	72.25	1981035
107	1424205	550846	72.11	1975051
108	1417682	551625	71.99	1969307
109	1409516	550897	71.90	1960413
110	1409116	551317	71.88	1960433
111	1401378	552654	71.72	1954032
112	1387421	550154	71.61	1937575
113	1375695	547401	71.54	1923096
114	1365490	547003	71.40	1912493
115	1351131	544479	71.28	1895610
116	1344059	543766	71.20	1887825
117	1332248	543078	71.04	1875326
118	1324793	541137	71.00	1865930
119	1304874	538167	70.80	1843041
120	1290273	534465	70.71	1824738
121	1276896	531362	70.61	1808258
122	1259036	528032	70.45	1787068
123	1238547	522516	70.33	1761063
124	1224310	518778	70.24	1743088
125	1207678	511868	70.23	1719546
126	1200771	507464	70.29	1708235
127	1180375	500322	70.23	1680697
128	1161170	493593	70.17	1654763
129	1138601	488724	69.97	1627325
130	1123151	480427	70.04	1603578
131	1102504	472598	70.00	1575102
132	1079119	466322	69.83	1545441
133	1057187	458663	69.74	1515850
134	1045180	451556	69.83	1496736
135	1019252	445373	69.59	1464625
136	993606	435072	69.55	1428678
137	970546	426941	69.45	1397487
138	951151	420652	69.34	1371803
139	931759	411961	69.34	1343720
140	910890	404886	69.23	1315776
141	892076	397400	69.18	1289476
142	872247	388151	69.20	1260398
143	850862	379688	69.14	1230550
144	828568	373195	68.95	1201763
145	807835	365248	68.86	1173083
146	783236	356711	68.71	1139947
147	760783	347521	68.64	1108304
148	733332	335571	68.61	1068903
149	700770	315690	68.94	1016460
150	503412	157010	76.23	660422

CHG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	847467	20316869	4.00	21164336
2	258663	20359920	1.25	20618583
3	135263	19683022	0.68	19818285
4	97414	19931648	0.49	20029062
5	79261	19785706	0.40	19864967
6	73799	19967916	0.37	20041715
7	72596	19644779	0.37	19717375
8	69026	20305811	0.34	20374837
9	70713	20524693	0.34	20595406
10	70334	20597611	0.34	20667945
11	69014	20439721	0.34	20508735
12	68960	20518154	0.33	20587114
13	68724	20504526	0.33	20573250
14	69579	20550718	0.34	20620297
15	69988	20724516	0.34	20794504
16	69179	20689281	0.33	20758460
17	69169	20658162	0.33	20727331
18	71009	20810305	0.34	20881314
19	70934	20998415	0.34	21069349
20	71055	21042245	0.34	21113300
21	70602	20974127	0.34	21044729
22	71526	21036800	0.34	21108326
23	72802	21077915	0.34	21150717
24	74694	21479896	0.35	21554590
25	73980	21192488	0.35	21266468
26	73460	21117081	0.35	21190541
27	73419	21128399	0.35	21201818
28	72703	21237217	0.34	21309920
29	72733	21347934	0.34	21420667
30	73264	21297535	0.34	21370799
31	73884	21284079	0.35	21357963
32	73355	21356807	0.34	21430162
33	74024	21292525	0.35	21366549
34	72972	21209349	0.34	21282321
35	73502	21169680	0.35	21243182
36	72415	21150880	0.34	21223295
37	72598	21272498	0.34	21345096
38	73117	21403652	0.34	21476769
