CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	1735643	378108	82.11	2113751
2	1720044	402092	81.05	2122136
3	1716434	435183	79.77	2151617
4	2179804	453456	82.78	2633260
5	1969646	444694	81.58	2414340
6	2023242	526507	79.35	2549749
7	1862344	463622	80.07	2325966
8	2073731	511808	80.20	2585539
9	2074928	507245	80.36	2582173
10	1967832	490198	80.06	2458030
11	1924155	487321	79.79	2411476
12	1978592	493883	80.02	2472475
13	1961665	492494	79.93	2454159
14	1987100	495857	80.03	2482957
15	1951962	495705	79.75	2447667
16	2035157	502381	80.20	2537538
17	1972572	499841	79.78	2472413
18	1967434	500085	79.73	2467519
19	1962643	499949	79.70	2462592
20	2001014	502838	79.92	2503852
21	1991306	503734	79.81	2495040
22	2003721	505502	79.85	2509223
23	1998797	506020	79.80	2504817
24	1996525	505983	79.78	2502508
25	1974468	505219	79.63	2479687
26	1960335	506484	79.47	2466819
27	1957516	506626	79.44	2464142
28	1958894	504674	79.51	2463568
29	1964184	506274	79.51	2470458
30	2007773	509397	79.76	2517170
31	1996220	509387	79.67	2505607
32	2017622	509659	79.83	2527281
33	1968242	508300	79.48	2476542
34	1951367	505577	79.42	2456944
35	1953345	506486	79.41	2459831
36	1986419	509968	79.57	2496387
37	1982270	510601	79.52	2492871
38	2014204	512477	79.72	2526681
39	1994141	510655	79.61	2504796
40	2022459	513709	79.74	2536168
41	1974871	508469	79.52	2483340
42	1969288	508535	79.48	2477823
43	2002088	511714	79.64	2513802
44	2003261	511514	79.66	2514775
45	2011502	512839	79.68	2524341
46	2001430	511465	79.65	2512895
47	1995473	510070	79.64	2505543
48	1994482	511804	79.58	2506286
49	1998351	511429	79.62	2509780
50	1988536	509332	79.61	2497868
51	1975892	508940	79.52	2484832
52	1984403	510674	79.53	2495077
53	1996011	509457	79.67	2505468
54	2023734	513645	79.76	2537379
55	1992596	511698	79.57	2504294
56	2012967	512511	79.71	2525478
57	1975954	508679	79.53	2484633
58	2005844	512717	79.64	2518561
59	1982023	511513	79.49	2493536
60	1996254	512186	79.58	2508440
61	1986070	512858	79.48	2498928
62	2012595	515953	79.59	2528548
63	2001586	513399	79.59	2514985
64	1995477	512845	79.55	2508322
65	1964013	511304	79.34	2475317
66	1967203	512478	79.33	2479681
67	1966713	512035	79.34	2478748
68	1984577	513276	79.45	2497853
69	1977050	514680	79.34	2491730
70	1991400	515357	79.44	2506757
71	1978063	513939	79.38	2492002
72	1978002	514529	79.36	2492531
73	1946014	508137	79.29	2454151
74	1951022	512333	79.20	2463355
75	1957515	511699	79.28	2469214
76	1961689	513637	79.25	2475326
77	1939267	512406	79.10	2451673
78	1956881	514497	79.18	2471378
79	1936529	510978	79.12	2447507
80	1953789	513715	79.18	2467504
81	1936156	510915	79.12	2447071
82	1935070	511178	79.10	2446248
83	1922044	511297	78.99	2433341
84	1923628	511056	79.01	2434684
85	1914129	509702	78.97	2423831
86	1928352	510185	79.08	2438537
87	1902959	511651	78.81	2414610
88	1913355	510729	78.93	2424084
89	1891723	509227	78.79	2400950
90	1889660	507965	78.81	2397625
91	1882910	507472	78.77	2390382
92	1873650	505410	78.76	2379060
93	1866500	504460	78.72	2370960
94	1877229	505289	78.79	2382518
95	1840634	501301	78.59	2341935
96	1824600	500049	78.49	2324649
97	1796924	495431	78.39	2292355
98	1785873	490400	78.46	2276273
99	1753449	485624	78.31	2239073
100	1711051	473841	78.31	2184892
101	1409518	371441	79.14	1780959

CHG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
