CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	3514397	680804	83.77	4195201
2	2907051	547469	84.15	3454520
3	2904218	646276	81.80	3550494
4	2840704	567205	83.36	3407909
5	2757598	580814	82.60	3338412
6	2908519	641939	81.92	3550458
7	2733743	589336	82.27	3323079
8	2839530	616173	82.17	3455703
9	2982821	634676	82.46	3617497
10	2934555	621999	82.51	3556554
11	2875309	615831	82.36	3491140
12	2924716	619826	82.51	3544542
13	2932417	616611	82.63	3549028
14	2996523	623244	82.78	3619767
15	2984478	624680	82.69	3609158
16	3085527	635189	82.93	3720716
17	3075845	635094	82.89	3710939
18	3067630	635734	82.83	3703364
19	3057965	633064	82.85	3691029
20	3111790	658427	82.54	3770217
21	3095361	655803	82.52	3751164
22	3118804	658846	82.56	3777650
23	3126837	657887	82.62	3784724
24	3143890	661281	82.62	3805171
25	3166265	663275	82.68	3829540
26	3134049	660679	82.59	3794728
27	3138147	660871	82.60	3799018
28	3140260	660976	82.61	3801236
29	3146751	661184	82.64	3807935
30	3208137	668076	82.76	3876213
31	3206901	666510	82.79	3873411
32	3249449	670593	82.89	3920042
33	3213464	668648	82.78	3882112
34	3168109	662537	82.70	3830646
35	3161086	661860	82.69	3822946
36	3169183	662162	82.72	3831345
37	3191112	663802	82.78	3854914
38	3221796	666887	82.85	3888683
39	3214052	663356	82.89	3877408
40	3255920	669556	82.94	3925476
41	3206304	663755	82.85	3870059
42	3194496	660219	82.87	3854715
43	3203175	662092	82.87	3865267
44	3203383	660814	82.90	3864197
45	3210596	662814	82.89	3873410
46	3228107	663830	82.94	3891937
47	3211664	660605	82.94	3872269
48	3188614	660438	82.84	3849052
49	3209284	662515	82.89	3871799
50	3188034	658324	82.88	3846358
51	3165693	655375	82.85	3821068
52	3168145	655041	82.87	3823186
53	3177582	655418	82.90	3833000
54	3200972	659264	82.92	3860236
55	3146364	653437	82.80	3799801
56	3144498	648576	82.90	3793074
57	3116922	646334	82.83	3763256
58	3123817	645819	82.87	3769636
59	3076819	642026	82.74	3718845
60	3066258	639211	82.75	3705469
61	3037359	631182	82.79	3668541
62	3063577	633611	82.86	3697188
63	3066852	632011	82.91	3698863
64	3047091	627608	82.92	3674699
65	2980441	617955	82.83	3598396
66	2946253	614276	82.75	3560529
67	2941624	612790	82.76	3554414
68	2941298	611667	82.78	3552965
69	2930244	609918	82.77	3540162
70	2931286	606282	82.86	3537568
71	2885136	598363	82.82	3483499
72	2892666	600039	82.82	3492705
73	2853465	595452	82.74	3448917
74	2818269	589657	82.70	3407926
75	2784205	584521	82.65	3368726
76	2758964	578110	82.68	3337074
77	2751773	574452	82.73	3326225
78	2760465	575808	82.74	3336273
79	2714629	565749	82.75	3280378
80	2650830	556652	82.65	3207482
81	2606548	543317	82.75	3149865
82	2601245	541464	82.77	3142709
83	2572436	536401	82.75	3108837
84	2521874	535490	82.49	3057364
85	2304510	491773	82.41	2796283

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	855563	17527442	4.65	18383005
2	586108	15922461	3.55	16508569
3	426707	12929580	3.19	13356287
4	421602	14072915	2.91	14494517
5	417678	15181467	2.68	15599145
6	408654	15489326	2.57	15897980
7	415870	15371072	2.63	15786942
8	418177	15814051	2.58	16232228
9	448797	15896898	2.75	16345695
10	428466	15624868	2.67	16053334
11	421072	15392543	2.66	15813615
12	430901	15650124	2.68	16081025
13	430751	15761009	2.66	16191760
14	434519	15922151	2.66	16356670
15	436852	16022933	2.65	16459785
16	451070	16021289	2.74	16472359
17	447231	15992798	2.72	16440029
18	442849	16095517	2.68	16538366
19	440467	16207247	2.65	16647714
20	448383	16355966	2.67	16804349
21	448786	16243253	2.69	16692039
22	450669	16295912	2.69	16746581
23	458591	16318590	2.73	16777181
24	485333	16670419	2.83	17155752
25	470250	16454518	2.78	16924768
26	469677	16372361	2.79	16842038
27	463115	16347183	2.75	16810298
28	453042	16435223	2.68	16888265
29	470082	16610077	2.75	17080159
30	471424	16526818	2.77	16998242
31	473376	16492425	2.79	16965801
32	467422	16538066	2.75	17005488
33	469080	16532463	2.76	17001543
34	464332	16424387	2.75	16888719
35	462296	16412471	2.74	16874767
36	459912	16363258	2.73	16823170
37	463358	16509569	2.73	16972927
38	478985	16592962	2.81	17071947
39	472085	16597364	2.77	17069449
40	469973	16517164	2.77	16987137
41	468592	16404674	2.78	16873266
42	474792	16464765	2.80	16939557
43	474147	16536182	2.79	17010329
44	464984	16492248	2.74	16957232
45	465572	16583908	2.73	17049480
46	464601	16508335	2.74	16972936
47	463490	16538246	2.73	17001736
48	473989	16585371	2.78	17059360
49	473403	16588184	2.77	17061587
50	472426	16494133	2.78	16966559
51	461083	16357305	2.74	16818388
52	454812	16271344	2.72	16726156
53	459326	16373525	2.73	16832851
54	456873	16332720	2.72	16789593
55	458320	16337754	2.73	16796074
56	465140	16274415	2.78	16739555
57	454906	16246870	2.72	16701776
58	452171	16118738	2.73	16570909
59	443825	16011444	2.70	16455269
60	439338	15917856	2.69	16357194
61	441524	15902759	2.70	16344283
62	453966	15990427	2.76	16444393
63	445257	15917761	2.72	16363018
64	443367	15863900	2.72	16307267
65	440486	15705287	2.73	16145773
66	436545	15566161	2.73	16002706
67	437271	15560778	2.73	15998049
68	431514	15595082	2.69	16026596
69	431138	15520762	2.70	15951900
70	428016	15359742	2.71	15787758
71	421952	15151473	2.71	15573425
72	421049	15117522	2.71	15538571
73	416068	15006846	2.70	15422914
74	415513	14928223	2.71	15343736
75	410527	14837805	2.69	15248332
76	409140	14698696	2.71	15107836
77	405125	14640381	2.69	15045506
78	403301	14525094	2.70	14928395
79	396065	14271705	2.70	14667770
80	392216	14182337	2.69	14574553
81	381060	14004452	2.65	14385512
82	383332	13981082	2.67	14364414
83	378654	13857069	2.66	14235723
84	368150	13457316	2.66	13825466
85	364875	13337194	2.66	13702069

CHH context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	1306352	38154001	3.31	39460353
2	744563	35078306	2.08	35822869
3	606860	38656257	1.55	39263117
4	586932	43023178	1.35	43610110
5	542682	45795439	1.17	46338121
6	529351	47596667	1.10	48126018
7	517252	45666678	1.12	46183930
8	512425	46201532	1.10	46713957
9	528323	46162772	1.13	46691095
10	517231	45745695	1.12	46262926
11	513940	45699330	1.11	46213270
12	530021	45745517	1.15	46275538
13	512197	45363941	1.12	45876138
14	513519	45294816	1.12	45808335
15	512737	45015684	1.13	45528421
16	525898	44949133	1.16	45475031
17	526856	45107122	1.15	45633978
18	515704	45225748	1.13	45741452
19	510878	45232003	1.12	45742881
20	536445	44990190	1.18	45526635
21	528620	44786568	1.17	45315188
22	529344	44977603	1.16	45506947
23	528343	44954378	1.16	45482721
24	544153	44611398	1.21	45155551
25	535346	44363301	1.19	44898647
26	527712	44188647	1.18	44716359
27	524412	44564553	1.16	45088965
28	523577	44349395	1.17	44872972
29	522779	44221612	1.17	44744391
30	527763	44193409	1.18	44721172
31	548187	44068937	1.23	44617124
32	528567	44080800	1.18	44609367
33	539715	43951193	1.21	44490908
34	531270	43933520	1.19	44464790
35	531193	44083631	1.19	44614824
36	533545	44108455	1.20	44642000
37	526403	44110460	1.18	44636863
38	529585	44148490	1.19	44678075
39	526771	43991518	1.18	44518289
40	528469	44118848	1.18	44647317
41	527490	44089857	1.18	44617347
42	526760	44103291	1.18	44630051
43	528979	44031546	1.19	44560525
44	517400	44145211	1.16	44662611
45	514481	44078759	1.15	44593240
46	517378	44114403	1.16	44631781
47	514561	44135353	1.15	44649914
48	524660	44256648	1.17	44781308
49	523172	44218948	1.17	44742120
50	529523	44120061	1.19	44649584
51	516558	44097197	1.16	44613755
52	514574	44115224	1.15	44629798
53	518570	44082242	1.16	44600812
54	512828	44196174	1.15	44709002
55	514675	44071650	1.15	44586325
56	521819	43943019	1.17	44464838
57	513504	43741937	1.16	44255441
58	510662	43695600	1.16	44206262
59	506651	43696619	1.15	44203270
60	510386	43821951	1.15	44332337
61	503028	43619274	1.14	44122302
62	509580	43459054	1.16	43968634
63	501994	43343331	1.14	43845325
64	502174	43186742	1.15	43688916
65	501571	43109313	1.15	43610884
66	505320	43051140	1.16	43556460
67	504915	43011356	1.16	43516271
68	492471	42798989	1.14	43291460
69	487409	42645340	1.13	43132749
70	485778	42361887	1.13	42847665
71	482176	42201838	1.13	42684014
72	484196	42092534	1.14	42576730
