CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	4168730	835149	83.31	5003879
2	3355220	603101	84.76	3958321
3	3364210	684067	83.10	4048277
4	3948518	754347	83.96	4702865
5	3711189	726245	83.63	4437434
6	4005052	782470	83.66	4787522
7	3677433	719424	83.64	4396857
8	3944407	770183	83.66	4714590
9	3979370	766587	83.85	4745957
10	3835456	747217	83.69	4582673
11	3792022	741266	83.65	4533288
12	3870064	733934	84.06	4603998
13	3922462	764185	83.69	4686647
14	3971486	763334	83.88	4734820
15	3938131	758974	83.84	4697105
16	4066818	775053	83.99	4841871
17	4024886	771698	83.91	4796584
18	3994874	756139	84.08	4751013
19	3992210	782879	83.60	4775089
20	4070276	794390	83.67	4864666
21	4071354	796672	83.63	4868026
22	4110962	801284	83.69	4912246
23	4133680	808384	83.64	4942064
24	4163546	802325	83.84	4965871
25	4177879	805865	83.83	4983744
26	4091983	793918	83.75	4885901
27	4104916	799542	83.70	4904458
28	4117986	792862	83.85	4910848
29	4117587	790096	83.90	4907683
30	4199330	807235	83.88	5006565
31	4172034	799275	83.92	4971309
32	4209002	803825	83.96	5012827
33	4131581	790732	83.94	4922313
34	4086659	783256	83.92	4869915
35	4075278	781155	83.92	4856433
36	4117866	781850	84.04	4899716
37	4097813	783513	83.95	4881326
38	4076535	785206	83.85	4861741
39	4044492	781608	83.80	4826100
40	4069796	784720	83.84	4854516
41	3980705	764384	83.89	4745089
42	3956584	758623	83.91	4715207
43	3992857	765128	83.92	4757985
44	3979365	765219	83.87	4744584
45	3970855	760707	83.92	4731562
46	3952662	759807	83.88	4712469
47	3924260	753618	83.89	4677878
48	3878301	747881	83.83	4626182
49	3875499	749836	83.79	4625335
50	3802299	738352	83.74	4540651
51	3785485	734602	83.75	4520087
52	3786467	735394	83.74	4521861
53	3777654	734486	83.72	4512140
54	3798375	738316	83.73	4536691
55	3743077	730602	83.67	4473679
56	3734660	726234	83.72	4460894
57	3646367	712888	83.65	4359255
58	3613557	706607	83.64	4320164
59	3569087	700484	83.59	4269571
60	3548496	697106	83.58	4245602
61	3487450	695164	83.38	4182614
62	3451464	702372	83.09	4153836
63	3404700	719146	82.56	4123846
64	3352337	699314	82.74	4051651
65	3239964	693890	82.36	3933854
66	3176343	726534	81.38	3902877
67	3111555	712922	81.36	3824477
68	3052989	710373	81.12	3763362
69	2973931	701059	80.92	3674990
70	2897734	691399	80.74	3589133
71	2808989	677615	80.57	3486604
72	2736765	668649	80.37	3405414
73	2632710	654127	80.10	3286837
74	2549422	642729	79.87	3192151
75	2488219	634673	79.68	3122892
76	2422558	626041	79.46	3048599
77	2328704	613839	79.14	2942543
78	2247325	600506	78.91	2847831
79	2148017	588997	78.48	2737014
80	2054576	572654	78.20	2627230
81	1956899	558258	77.80	2515157
82	1851118	528026	77.81	2379144
83	1743299	514735	77.20	2258034
84	1631855	482552	77.18	2114407
85	1480497	453045	76.57	1933542
86	1356177	419981	76.35	1776158
87	804858	388882	67.42	1193740

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	593846	19369912	2.97	19963758
2	699124	18877671	3.57	19576795
3	582518	19650379	2.88	20232897
4	610501	20499032	2.89	21109533
5	623674	19879836	3.04	20503510
6	671117	20538867	3.16	21209984
7	658393	20369327	3.13	21027720
8	661657	20826744	3.08	21488401
9	688183	20765362	3.21	21453545
10	642722	20274229	3.07	20916951
11	654559	20231504	3.13	20886063
12	661866	20559457	3.12	21221323
13	672346	20783331	3.13	21455677
14	678105	20839551	3.15	21517656
15	680182	21009759	3.14	21689941
16	700902	20875811	3.25	21576713
17	684456	20917774	3.17	21602230
18	677152	21172648	3.10	21849800
19	672078	21176857	3.08	21848935
20	707200	21220083	3.23	21927283
21	698816	21160292	3.20	21859108
22	701068	21246320	3.19	21947388
23	705393	21303880	3.20	22009273
24	729787	21631934	3.26	22361721
25	698870	21216205	3.19	21915075
26	700559	21177393	3.20	21877952
27	698112	21209646	3.19	21907758
28	694513	21243314	3.17	21937827
29	717547	21401845	3.24	22119392
30	708737	21292132	3.22	22000869
31	695371	21238835	3.17	21934206
32	700090	21235660	3.19	21935750
33	704623	21347407	3.20	22052030
34	693309	21122841	3.18	21816150
35	692397	21189840	3.16	21882237
36	693375	21044373	3.19	21737748
37	695301	21272161	3.17	21967462
38	700797	21140775	3.21	21841572
39	682924	21069726	3.14	21752650
40	683202	20907380	3.16	21590582
41	687249	20880589	3.19	21567838
42	688420	20909675	3.19	21598095
43	684078	20907472	3.17	21591550
44	678972	20710492	3.17	21389464
45	679220	20727305	3.17	21406525
46	672305	20616807	3.16	21289112
47	667394	20621033	3.14	21288427
48	667602	20505488	3.15	21173090
49	659709	20360653	3.14	21020362
50	651001	20261419	3.11	20912420
51	646283	20085944	3.12	20732227
52	646570	20004948	3.13	20651518
53	640194	19931759	3.11	20571953
54	635918	19812678	3.11	20448596
55	636867	19674332	3.14	20311199
56	638645	19596499	3.16	20235144
57	621688	19341111	3.11	19962799
58	609754	19125263	3.09	19735017
59	606847	19058753	3.09	19665600
60	597862	18808328	3.08	19406190
61	599925	18793625	3.09	19393550
62	595572	18603627	3.10	19199199
63	583502	18447955	3.07	19031457
64	576806	18214974	3.07	18791780
