CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	3152041	510648	86.06	3662689
2	2619061	426679	85.99	3045740
3	2679501	499831	84.28	3179332
4	2698540	456305	85.54	3154845
5	2618224	460176	85.05	3078400
6	2729775	507413	84.33	3237188
7	2593094	466809	84.74	3059903
8	2714049	490200	84.70	3204249
9	2831316	500321	84.98	3331637
10	2763882	491048	84.91	3254930
11	2713456	484643	84.85	3198099
12	2759087	488342	84.96	3247429
13	2761497	487091	85.01	3248588
14	2824036	491591	85.17	3315627
15	2807914	493680	85.05	3301594
16	2907178	500799	85.31	3407977
17	2891396	500921	85.23	3392317
18	2878352	501479	85.16	3379831
19	2877264	500257	85.19	3377521
20	2927118	524338	84.81	3451456
21	2906667	521967	84.78	3428634
22	2935675	525065	84.83	3460740
23	2936720	523994	84.86	3460714
24	2959348	526931	84.89	3486279
25	2972715	526483	84.95	3499198
26	2944316	525852	84.85	3470168
27	2945145	526016	84.85	3471161
28	2952712	526172	84.88	3478884
29	2959203	526242	84.90	3485445
30	3011944	531794	84.99	3543738
31	3008789	530257	85.02	3539046
32	3040752	531853	85.11	3572605
33	3012090	531286	85.01	3543376
34	2969884	526395	84.94	3496279
35	2965536	526643	84.92	3492179
36	2974715	526237	84.97	3500952
37	2988670	528055	84.98	3516725
38	3015075	530878	85.03	3545953
39	3016900	529876	85.06	3546776
40	3056050	531338	85.19	3587388
41	3005776	527055	85.08	3532831
42	2994653	526279	85.05	3520932
43	3005517	527413	85.07	3532930
44	3003839	526692	85.08	3530531
45	3010161	526451	85.11	3536612
46	3025846	528204	85.14	3554050
47	3014165	526383	85.13	3540548
48	2991568	524843	85.07	3516411
49	3009833	524461	85.16	3534294
50	2988359	522565	85.12	3510924
51	2967053	520542	85.07	3487595
52	2977152	520099	85.13	3497251
53	2980708	519973	85.15	3500681
54	3004180	523182	85.17	3527362
55	2967781	519093	85.11	3486874
56	2973991	517622	85.18	3491613
57	2944416	517383	85.05	3461799
58	2956153	515185	85.16	3471338
59	2916760	513367	85.03	3430127
60	2915591	512765	85.04	3428356
61	2895451	508702	85.06	3404153
62	2921410	508284	85.18	3429694
63	2920780	508582	85.17	3429362
64	2913064	505313	85.22	3418377
65	2856691	500041	85.10	3356732
66	2825921	494891	85.10	3320812
67	2825385	496865	85.04	3322250
68	2827449	495662	85.08	3323111
69	2825201	494346	85.11	3319547
70	2819595	493967	85.09	3313562
71	2787892	485405	85.17	3273297
72	2789802	484093	85.21	3273895
73	2751507	482308	85.09	3233815
74	2724503	478754	85.05	3203257
75	2691612	473493	85.04	3165105
76	2664088	465889	85.12	3129977
77	2655426	464636	85.11	3120062
78	2658707	464477	85.13	3123184
79	2618770	458783	85.09	3077553
80	2553634	448638	85.06	3002272
81	2509937	438468	85.13	2948405
82	2507721	437579	85.14	2945300
83	2482948	436488	85.05	2919436
84	2431613	437144	84.76	2868757
85	2180751	400554	84.48	2581305

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	822904	15636559	5.00	16459463
2	608035	14499700	4.02	15107735
3	456775	12354627	3.57	12811402
4	463411	13207583	3.39	13670994
5	456575	13890585	3.18	14347160
6	449167	14233884	3.06	14683051
7	464006	14242463	3.16	14706469
8	464323	14607311	3.08	15071634
9	500617	14674736	3.30	15175353
10	476945	14402082	3.21	14879027
11	468428	14206000	3.19	14674428
12	477127	14442951	3.20	14920078
13	480679	14553651	3.20	15034330
14	484270	14690261	3.19	15174531
15	485162	14819355	3.17	15304517
16	496921	14783705	3.25	15280626
17	491753	14755840	3.23	15247593
18	490461	14860194	3.20	15350655
19	489902	14961659	3.17	15451561
20	498985	15092966	3.20	15591951
21	500441	14998895	3.23	15499336
22	505520	15049350	3.25	15554870
23	508793	15058434	3.27	15567227
24	531050	15386960	3.34	15918010
