CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	11587784	3691054	75.84	15278838
2	5934148	2752662	68.31	8686810
3	6184505	3116024	66.50	9300529
4	7520084	3318578	69.38	10838662
5	6763837	3129801	68.37	9893638
6	6406486	3395613	65.36	9802099
7	5963747	3066824	66.04	9030571
8	6559947	3328787	66.34	9888734
9	6905390	3349592	67.34	10254982
10	6456235	3222633	66.70	9678868
11	6407191	3184084	66.80	9591275
12	6411726	3177117	66.87	9588843
13	6722155	3277402	67.22	9999557
14	6689745	3270009	67.17	9959754
15	6619273	3254011	67.04	9873284
16	6858282	3318812	67.39	10177094
17	6863201	3341252	67.26	10204453
18	6870361	3353666	67.20	10224027
19	6915913	3360820	67.30	10276733
20	7009793	3450667	67.01	10460460
21	7202161	3468888	67.49	10671049
22	6948384	3396384	67.17	10344768
23	7175233	3450988	67.52	10626221
24	7076886	3432677	67.34	10509563
25	7216706	3486584	67.43	10703290
26	7153821	3462793	67.38	10616614
27	6946428	3419683	67.01	10366111
28	6946194	3414105	67.05	10360299
29	7084629	3451718	67.24	10536347
30	7142669	3431904	67.55	10574573
31	7153370	3439782	67.53	10593152
32	7219984	3455746	67.63	10675730
33	7228445	3461685	67.62	10690130
34	7126434	3417434	67.59	10543868
35	7022727	3384566	67.48	10407293
36	7124886	3411346	67.62	10536232
37	7011316	3406502	67.30	10417818
38	6956503	3380301	67.30	10336804
39	6922846	3361615	67.31	10284461
40	7005876	3379674	67.46	10385550
41	6945132	3347944	67.47	10293076
42	6784352	3285106	67.38	10069458
43	6855756	3303747	67.48	10159503
44	6831991	3298814	67.44	10130805
45	6741125	3272130	67.32	10013255
46	6770789	3275692	67.39	10046481
47	6694079	3248574	67.33	9942653
48	6581382	3221782	67.14	9803164
49	6568955	3213126	67.15	9782081
50	6563478	3200828	67.22	9764306
51	6450204	3167181	67.07	9617385
52	6340297	3134917	66.91	9475214
53	6519522	3172318	67.27	9691840
54	6379554	3131509	67.08	9511063
55	6395860	3124759	67.18	9520619
56	6298587	3093284	67.06	9391871
57	6225274	3059564	67.05	9284838
58	6172178	3042791	66.98	9214969
59	6183770	3041499	67.03	9225269
60	6059096	3003574	66.86	9062670
61	6053980	2989441	66.94	9043421
62	6001611	2957340	66.99	8958951
63	5926071	2906853	67.09	8832924
64	5852741	2867826	67.11	8720567
65	5722298	2811885	67.05	8534183
66	5537507	2738184	66.91	8275691
67	5442432	2684531	66.97	8126963
68	5290736	2632953	66.77	7923689
69	5146149	2559420	66.78	7705569
70	5003337	2485711	66.81	7489048
71	4858822	2407516	66.87	7266338
72	4718526	2327553	66.97	7046079
73	4544600	2242493	66.96	6787093
74	4379483	2165970	66.91	6545453
75	4197712	2079222	66.88	6276934
76	4083029	2032494	66.77	6115523
77	3907712	1967436	66.51	5875148
78	3725059	1886818	66.38	5611877
79	3575680	1804734	66.46	5380414
80	3415878	1723039	66.47	5138917
81	3270145	1641597	66.58	4911742
82	3076195	1544045	66.58	4620240
83	2876189	1443104	66.59	4319293
84	2611297	1323646	66.36	3934943
85	2311160	1183895	66.13	3495055
86	1963416	1011041	66.01	2974457
87	1202557	775833	60.78	1978390

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	224671	56947086	0.39	57171757
2	172727	41998519	0.41	42171246
3	143604	46105451	0.31	46249055
4	162639	51391292	0.32	51553931
5	140372	46777835	0.30	46918207
6	138177	46851663	0.29	46989840
7	134310	46331024	0.29	46465334
8	143511	48695298	0.29	48838809
9	139422	48008290	0.29	48147712
10	137647	47392472	0.29	47530119
11	133665	46207889	0.29	46341554
12	137194	47298428	0.29	47435622
13	139196	47649558	0.29	47788754
14	140519	47748393	0.29	47888912
15	143402	48236370	0.30	48379772
16	139820	48029281	0.29	48169101
17	139947	47799363	0.29	47939310
18	148566	48525973	0.31	48674539
19	147612	48751291	0.30	48898903
20	168855	49416744	0.34	49585599
21	162454	48804083	0.33	48966537
22	163195	48645872	0.33	48809067
23	167997	48593125	0.34	48761122
24	166978	49464462	0.34	49631440
25	169710	49143365	0.34	49313075
26	167681	48286979	0.35	48454660
27	166588	48200162	0.34	48366750
28	167783	48816269	0.34	48984052
29	173422	49156043	0.35	49329465
30	170341	48786836	0.35	48957177
31	163186	48002403	0.34	48165589
32	172230	48584912	0.35	48757142
33	172035	48728603	0.35	48900638
34	170794	48647966	0.35	48818760
35	168238	48407964	0.35	48576202
36	172698	48446452	0.36	48619150
37	169744	48352325	0.35	48522069
38	172929	48197884	0.36	48370813
39	170332	48543781	0.35	48714113
40	168602	48170237	0.35	48338839
41	164427	47784341	0.34	47948768
42	171434	48037901	0.36	48209335
43	170883	47758732	0.36	47929615
44	167069	47568625	0.35	47735694
45	166724	47673598	0.35	47840322
46	164851	47526697	0.35	47691548
47	164942	46997008	0.35	47161950
48	165694	46978768	0.35	47144462
49	164856	47005889	0.35	47170745
50	163072	46826599	0.35	46989671
51	159519	46283322	0.34	46442841
52	160076	46035173	0.35	46195249
53	163474	46191863	0.35	46355337
54	165403	45912510	0.36	46077913
55	160439	44967093	0.36	45127532
56	161857	45206984	0.36	45368841
57	160096	44729403	0.36	44889499
58	160281	44475608	0.36	44635889
59	154876	44104563	0.35	44259439
60	153220	44045954	0.35	44199174
61	150700	43681474	0.34	43832174
62	152448	43397382	0.35	43549830
63	153065	43049948	0.35	43203013
64	151493	42401756	0.36	42553249
65	143593	41346706	0.35	41490299
66	137621	40310739	0.34	40448360
67	140518	39332921	0.36	39473439
68	137566	38918503	0.35	39056069
69	135934	37690525	0.36	37826459
70	127039	36393518	0.35	36520557
71	121643	35292446	0.34	35414089
72	119841	34214044	0.35	34333885
73	116252	32952712	0.35	33068964
74	112677	31784508	0.35	31897185
75	108885	30470151	0.36	30579036
76	107157	29556175	0.36	29663332
77	106158	28540531	0.37	28646689
78	102155	27517369	0.37	27619524
79	99862	26127431	0.38	26227293
80	97841	25024759	0.39	25122600
81	97152	23811145	0.41	23908297
82	92024	22609881	0.41	22701905
83	86882	21142870	0.41	21229752
84	79695	19496462	0.41	19576157
85	79725	17857185	0.44	17936910
86	65392	15120637	0.43	15186029
87	40200	12116900	0.33	12157100

CHH context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	673979	177494365	0.38	178168344
2	504652	132754236	0.38	133258888
3	435419	148676725	0.29	149112144
4	473990	154354433	0.31	154828423
5	414706	147105758	0.28	147520464
6	436520	151462175	0.29	151898695
7	399479	144493970	0.28	144893449
8	423078	148058095	0.28	148481173
9	406421	144645263	0.28	145051684
10	396382	142279908	0.28	142676290
11	395638	141038493	0.28	141434131
12	397228	140665637	0.28	141062865
13	399460	140052055	0.28	140451515
14	397152	139552699	0.28	139949851
15	406568	139175800	0.29	139582368
16	390617	138281283	0.28	138671900
17	395065	138828660	0.28	139223725
18	410536	140537907	0.29	140948443
19	410883	140319818	0.29	140730701
20	456430	139072077	0.33	139528507
21	441856	138032674	0.32	138474530
22	443981	138235042	0.32	138679023
23	459023	139060032	0.33	139519055
24	449993	138283160	0.32	138733153
25	461303	137949812	0.33	138411115
26	462656	137702356	0.33	138165012
27	459947	138296481	0.33	138756428
28	459564	138351818	0.33	138811382
29	459923	136466880	0.34	136926803
30	453415	136365593	0.33	136819008
31	452654	137220679	0.33	137673333
32	463379	137066147	0.34	137529526
33	461746	136906313	0.34	137368059
34	461275	136319006	0.34	136780281
35	455475	137497906	0.33	137953381
36	461898	137013945	0.34	137475843
37	453001	136208210	0.33	136661211
38	466595	136416413	0.34	136883008
39	456821	136396430	0.33	136853251
40	448600	134892862	0.33	135341462
41	440301	134696698	0.33	135136999
42	456035	134834455	0.34	135290490
43	460150	134284793	0.34	134744943
44	446231	134419336	0.33	134865567
45	442366	134438878	0.33	134881244
46	437918	133708341	0.33	134146259
47	439604	133491717	0.33	133931321
48	441348	132996403	0.33	133437751
49	436592	132804362	0.33	133240954
50	426413	131684964	0.32	132111377
51	428790	131370429	0.33	131799219
52	425679	130753223	0.32	131178902
53	432230	130656627	0.33	131088857
54	436516	129095360	0.34	129531876
55	432766	128946785	0.33	129379551
56	429970	128008288	0.33	128438258
57	425766	127010814	0.33	127436580
58	425875	126441044	0.34	126866919
59	417314	125753631	0.33	126170945
60	409714	125547538	0.33	125957252
61	402511	124388752	0.32	124791263
62	403232	122706187	0.33	123109419
63	407057	121585695	0.33	121992752
64	401857	119877444	0.33	120279301
65	384316	117653678	0.33	118037994
66	372586	115466180	0.32	115838766
67	383621	113664381	0.34	114048002
68	366877	110583860	0.33	110950737
69	362853	107097358	0.34	107460211
70	342345	104244685	0.33	104587030
71	329229	101505177	0.32	101834406
72	323004	97800224	0.33	98123228
73	315145	94537925	0.33	94853070
74	305057	91455329	0.33	91760386
75	294880	88394138	0.33	88689018
76	287186	85884210	0.33	86171396
77	286612	82815462	0.34	83102074
78	271526	79260117	0.34	79531643
79	267991	75862794	0.35	76130785
80	261618	72868988	0.36	73130606
81	264686	69299466	0.38	69564152
82	247864	65741442	0.38	65989306
83	238203	61863018	0.38	62101221
84	223478	57558750	0.39	57782228
85	224370	52197439	0.43	52421809
86	192039	43950175	0.44	44142214
87	107113	33995544	0.31	34102657

