CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	1357909	412947	76.68	1770856
2	1135661	357600	76.05	1493261
3	1338639	428744	75.74	1767383
4	1473110	426414	77.55	1899524
5	1424946	404868	77.87	1829814
6	1561724	458450	77.31	2020174
7	1437753	410471	77.79	1848224
8	1524997	432945	77.89	1957942
9	1554481	445440	77.73	1999921
10	1526199	421458	78.36	1947657
11	1416832	424126	76.96	1840958
12	1455162	428352	77.26	1883514
13	1426890	421850	77.18	1848740
14	1456368	428305	77.27	1884673
15	1420200	428398	76.83	1848598
16	1497383	434081	77.53	1931464
17	1460966	433802	77.11	1894768
18	1454968	437936	76.86	1892904
19	1446107	435865	76.84	1881972
20	1480829	439121	77.13	1919950
21	1468789	441316	76.90	1910105
22	1490162	439061	77.24	1929223
23	1467565	440060	76.93	1907625
24	1467495	441370	76.88	1908865
25	1458451	437195	76.94	1895646
26	1451649	439925	76.74	1891574
27	1442962	441847	76.56	1884809
28	1451027	438433	76.80	1889460
29	1441240	438345	76.68	1879585
30	1485420	444710	76.96	1930130
31	1461571	439309	76.89	1900880
32	1485813	443428	77.02	1929241
33	1452725	442232	76.66	1894957
34	1432867	437633	76.60	1870500
35	1437042	437999	76.64	1875041
36	1458775	441358	76.77	1900133
37	1464386	439454	76.92	1903840
38	1475444	441907	76.95	1917351
39	1448896	439305	76.73	1888201
40	1474532	440719	76.99	1915251
41	1439935	438455	76.66	1878390
42	1433651	440329	76.50	1873980
43	1457456	439450	76.83	1896906
44	1459732	439355	76.86	1899087
45	1464577	440469	76.88	1905046
46	1453992	437961	76.85	1891953
47	1447712	439187	76.72	1886899
48	1445855	439419	76.69	1885274
49	1452175	438935	76.79	1891110
50	1442251	439056	76.66	1881307
51	1431373	438875	76.53	1870248
52	1441998	437675	76.72	1879673
53	1444242	437695	76.74	1881937
54	1471703	440859	76.95	1912562
55	1443309	436034	76.80	1879343
56	1454613	436854	76.90	1891467
57	1427159	437489	76.54	1864648
58	1440071	435202	76.79	1875273
59	1419380	434369	76.57	1853749
60	1428832	436131	76.61	1864963
61	1417845	432159	76.64	1850004
62	1434891	433636	76.79	1868527
63	1424109	432685	76.70	1856794
64	1421942	431327	76.73	1853269
65	1389377	429484	76.39	1818861
66	1389955	428082	76.45	1818037
67	1390498	425966	76.55	1816464
68	1396833	426995	76.59	1823828
69	1391652	427541	76.50	1819193
70	1392260	424474	76.64	1816734
71	1385201	423831	76.57	1809032
72	1380679	424487	76.48	1805166
73	1353526	418968	76.36	1772494
74	1348154	419466	76.27	1767620
75	1358054	418426	76.45	1776480
76	1351469	416532	76.44	1768001
77	1330735	415113	76.22	1745848
78	1339580	416704	76.27	1756284
79	1321884	412327	76.22	1734211
