min_cov_1	min_cov_2	min_cov_3	min_cov_4	min_cov_5	min_cov_6	min_cov_7	min_cov_8	min_cov_9	min_cov_10
E13BUF	0.689997831717465	0.750105686292648	0.786548124160205	0.811912165220813	0.830916615330133	0.845195800854541	0.856286122345798	0.864481014593861	0.871131385974489	0.875115059115204
E18BUF	0.80782444491977	0.820957222401795	0.824775688476054	0.824031178617629	0.820798239618363	0.816831622667719	0.813544637233272	0.811872951049259	0.812248818474867	0.815696569709546
E23BUF	0.802402997133496	0.851859790125373	0.871255492978963	0.881774163713565	0.887902706974283	0.891558921022606	0.893921838854482	0.896128114588385	0.898322874223912	0.901334274928335
E13SA	0.869862495749047	0.87826790127451	0.882649117473903	0.885755340384551	0.888071365563339	0.889826412952045	0.891141162569406	0.892262423803086	0.893495659491432	0.895130137112531
E18SA	0.844304482067303	0.855258393927524	0.861591645498282	0.866541340091808	0.870751845485419	0.874406502059384	0.877638338530324	0.880676239810383	0.883841269653881	0.887234672293726
E23SA	0.811056681213806	0.821225874641131	0.827791855186842	0.832401377175808	0.835843685418734	0.838377880927943	0.840119276608203	0.841488569889906	0.842524339861521	0.843353655986135
E13VA	0.81715373027129	0.83878233568612	0.853477606654274	0.866359885703319	0.878216505009352	0.889357260274215	0.899843450664988	0.909618768189184	0.918437291044851	0.926343111557909
E18VA	0.847721779824116	0.85954833505998	0.866424713087125	0.871909253052971	0.876766339167863	0.881101588598655	0.885011369368848	0.888549839493798	0.891676038413528	0.894665687753798
E23VA	0.871894129046778	0.883246984353243	0.889701600689383	0.89476091452323	0.899258854830884	0.90347096782431	0.907514594649757	0.911409775431591	0.915168051184481	0.918712637775759
E13VAT	0.860477337690469	0.869317322058373	0.87365762957425	0.876160163768861	0.877440222941707	0.87765283337029	0.877070171834709	0.876114384145041	0.875225976466879	0.874687128103284
E18VAT	0.851372553990759	0.861064093720222	0.866341815753716	0.870083940503119	0.872861721569461	0.874839006692525	0.876136587855227	0.877125076107847	0.877971345386314	0.879129934782816
E23VAT	0.863379461222533	0.872558625711353	0.877053357588492	0.879956003721016	0.881766139756827	0.882686747155269	0.882887695001673	0.882691672886155	0.882401181819673	0.882516961008421
