min_cov_1	min_cov_2	min_cov_3	min_cov_4	min_cov_5	min_cov_6	min_cov_7	min_cov_8	min_cov_9	min_cov_10
H1_r1	0.414810900111963	0.436949140788442	0.464972916760403	0.487690728456198	0.50334992151675	0.513365882149673	0.518464655274073	0.522980453335269	0.531010104673691	0.543653083944202
H1_r2	0.517731515196966	0.507243510750093	0.503256897398261	0.507310269302844	0.512520667066202	0.518256393457843	0.525093708218401	0.537343917559992	0.557055378812154	0.590302791706997
IMR90_r1	0.699587979894098	0.756170925836729	0.790687708050747	0.815317575045324	0.833964837696002	0.848108118556417	0.859103097994362	0.867992237911299	0.875418080431674	0.88172236798495
IMR90_r2	0.695660185156748	0.756908116184892	0.792220755091722	0.816787567479706	0.834838751740941	0.848386123472899	0.859049335668725	0.867495099130148	0.874317985070877	0.880324628801295
ADS	0.839983328180348	0.865348810341526	0.879450152523134	0.889360499914104	0.896806346614899	0.902639033328285	0.907194498717567	0.910784009360774	0.913719822086843	0.916199536781558
ADS-adipose	0.868465845123376	0.887301798676311	0.897870812708338	0.905299589291745	0.91087978581441	0.9151446506356	0.918396144534857	0.920912555276217	0.92280850666292	0.924225710128278
ADS-iPSC	0.877814463601439	0.906561970113949	0.919430212677577	0.927162007689561	0.932449051220254	0.936203127171219	0.93893716851633	0.940842363569741	0.942101151328858	0.942855749401212
FF	0.797044783886389	0.837987387159024	0.855721781973716	0.865920875877765	0.872895429353521	0.87882843529607	0.884330998627234	0.889694690169504	0.89485086820279	0.899895495053743
FF-iPSC_19.11	0.709228235772315	0.770410240602578	0.790300779928243	0.794379895530391	0.790707973068539	0.785055286115775	0.779928309470125	0.779094032797159	0.784158287406929	0.799974915393439
FF-iPSC_19.11+BMP4	0.746803404545004	0.791377100858114	0.808080635120855	0.814025197536352	0.814618948882772	0.812290261596763	0.808950641015839	0.805797416475364	0.803200247065042	0.801879273446324
FF-iPSC_19.7	0.723306082777813	0.776340515568601	0.791538277160132	0.792202504644182	0.785657178130292	0.776671889857063	0.768575913684013	0.764160209234826	0.765841809672901	0.778534782881912
FF-iPSC_6.9	0.738725199515121	0.788546962682657	0.803745689019094	0.805282447885231	0.800904515576562	0.794080779108791	0.787634386638587	0.784129129612715	0.786378823822263	0.796687948053106
H1+BMP4	0.869499122780787	0.892683830803482	0.90528380328519	0.91414571640875	0.92094941229755	0.926358471882821	0.930784472380858	0.934414480235781	0.937436007421776	0.939936188014358
H9	0.732359765049118	0.773313915789166	0.781801952422989	0.778578506535083	0.772047582907913	0.766515459657453	0.764675807709961	0.769568150379596	0.785159899295434	0.815455892988446
H9_Laurent	0.674844032484055	0.788553977074999	0.851176975002361	0.892018737588441	0.919713148756499	0.938942710483549	0.952450952376373	0.962013471780846	0.968827066744651	0.973794279201072
HSF1	0.411632685692131	0.46483767199998	0.513919731122087	0.586818140541598	0.66091053832553	0.697073184349588	0.696074835251687	0.670984410360647	0.646830367668786	0.616329205342718
IMR90-iPSC	0.778598338901947	0.818731165841729	0.829997911162481	0.83032236090187	0.826120207273065	0.821446498520449	0.817705759432794	0.816708805448163	0.822557851240516	0.83856316245922
