min_cov_1	min_cov_2	min_cov_3	min_cov_4	min_cov_5	min_cov_6	min_cov_7	min_cov_8	min_cov_9	min_cov_10
SRR949193	0.774720365415637	0.839523983550317	0.87517859642059	0.899255028835072	0.916409407520403	0.928913384168229	0.937953533959234	0.944724562952937	0.949947242465452	0.953445133523004
SRR949194	0.775391759491934	0.839528318887084	0.875110149200201	0.899090717252037	0.916247111250161	0.928717253394245	0.937916971976898	0.944664494938066	0.949692598477697	0.953058474733427
SRR949195	0.775792680988655	0.840082780938003	0.875661421574896	0.899702197259718	0.916898008047498	0.929675131766554	0.939006986434366	0.945879917482595	0.950938440982931	0.954427237252713
SRR949196	0.770176117200185	0.833574000313966	0.866563637753523	0.887256745432604	0.900909506832924	0.909995901360158	0.916354717872335	0.920674120438424	0.923864605596925	0.925438851520077
SRR949197	0.768788019980804	0.831685367350371	0.86447731452054	0.884753968264167	0.897891085944571	0.9066277794985	0.912356606717598	0.916283346033661	0.918975278994649	0.920591643857673
SRR949198	0.76771013235188	0.830636641797738	0.862888267543608	0.88272199667387	0.895703309327909	0.904345290496933	0.90985282246372	0.913357730426551	0.915488205604929	0.917735352110891
SRR949199	0.770662664312323	0.837241025868892	0.874225410346077	0.899175563015853	0.91700860317357	0.929816030009853	0.939423845709148	0.946265992136529	0.951188245142976	0.954615348873428
SRR949201	0.770032588619237	0.83706187762005	0.87417246528462	0.89922431766441	0.91717464680866	0.930042574059665	0.939712286370299	0.946738750435857	0.951793923463922	0.955564867784582
SRR949202	0.774226808748458	0.838855343404072	0.873970433187146	0.89703020279531	0.913002890706788	0.924665876942752	0.932994494682678	0.938979580510194	0.943225610067013	0.946257611987402
SRR949203	0.776417050723097	0.839986340940835	0.874484346223843	0.897486189919889	0.913646320215147	0.925311774417945	0.933741722231663	0.939962415937535	0.944617927283188	0.948034013324285
SRR949206	0.680701616514827	0.811072638693843	0.873221201262566	0.905832448389952	0.923599932443576	0.933308929542699	0.938083592560886	0.939484118787473	0.938164357616024	0.933088712126387
SRR949207	0.671446290687518	0.806936054622314	0.872196938457179	0.906636450253731	0.923660620466517	0.932380894898852	0.931699429127584	0.930625733274264	0.926349850146928	0.91581065307933
SRR949208	0.672807582266933	0.810894763233875	0.873174102356225	0.90722689705593	0.926783523859944	0.937833546674032	0.943281399842255	0.945647822661912	0.949111741822193	0.946104525768114
SRR949209	0.672644515387442	0.804104482687125	0.865816613324643	0.899584509123052	0.919328549970372	0.930692723090788	0.93515813689082	0.933483308320371	0.92881015919939	0.920208484532135
SRR949210	0.689092625885621	0.791877981612907	0.8406712429982	0.87115750639437	0.892169838382969	0.907426352972717	0.91865268487378	0.927046320747543	0.933455818622404	0.938285699444627
SRR949211	0.691080304356854	0.793506187508899	0.842279579311726	0.872286029664499	0.893027846945912	0.90800546891211	0.91913583552816	0.927120036208503	0.933259471157462	0.937697214760589
SRR949212	0.704314547726665	0.802040131501051	0.847433997773595	0.875533655931684	0.895010351782423	0.909041241701764	0.919457852303094	0.927325599034553	0.933225506035239	0.937545211006515
SRR949213	0.718086782745665	0.824307624705219	0.871530792405908	0.899251215700767	0.917511887010799	0.930282251135895	0.939553915662055	0.9463788974762	0.951456327565324	0.955204707390908
SRR949215	0.717272490865452	0.823942511787732	0.87120147222522	0.899262876871521	0.917704766781837	0.930580928315137	0.939833672173891	0.946649323615064	0.951769536303881	0.955608995035557
