Chromosome Percentage
chr1 1.01405543681499
chr2 0.908603760814841
chr3 0.833506132767554
chr4 0.78541880143715
chr5 0.847773908469159
chr6 0.88148899690323
chr7 1.00973876718839
chr8 0.91619074101158
chr9 1.02113065028162
chr10 1.02904766635672
chr11 0.98375035464939
chr12 0.978850767988116
chr13 0.840787810231739
chr14 0.973817521008916
chr15 1.06918002263426
chr16 1.39162008858797
chr17 1.48543865211636
chr18 0.907097921285834
chr19 1.89463422892281
chr20 1.20614368611285
chr21 1.0836814679941
chr22 1.65669838788167
chrX 0.824881907435697
chrY 0.849418534644076
chrM 2.64936632468316
